date,cases,deaths
2020-05-07,6,
2020-05-08,6,
2020-05-09,6,
2020-05-10,6,
2020-05-11,7,
2020-05-12,7,
2020-05-13,7,
2020-05-14,7,
2020-05-15,11,
2020-05-16,12,
2020-05-17,13,
2020-05-18,13,
2020-05-19,13,
2020-05-20,19,
2020-05-21,19,
2020-05-22,19,
2020-05-23,19,
2020-05-24,19,
2020-05-25,19,
2020-05-26,19,
2020-05-27,19,
2020-05-28,20,
2020-05-29,20,
2020-05-30,20,
2020-05-31,20,
2020-06-01,20,
2020-06-02,20,
2020-06-03,20,
2020-06-04,20,
2020-06-05,20,
2020-06-06,20,
2020-06-07,20,
2020-06-08,20,
2020-06-09,20,
2020-06-10,20,
2020-06-11,20,
2020-06-12,20,
2020-06-13,20,
2020-06-14,20,
2020-06-15,20,
2020-06-16,20,
2020-06-17,20,
2020-06-18,20,
2020-06-19,20,
2020-06-20,20,
2020-06-21,20,
2020-06-22,20,
2020-06-23,20,
2020-06-24,20,
2020-06-25,22,
2020-06-26,22,
2020-06-27,22,
2020-06-28,22,
2020-06-29,22,
2020-06-30,23,
2020-07-01,23,
2020-07-02,23,
2020-07-03,23,
2020-07-04,23,
2020-07-05,23,
2020-07-06,24,
2020-07-07,24,
2020-07-08,24,
2020-07-09,24,
2020-07-10,24,
2020-07-11,25,
2020-07-12,26,
2020-07-13,26,
2020-07-14,26,
2020-07-15,27,
2020-07-16,27,
2020-07-17,39,
2020-07-18,27,
2020-07-19,27,
2020-07-20,28,
2020-07-21,30,
2020-07-22,30,
2020-07-23,31,
2020-07-24,31,
2020-07-25,31,
2020-07-26,31,
2020-07-27,33,
2020-07-28,34,
2020-07-29,35,
2020-07-30,36,
2020-07-31,37,
2020-08-01,37,
2020-08-02,43,
2020-08-03,44,
2020-08-04,44,
2020-08-05,47,
2020-08-06,51,
2020-08-07,53,
2020-08-08,57,
2020-08-09,59,
2020-08-10,60,
2020-08-11,71,
2020-08-12,71,
2020-08-13,66,
2020-08-14,67,
2020-08-15,69,
2020-08-16,70,
2020-08-17,73,
2020-08-18,76,
2020-08-19,76,
2020-08-20,76,
2020-08-21,77,
2020-08-22,80,
2020-08-23,82,
2020-08-24,82,
2020-08-25,82,
2020-08-26,82,
2020-08-27,84,
2020-08-28,85,
2020-08-29,85,
2020-08-30,86,
2020-08-31,86,
2020-09-01,86,
2020-09-02,87,
2020-09-03,87,
2020-09-04,84,
2020-09-05,84,
2020-09-06,84,
2020-09-07,85,
2020-09-08,85,
2020-09-09,85,
2020-09-10,86,
2020-09-11,86,
2020-09-12,86,
2020-09-13,86,
2020-09-14,86,
2020-09-15,87,
2020-09-16,87,
2020-09-17,86,
2020-09-18,86,
2020-09-19,86,
2020-09-20,86,
2020-09-21,86,
2020-09-22,86,
2020-09-23,86,
2020-09-24,88,
2020-09-25,88,
2020-09-26,88,
2020-09-27,89,
2020-09-28,89,
2020-09-29,93,
2020-09-30,93,
2020-10-01,93,
2020-10-02,94,
2020-10-03,95,
2020-10-04,95,
2020-10-05,96,
2020-10-06,97,
2020-10-07,97,
2020-10-08,97,
2020-10-09,98,
2020-10-10,98,
2020-10-11,99,
2020-10-12,100,
2020-10-13,100,
2020-10-14,101,
2020-10-15,101,
2020-10-16,101,
2020-10-17,101,
2020-10-18,101,
2020-10-19,102,
2020-10-20,102,
2020-10-21,102,
2020-10-22,102,
2020-10-23,104,
2020-10-24,104,
2020-10-25,104,
2020-10-26,104,
2020-10-27,104,
2020-10-28,104,
2020-10-29,104,
2020-10-30,104,
2020-10-31,104,
2020-11-01,105,
2020-11-02,107,
2020-11-03,107,
2020-11-04,107,
2020-11-05,107,
2020-11-06,107,
2020-11-07,107,
2020-11-08,107,
2020-11-09,107,
2020-11-10,107,
2020-11-11,107,
2020-11-12,107,
2020-11-13,107,
2020-11-14,107,
2020-11-15,107,
2020-11-16,107,
2020-11-17,107,
2020-11-18,107,
2020-11-19,107,
2020-11-20,107,
2020-11-21,108,
2020-11-22,108,
2020-11-23,108,
2020-11-24,108,
2020-11-25,108,
2020-11-26,108,
2020-11-27,108,
2020-11-28,109,
2020-11-29,109,
2020-11-30,110,
2020-12-01,111,
2020-12-02,111,
2020-12-03,111,
2020-12-04,111,
2020-12-05,111,
2020-12-06,111,
2020-12-07,111,
2020-12-08,111,
2020-12-09,134,
2020-12-10,135,
2020-12-11,136,
