date,cases,deaths
2020-03-25,8,0.0
2020-03-26,8,0.0
2020-03-27,8,0.0
2020-03-28,8,0.0
2020-03-29,17,0.0
2020-03-30,21,0.0
2020-03-31,23,0.0
2020-04-01,31,0.0
2020-04-02,33,0.0
2020-04-03,33,0.0
2020-04-04,39,0.0
2020-04-05,42,0.0
2020-04-06,42,0.0
2020-04-07,56,0.0
2020-04-08,56,0.0
2020-04-09,57,0.0
2020-04-10,57,0.0
2020-04-11,74,0.0
2020-04-12,74,0.0
2020-04-13,74,0.0
2020-04-14,93,0.0
2020-04-15,93,0.0
2020-04-16,98,0.0
2020-04-17,103,0.0
2020-04-18,103,0.0
2020-04-19,105,0.0
2020-04-20,107,0.0
2020-04-21,110,0.0
2020-04-22,110,0.0
2020-04-23,110,0.0
2020-04-24,124,0.0
2020-04-25,130,0.0
2020-04-26,135,0.0
2020-04-27,135,0.0
2020-04-28,138,0.0
2020-04-29,148,0.0
2020-04-30,149,0.0
2020-05-01,155,0.0
2020-05-02,156,0.0
2020-05-03,158,4.0
2020-05-04,161,4.0
2020-05-05,161,4.0
2020-05-06,161,4.0
2020-05-07,161,4.0
2020-05-08,161,4.0
2020-05-09,161,4.0
2020-05-10,161,4.0
2020-05-11,182,4.0
2020-05-12,185,4.0
2020-05-13,197,4.0
2020-05-14,197,4.0
2020-05-15,197,4.0
2020-05-16,197,4.0
2020-05-17,197,4.0
2020-05-18,197,4.0
2020-05-19,197,4.0
2020-05-20,206,4.0
2020-05-21,209,4.0
2020-05-22,212,4.0
2020-05-23,226,4.0
2020-05-24,228,4.0
2020-05-25,228,4.0
2020-05-26,228,4.0
2020-05-27,235,4.0
2020-05-28,237,4.0
2020-05-29,244,4.0
2020-05-30,244,4.0
2020-05-31,244,4.0
2020-06-01,244,4.0
2020-06-02,244,4.0
2020-06-03,244,4.0
2020-06-04,244,4.0
2020-06-05,244,4.0
2020-06-06,244,4.0
2020-06-07,244,4.0
2020-06-08,269,4.0
2020-06-09,269,4.0
2020-06-10,269,4.0
2020-06-11,269,4.0
2020-06-12,269,4.0
2020-06-13,269,4.0
2020-06-14,269,4.0
2020-06-15,277,4.0
2020-06-16,277,4.0
2020-06-17,277,4.0
2020-06-18,277,4.0
2020-06-19,277,4.0
2020-06-20,277,4.0
2020-06-21,277,4.0
2020-06-22,294,4.0
2020-06-23,294,4.0
2020-06-24,294,4.0
2020-06-25,294,4.0
2020-06-26,294,6.0
2020-06-27,294,6.0
2020-06-28,294,6.0
2020-06-29,308,6.0
2020-06-30,308,6.0
2020-07-01,308,6.0
2020-07-02,308,6.0
2020-07-03,331,6.0
2020-07-04,331,6.0
2020-07-05,331,6.0
2020-07-06,331,6.0
2020-07-07,331,6.0
2020-07-08,331,6.0
2020-07-09,331,6.0
2020-07-10,331,6.0
2020-07-11,331,6.0
2020-07-12,331,6.0
2020-07-13,331,6.0
2020-07-14,331,6.0
2020-07-15,365,6.0
2020-07-16,365,6.0
2020-07-17,365,6.0
2020-07-18,365,6.0
2020-07-19,365,6.0
2020-07-20,365,6.0
2020-07-21,365,6.0
2020-07-22,365,6.0
2020-07-23,365,6.0
2020-07-24,365,6.0
2020-07-25,365,6.0
2020-07-26,365,6.0
2020-07-27,365,6.0
2020-07-28,365,6.0
2020-07-29,380,6.0
2020-07-30,380,6.0
2020-07-31,380,6.0
2020-08-01,380,6.0
2020-08-02,380,6.0
2020-08-03,380,6.0
2020-08-04,380,6.0
2020-08-05,396,6.0
2020-08-06,396,6.0
2020-08-07,396,6.0
2020-08-08,396,6.0
2020-08-09,396,6.0
2020-08-10,396,6.0
2020-08-11,396,6.0
2020-08-12,405,6.0
2020-08-13,405,6.0
2020-08-14,405,6.0
2020-08-15,405,6.0
2020-08-16,405,6.0
2020-08-17,405,6.0
2020-08-18,405,6.0
2020-08-19,411,6.0
2020-08-20,411,6.0
2020-08-21,411,6.0
2020-08-22,411,6.0
2020-08-23,411,6.0
2020-08-24,411,6.0
2020-08-25,411,6.0
2020-08-26,434,6.0
2020-08-27,434,6.0
2020-08-28,434,6.0
2020-08-29,434,6.0
2020-08-30,434,6.0
2020-08-31,434,6.0
2020-09-01,434,6.0
2020-09-02,457,6.0
2020-09-03,457,6.0
2020-09-04,457,6.0
2020-09-05,457,6.0
2020-09-06,457,6.0
2020-09-07,457,6.0
2020-09-08,457,6.0
2020-09-09,476,6.0
2020-09-10,476,6.0
2020-09-11,476,6.0
2020-09-12,476,6.0
2020-09-13,476,6.0
2020-09-14,476,6.0
2020-09-15,476,6.0
2020-09-16,502,6.0
2020-09-17,502,6.0
2020-09-18,502,6.0
2020-09-19,502,6.0
2020-09-20,502,6.0
2020-09-21,502,6.0
2020-09-22,502,6.0
2020-09-23,518,8.0
2020-09-24,518,8.0
2020-09-25,518,8.0
2020-09-26,518,8.0
2020-09-27,518,8.0
2020-09-28,518,8.0
2020-09-29,518,8.0
2020-09-30,530,8.0
2020-10-01,530,8.0
2020-10-02,530,8.0
2020-10-03,530,8.0
2020-10-04,530,8.0
2020-10-05,530,8.0
2020-10-06,530,8.0
2020-10-07,545,8.0
2020-10-08,545,8.0
2020-10-09,545,8.0
2020-10-10,545,8.0
2020-10-11,545,8.0
2020-10-12,545,8.0
2020-10-13,545,8.0
2020-10-14,582,8.0
2020-10-15,582,8.0
2020-10-16,582,8.0
2020-10-17,582,8.0
2020-10-18,582,8.0
2020-10-19,582,8.0
2020-10-20,582,8.0
2020-10-21,631,8.0
2020-10-22,631,8.0
2020-10-23,631,8.0
2020-10-24,631,8.0
2020-10-25,631,8.0
2020-10-26,631,8.0
2020-10-27,631,8.0
2020-10-28,678,8.0
2020-10-29,678,8.0
2020-10-30,678,8.0
2020-10-31,678,8.0
2020-11-01,678,8.0
2020-11-02,678,8.0
2020-11-03,678,8.0
2020-11-04,797,8.0
2020-11-05,797,8.0
2020-11-06,797,8.0
2020-11-07,797,8.0
2020-11-08,797,8.0
2020-11-09,797,8.0
2020-11-10,797,8.0
2020-11-11,906,8.0
2020-11-12,906,8.0
2020-11-13,906,8.0
2020-11-14,906,8.0
2020-11-15,906,8.0
2020-11-16,906,8.0
2020-11-17,906,8.0
2020-11-18,1046,8.0
2020-11-19,1046,8.0
2020-11-20,1046,8.0
2020-11-21,1046,8.0
2020-11-22,1046,8.0
2020-11-23,1046,8.0
2020-11-24,1046,8.0
2020-11-25,1217,8.0
2020-11-26,1217,8.0
2020-11-27,1217,8.0
2020-11-28,1217,8.0
2020-11-29,1217,8.0
2020-11-30,1217,8.0
2020-12-01,1217,8.0
2020-12-02,1380,8.0
2020-12-03,1380,8.0
2020-12-04,1380,8.0
2020-12-05,1380,8.0
2020-12-06,1380,8.0
2020-12-07,1380,8.0
2020-12-08,1380,8.0
2020-12-09,1648,9.0
2020-12-10,1648,9.0
2020-12-11,1648,9.0
2020-12-12,1648,9.0
2020-12-13,1648,9.0
2020-12-14,1648,9.0
2020-12-15,1648,9.0
2020-12-16,1965,9.0
2020-12-17,1965,9.0
2020-12-18,1965,9.0
2020-12-19,1965,9.0
2020-12-20,1965,9.0
2020-12-21,1965,9.0
