date,cases,deaths
2020-03-15,3,0
2020-03-16,3,0
2020-03-17,4,0
2020-03-18,5,0
2020-03-19,6,0
2020-03-20,8,0
2020-03-21,9,0
2020-03-22,11,0
2020-03-23,16,0
2020-03-24,19,1
2020-03-25,20,1
2020-03-26,21,1
2020-03-27,24,1
2020-03-28,28,2
2020-03-29,31,3
2020-03-30,32,3
2020-03-31,37,3
2020-04-01,42,3
2020-04-02,50,4
2020-04-03,51,4
2020-04-04,63,4
2020-04-05,64,5
2020-04-06,76,6
2020-04-07,91,6
2020-04-08,98,7
2020-04-09,106,7
2020-04-10,124,7
2020-04-11,132,7
2020-04-12,134,7
2020-04-13,147,7
2020-04-14,151,8
2020-04-15,150,8
2020-04-16,155,9
2020-04-17,167,10
2020-04-18,176,12
2020-04-19,185,12
2020-04-20,185,12
2020-04-21,189,12
2020-04-22,190,12
2020-04-23,196,12
2020-04-24,198,12
2020-04-25,201,12
2020-04-26,203,12
2020-04-27,209,12
2020-04-28,211,15
2020-04-29,211,15
2020-04-30,215,15
2020-05-01,223,16
2020-05-02,223,16
2020-05-03,226,17
2020-05-04,230,18
2020-05-05,236,18
2020-05-06,238,18
2020-05-07,242,18
2020-05-08,251,18
2020-05-09,256,18
2020-05-10,262,18
2020-05-11,267,18
2020-05-12,269,18
2020-05-13,273,18
2020-05-14,278,18
2020-05-15,283,18
2020-05-16,293,18
2020-05-17,298,19
2020-05-18,299,19
2020-05-19,303,20
2020-05-20,314,20
2020-05-21,333,21
2020-05-22,359,21
2020-05-23,371,21
2020-05-24,377,21
2020-05-25,377,22
2020-05-26,382,22
2020-05-27,392,24
2020-05-28,395,24
2020-05-29,410,25
2020-05-30,417,25
2020-05-31,432,25
2020-06-01,454,26
2020-06-02,472,27
2020-06-03,489,28
2020-06-04,506,28
2020-06-05,536,29
2020-06-06,570,31
2020-06-07,618,31
2020-06-08,676,32
2020-06-09,720,33
2020-06-10,803,33
2020-06-11,849,33
2020-06-12,936,33
2020-06-13,1037,34
2020-06-14,1133,34
2020-06-15,1194,34
2020-06-16,1297,34
2020-06-17,1417,35
2020-06-18,1560,35
2020-06-19,1697,39
2020-06-20,1818,39
2020-06-21,1932,39
2020-06-22,2055,39
2020-06-23,2191,42
2020-06-24,2372,42
2020-06-25,2497,42
2020-06-26,2582,42
2020-06-27,2803,44
2020-06-28,2987,44
2020-06-29,3152,44
2020-06-30,3321,45
2020-07-01,3550,48
2020-07-02,3730,50
2020-07-03,3966,50
2020-07-04,4324,54
