date,cases,deaths
2020-03-27,1,0
2020-03-28,1,0
2020-03-29,1,0
2020-03-30,1,0
2020-03-31,1,0
2020-04-01,1,0
2020-04-02,1,0
2020-04-03,1,0
2020-04-04,1,0
2020-04-05,1,0
2020-04-06,1,0
2020-04-07,1,0
2020-04-08,1,0
2020-04-09,1,0
2020-04-10,1,0
2020-04-11,1,0
2020-04-12,1,0
2020-04-13,1,0
2020-04-14,1,0
2020-04-15,1,0
2020-04-16,1,0
2020-04-17,1,0
2020-04-18,1,0
2020-04-19,1,0
2020-04-20,1,0
2020-04-21,1,0
2020-04-22,1,0
2020-04-23,1,0
2020-04-24,1,0
2020-04-25,1,0
2020-04-26,1,0
2020-04-27,1,0
2020-04-28,1,0
2020-04-29,1,0
2020-04-30,1,0
2020-05-01,1,0
2020-05-02,1,0
2020-05-03,1,0
2020-05-04,1,0
2020-05-05,1,0
2020-05-06,1,0
2020-05-07,1,0
2020-05-08,1,0
2020-05-09,1,0
2020-05-10,2,0
2020-05-11,2,0
2020-05-12,2,0
2020-05-13,2,0
2020-05-14,2,0
2020-05-15,2,0
2020-05-16,2,0
2020-05-17,3,0
2020-05-18,3,0
2020-05-19,3,0
2020-05-20,8,0
2020-05-21,8,0
2020-05-22,20,0
2020-05-23,22,0
2020-05-24,22,0
2020-05-25,22,0
2020-05-26,22,0
2020-05-27,22,0
2020-05-28,23,0
2020-05-29,23,0
2020-05-30,25,0
2020-05-31,26,0
2020-06-01,26,0
2020-06-02,26,0
2020-06-03,27,0
2020-06-04,27,0
2020-06-05,27,0
2020-06-06,29,0
2020-06-07,29,0
2020-06-08,29,0
2020-06-09,29,0
2020-06-10,29,0
2020-06-11,29,0
2020-06-12,30,0
2020-06-13,33,0
2020-06-14,33,0
2020-06-15,33,0
2020-06-16,33,0
2020-06-17,33,0
2020-06-18,33,0
2020-06-19,34,0
2020-06-20,34,0
2020-06-21,34,0
2020-06-22,34,0
2020-06-23,34,0
2020-06-24,34,0
2020-06-25,34,0
2020-06-26,34,0
2020-06-27,34,0
2020-06-28,34,0
2020-06-29,34,0
2020-06-30,34,0
2020-07-01,34,0
2020-07-02,34,0
2020-07-03,34,0
2020-07-04,34,0
2020-07-05,34,0
2020-07-06,34,0
2020-07-07,34,0
2020-07-08,34,0
2020-07-09,34,0
