date,cases,deaths
2020-03-10,1,0.0
2020-03-11,1,0.0
2020-03-12,1,0.0
2020-03-13,1,0.0
2020-03-14,1,0.0
2020-03-15,1,0.0
2020-03-16,1,0.0
2020-03-17,1,0.0
2020-03-18,1,0.0
2020-03-19,4,0.0
2020-03-20,4,0.0
2020-03-21,4,0.0
2020-03-22,10,0.0
2020-03-23,12,0.0
2020-03-24,13,0.0
2020-03-25,13,0.0
2020-03-26,14,0.0
2020-03-27,16,0.0
2020-03-28,16,0.0
2020-03-29,20,0.0
2020-03-30,20,0.0
2020-03-31,20,0.0
2020-04-01,21,0.0
2020-04-02,21,1.0
2020-04-03,21,1.0
2020-04-04,21,1.0
2020-04-05,21,1.0
2020-04-06,21,1.0
2020-04-07,21,1.0
2020-04-08,21,1.0
2020-04-09,21,2.0
2020-04-10,22,2.0
2020-04-11,21,2.0
2020-04-12,21,2.0
2020-04-13,21,2.0
2020-04-14,21,2.0
2020-04-15,21,2.0
2020-04-16,21,2.0
2020-04-17,21,2.0
2020-04-18,21,2.0
2020-04-19,21,2.0
2020-04-20,21,2.0
2020-04-21,21,2.0
2020-04-22,21,2.0
2020-04-23,21,2.0
2020-04-24,21,2.0
2020-04-25,21,2.0
2020-04-26,21,2.0
2020-04-27,21,2.0
2020-04-28,21,2.0
2020-04-29,21,2.0
2020-04-30,21,2.0
2020-05-01,21,2.0
2020-05-02,21,2.0
2020-05-03,21,2.0
2020-05-04,21,2.0
2020-05-05,21,2.0
2020-05-06,21,2.0
2020-05-07,21,2.0
2020-05-08,21,2.0
2020-05-09,21,2.0
2020-05-10,21,2.0
2020-05-11,21,2.0
2020-05-12,22,2.0
2020-05-13,22,2.0
2020-05-14,22,2.0
2020-05-15,22,2.0
2020-05-16,30,2.0
2020-05-17,31,2.0
2020-05-18,37,2.0
2020-05-19,43,2.0
2020-05-20,68,2.0
2020-05-21,68,2.0
2020-05-22,98,2.0
2020-05-23,118,2.0
2020-05-24,131,2.0
2020-05-25,132,2.0
2020-05-26,150,2.0
2020-05-27,163,2.0
2020-05-28,190,2.0
2020-05-29,222,3.0
2020-05-30,252,5.0
2020-05-31,261,5.0
2020-06-01,275,5.0
2020-06-02,276,5.0
2020-06-03,308,5.0
2020-06-04,341,5.0
2020-06-05,343,5.0
2020-06-06,361,5.0
2020-06-07,382,5.0
2020-06-08,385,5.0
2020-06-09,386,5.0
2020-06-10,398,6.0
2020-06-11,411,6.0
2020-06-12,418,6.0
2020-06-13,434,6.0
2020-06-14,446,6.0
2020-06-15,448,6.0
2020-06-16,452,6.0
2020-06-17,467,6.0
2020-06-18,472,6.0
2020-06-19,476,6.0
2020-06-20,481,6.0
2020-06-21,494,6.0
2020-06-22,494,6.0
2020-06-23,495,6.0
2020-06-24,504,6.0
2020-06-25,508,6.0
2020-06-26,515,6.0
2020-06-27,518,6.0
2020-06-28,522,6.0
2020-06-29,523,6.0
2020-06-30,524,6.0
2020-07-01,527,6.0
2020-07-02,532,7.0
2020-07-03,539,7.0
2020-07-04,539,7.0
2020-07-05,540,7.0
2020-07-06,541,7.0
2020-07-07,545,7.0
2020-07-08,549,7.0
2020-07-09,551,7.0
2020-07-10,551,7.0
2020-07-11,551,8.0
2020-07-12,553,8.0
2020-07-13,553,8.0
2020-07-14,553,8.0
2020-07-15,557,8.0
2020-07-16,558,8.0
2020-07-17,561,9.0
2020-07-18,566,9.0
2020-07-19,571,9.0
2020-07-20,571,9.0
2020-07-21,571,9.0
2020-07-22,574,9.0
2020-07-23,575,9.0
2020-07-24,576,9.0
2020-07-25,580,9.0
2020-07-26,582,9.0
2020-07-27,583,9.0
2020-07-28,583,9.0
2020-07-29,585,9.0
2020-07-30,585,9.0
2020-07-31,586,9.0
2020-08-01,587,9.0
2020-08-02,587,9.0
2020-08-03,587,9.0
2020-08-04,587,9.0
2020-08-05,587,9.0
2020-08-06,587,9.0
2020-08-07,587,9.0
2020-08-08,591,9.0
2020-08-09,593,9.0
2020-08-10,594,9.0
2020-08-11,594,9.0
2020-08-12,594,9.0
2020-08-13,596,9.0
2020-08-14,596,9.0
2020-08-15,598,9.0
2020-08-16,598,9.0
2020-08-17,598,9.0
2020-08-18,598,9.0
2020-08-19,598,9.0
2020-08-20,602,9.0
2020-08-21,605,9.0
2020-08-22,612,9.0
2020-08-23,614,9.0
2020-08-24,616,9.0
2020-08-25,619,9.0
2020-08-26,620,9.0
2020-08-27,621,9.0
2020-08-28,629,9.0
2020-08-29,635,9.0
2020-08-30,636,9.0
2020-08-31,639,9.0
2020-09-01,639,9.0
