date,cases,deaths
2020-04-08,1,0.0
2020-04-09,1,0.0
2020-04-10,1,0.0
2020-04-11,1,0.0
2020-04-12,1,0.0
2020-04-13,1,0.0
2020-04-14,1,0.0
2020-04-15,1,0.0
2020-04-16,1,0.0
2020-04-17,1,0.0
2020-04-18,1,0.0
2020-04-19,1,0.0
2020-04-20,1,0.0
2020-04-21,1,0.0
2020-04-22,1,0.0
2020-04-23,1,0.0
2020-04-24,1,0.0
2020-04-25,1,0.0
2020-04-26,1,0.0
2020-04-27,1,0.0
2020-04-28,1,0.0
2020-04-29,1,0.0
2020-04-30,1,0.0
2020-05-01,1,0.0
2020-05-02,1,0.0
2020-05-03,1,0.0
2020-05-04,1,0.0
2020-05-05,1,0.0
2020-05-06,2,0.0
2020-05-07,1,0.0
2020-05-08,1,0.0
2020-05-09,1,0.0
2020-05-10,1,0.0
2020-05-11,1,0.0
2020-05-12,1,0.0
2020-05-13,3,0.0
2020-05-14,3,0.0
2020-05-15,6,0.0
2020-05-16,9,0.0
2020-05-17,10,0.0
2020-05-18,10,0.0
2020-05-19,10,0.0
2020-05-20,14,0.0
2020-05-21,14,0.0
2020-05-22,15,0.0
2020-05-23,17,0.0
2020-05-24,17,0.0
2020-05-25,17,0.0
2020-05-26,17,0.0
2020-05-27,20,0.0
2020-05-28,21,0.0
2020-05-29,21,0.0
2020-05-30,25,0.0
2020-05-31,26,0.0
2020-06-01,31,0.0
2020-06-02,31,0.0
2020-06-03,32,0.0
2020-06-04,34,0.0
2020-06-05,35,0.0
2020-06-06,35,0.0
2020-06-07,39,0.0
2020-06-08,39,0.0
2020-06-09,40,0.0
2020-06-10,45,0.0
2020-06-11,45,0.0
2020-06-12,45,0.0
2020-06-13,45,0.0
2020-06-14,46,0.0
2020-06-15,46,0.0
2020-06-16,48,0.0
2020-06-17,49,0.0
2020-06-18,54,0.0
2020-06-19,53,0.0
2020-06-20,54,0.0
2020-06-21,55,0.0
2020-06-22,56,0.0
2020-06-23,59,0.0
2020-06-24,60,0.0
2020-06-25,65,0.0
2020-06-26,68,0.0
2020-06-27,83,0.0
2020-06-28,84,0.0
2020-06-29,85,0.0
2020-06-30,85,0.0
2020-07-01,87,0.0
2020-07-02,88,0.0
2020-07-03,89,0.0
2020-07-04,94,0.0
2020-07-05,95,0.0
2020-07-06,99,0.0
2020-07-07,100,0.0
2020-07-08,103,0.0
2020-07-09,108,0.0
2020-07-10,108,0.0
2020-07-11,109,0.0
2020-07-12,112,0.0
2020-07-13,112,0.0
2020-07-14,111,0.0
2020-07-15,118,0.0
2020-07-16,122,1.0
2020-07-17,126,1.0
2020-07-18,126,1.0
2020-07-19,127,1.0
2020-07-20,129,1.0
2020-07-21,132,1.0
2020-07-22,132,1.0
2020-07-23,132,1.0
2020-07-24,131,1.0
2020-07-25,132,1.0
2020-07-26,134,1.0
2020-07-27,136,1.0
2020-07-28,136,1.0
2020-07-29,139,1.0
2020-07-30,140,1.0
2020-07-31,141,1.0
2020-08-01,146,1.0
2020-08-02,148,1.0
2020-08-03,149,1.0
2020-08-04,151,1.0
2020-08-05,152,1.0
2020-08-06,152,2.0
2020-08-07,153,2.0
2020-08-08,154,2.0
2020-08-09,155,2.0
2020-08-10,156,2.0
2020-08-11,156,2.0
2020-08-12,156,2.0
2020-08-13,157,2.0
2020-08-14,157,2.0
2020-08-15,158,2.0
2020-08-16,158,2.0
2020-08-17,158,2.0
2020-08-18,158,2.0
2020-08-19,159,2.0
2020-08-20,159,2.0
2020-08-21,160,2.0
2020-08-22,163,2.0
2020-08-23,163,2.0
2020-08-24,163,2.0
2020-08-25,163,2.0
2020-08-26,163,2.0
2020-08-27,169,2.0
2020-08-28,172,2.0
2020-08-29,173,2.0
2020-08-30,173,2.0
2020-08-31,174,2.0
2020-09-01,176,2.0
2020-09-02,185,2.0
2020-09-03,186,2.0
2020-09-04,187,2.0
2020-09-05,193,2.0
2020-09-06,195,2.0
2020-09-07,196,2.0
2020-09-08,196,2.0
2020-09-09,195,2.0
2020-09-10,198,2.0
2020-09-11,198,2.0
2020-09-12,200,3.0
2020-09-13,203,3.0
2020-09-14,205,3.0
2020-09-15,206,3.0
2020-09-16,213,3.0
2020-09-17,215,3.0
2020-09-18,215,3.0
2020-09-19,219,3.0
2020-09-20,222,3.0
2020-09-21,229,3.0
2020-09-22,228,3.0
2020-09-23,235,3.0
2020-09-24,243,3.0
2020-09-25,252,3.0
2020-09-26,270,3.0
2020-09-27,281,3.0
2020-09-28,287,3.0
2020-09-29,290,3.0
2020-09-30,295,3.0
2020-10-01,312,3.0
2020-10-02,325,3.0
2020-10-03,333,4.0
2020-10-04,339,4.0
2020-10-05,340,4.0
2020-10-06,341,4.0
2020-10-07,350,4.0
2020-10-08,359,4.0
2020-10-09,384,4.0
2020-10-10,413,4.0
2020-10-11,423,4.0
2020-10-12,435,4.0
2020-10-13,441,4.0
2020-10-14,456,4.0
2020-10-15,488,5.0
2020-10-16,518,5.0
2020-10-17,544,5.0
2020-10-18,568,5.0
2020-10-19,584,5.0
2020-10-20,614,5.0
2020-10-21,652,5.0
2020-10-22,710,5.0
2020-10-23,770,5.0
2020-10-24,797,5.0
2020-10-25,832,5.0
2020-10-26,855,5.0
2020-10-27,878,5.0
2020-10-28,907,6.0
2020-10-29,953,6.0
2020-10-30,990,7.0
2020-10-31,1022,9.0
2020-11-01,1051,9.0
2020-11-02,1063,9.0
2020-11-03,1089,9.0
2020-11-04,1121,9.0
2020-11-05,1153,10.0
2020-11-06,1208,10.0
2020-11-07,1229,11.0
2020-11-08,1252,11.0
2020-11-09,1256,11.0
2020-11-10,1269,11.0
2020-11-11,1301,11.0
2020-11-12,1331,11.0
2020-11-13,1349,11.0
2020-11-14,1378,12.0
2020-11-15,1397,13.0
2020-11-16,1407,13.0
2020-11-17,1418,13.0
2020-11-18,1453,17.0
2020-11-19,1477,17.0
2020-11-20,1498,17.0
2020-11-21,1518,17.0
2020-11-22,1530,20.0
2020-11-23,1539,20.0
2020-11-24,1555,20.0
2020-11-25,1585,20.0
2020-11-26,1585,20.0
2020-11-27,1610,21.0
2020-11-28,1619,23.0
2020-11-29,1631,23.0
2020-11-30,1640,23.0
2020-12-01,1649,23.0
2020-12-02,1677,24.0
2020-12-03,1691,25.0
2020-12-04,1699,26.0
2020-12-05,1709,27.0
2020-12-06,1722,27.0
2020-12-07,1730,27.0
2020-12-08,1741,27.0
2020-12-09,1757,29.0
2020-12-10,1763,29.0
2020-12-11,1775,29.0
2020-12-12,1781,31.0
2020-12-13,1794,31.0
2020-12-14,1796,31.0
2020-12-15,1809,31.0
2020-12-16,1835,33.0
2020-12-17,1844,33.0
2020-12-18,1849,33.0
2020-12-19,1857,33.0
2020-12-20,1862,33.0
2020-12-21,1870,33.0
2020-12-22,1878,33.0
2020-12-23,1887,33.0
2020-12-24,1893,34.0
2020-12-25,1893,34.0
2020-12-26,1896,34.0
2020-12-27,1902,34.0
2020-12-28,1906,34.0
2020-12-29,1913,34.0
2020-12-30,1924,35.0
2020-12-31,1927,35.0
2021-01-01,1927,35.0
2021-01-02,1929,35.0
2021-01-03,1937,35.0
2021-01-04,1940,35.0
2021-01-05,1945,35.0
2021-01-06,1952,35.0
