date,cases,deaths
2020-03-20,1,0
2020-03-21,1,0
2020-03-22,1,0
2020-03-23,1,0
2020-03-24,3,0
2020-03-25,3,0
2020-03-26,4,0
2020-03-27,6,0
2020-03-28,9,0
2020-03-29,9,0
2020-03-30,10,0
2020-03-31,25,0
2020-04-01,28,0
2020-04-02,32,0
2020-04-03,33,0
2020-04-04,34,0
2020-04-05,36,1
2020-04-06,38,2
2020-04-07,41,2
2020-04-08,42,2
2020-04-09,44,2
2020-04-10,45,3
2020-04-11,46,3
2020-04-12,46,3
2020-04-13,46,3
2020-04-14,47,3
2020-04-15,47,3
2020-04-16,46,3
2020-04-17,46,3
2020-04-18,46,3
2020-04-19,46,3
2020-04-20,46,3
2020-04-21,46,3
2020-04-22,47,3
2020-04-23,48,3
2020-04-24,49,3
2020-04-25,53,3
2020-04-26,53,3
2020-04-27,54,3
2020-04-28,55,3
2020-04-29,55,3
2020-04-30,56,3
2020-05-01,58,3
2020-05-02,63,3
2020-05-03,63,3
2020-05-04,70,3
2020-05-05,73,3
2020-05-06,69,3
2020-05-07,69,3
2020-05-08,69,3
2020-05-09,71,3
2020-05-10,71,3
2020-05-11,72,3
2020-05-12,73,3
2020-05-13,74,3
2020-05-14,75,3
2020-05-15,75,3
2020-05-16,75,3
2020-05-17,75,3
2020-05-18,76,3
2020-05-19,76,3
2020-05-20,76,3
2020-05-21,77,3
2020-05-22,78,3
2020-05-23,81,3
2020-05-24,82,3
2020-05-25,82,3
2020-05-26,84,3
2020-05-27,89,3
2020-05-28,89,3
2020-05-29,89,3
2020-05-30,91,3
2020-05-31,91,3
2020-06-01,91,3
2020-06-02,93,3
2020-06-03,93,3
2020-06-04,93,3
2020-06-05,93,3
2020-06-06,93,3
2020-06-07,94,3
2020-06-08,94,3
2020-06-09,96,3
2020-06-10,96,3
2020-06-11,97,3
2020-06-12,104,3
2020-06-13,103,3
2020-06-14,104,3
2020-06-15,106,3
2020-06-16,110,3
2020-06-17,115,3
2020-06-18,118,3
2020-06-19,119,3
2020-06-20,127,3
2020-06-21,127,3
2020-06-22,130,3
2020-06-23,139,3
2020-06-24,142,3
2020-06-25,150,3
2020-06-26,152,3
