date,cases,deaths
2020-03-19,1,0
2020-03-20,1,0
2020-03-21,2,0
2020-03-22,2,0
2020-03-23,2,0
2020-03-24,2,0
2020-03-25,2,0
2020-03-26,3,0
2020-03-27,3,0
2020-03-28,3,0
2020-03-29,3,0
2020-03-30,3,0
2020-03-31,3,0
2020-04-01,3,0
2020-04-02,5,0
2020-04-03,5,0
2020-04-04,7,0
2020-04-05,9,0
2020-04-06,9,0
2020-04-07,10,0
2020-04-08,11,0
2020-04-09,14,0
2020-04-10,15,0
2020-04-11,18,0
2020-04-12,18,0
2020-04-13,22,0
2020-04-14,22,0
2020-04-15,24,0
2020-04-16,24,0
2020-04-17,24,0
2020-04-18,25,0
2020-04-19,28,0
2020-04-20,28,0
2020-04-21,28,0
2020-04-22,29,0
2020-04-23,30,0
2020-04-24,30,0
2020-04-25,31,0
2020-04-26,31,0
2020-04-27,32,0
2020-04-28,33,0
2020-04-29,34,0
2020-04-30,34,0
2020-05-01,36,0
2020-05-02,36,0
2020-05-03,36,0
2020-05-04,39,0
2020-05-05,40,0
2020-05-06,38,0
2020-05-07,39,0
2020-05-08,41,0
2020-05-09,41,0
2020-05-10,41,0
2020-05-11,43,0
2020-05-12,43,0
2020-05-13,44,0
2020-05-14,44,0
2020-05-15,44,0
2020-05-16,44,0
2020-05-17,44,0
2020-05-18,44,0
2020-05-19,45,0
2020-05-20,45,0
2020-05-21,45,0
2020-05-22,46,0
2020-05-23,48,0
2020-05-24,48,0
2020-05-25,48,0
2020-05-26,48,0
2020-05-27,49,0
2020-05-28,50,0
2020-05-29,50,0
2020-05-30,50,0
2020-05-31,50,0
2020-06-01,50,0
2020-06-02,55,0
2020-06-03,57,0
2020-06-04,57,0
2020-06-05,59,0
2020-06-06,60,0
2020-06-07,61,0
2020-06-08,67,0
2020-06-09,70,0
2020-06-10,71,0
2020-06-11,73,0
2020-06-12,82,0
2020-06-13,86,0
2020-06-14,91,0
2020-06-15,99,0
2020-06-16,106,0
2020-06-17,116,0
2020-06-18,122,0
2020-06-19,141,0
2020-06-20,145,0
2020-06-21,158,0
2020-06-22,164,0
2020-06-23,174,0
2020-06-24,181,0
2020-06-25,181,0
2020-06-26,184,0
2020-06-27,192,0
2020-06-28,192,0
2020-06-29,206,0
2020-06-30,214,1
2020-07-01,225,1
2020-07-02,232,1
2020-07-03,240,1
2020-07-04,248,1
2020-07-05,251,1
2020-07-06,254,3
2020-07-07,261,3
2020-07-08,270,3
2020-07-09,274,3
2020-07-10,280,3
2020-07-11,291,3
2020-07-12,292,3
2020-07-13,302,3
2020-07-14,310,3
2020-07-15,326,3
2020-07-16,337,3
2020-07-17,352,3
2020-07-18,358,3
2020-07-19,365,3
2020-07-20,373,4
2020-07-21,383,5
2020-07-22,383,5
2020-07-23,400,5
2020-07-24,416,5
2020-07-25,424,5
2020-07-26,436,5
2020-07-27,446,5
2020-07-28,457,5
2020-07-29,459,5
2020-07-30,487,5
2020-07-31,515,6
2020-08-01,534,7
2020-08-02,542,7
2020-08-03,555,7
2020-08-04,568,7
2020-08-05,579,7
2020-08-06,593,7
2020-08-07,619,7
2020-08-08,628,7
2020-08-09,650,8
2020-08-10,663,8
2020-08-11,668,8
2020-08-12,679,8
2020-08-13,696,9
2020-08-14,715,9
2020-08-15,728,9
2020-08-16,737,9
2020-08-17,747,9
2020-08-18,751,9
2020-08-19,772,9
2020-08-20,794,9
2020-08-21,809,9
2020-08-22,829,9
2020-08-23,852,9
2020-08-24,862,9
2020-08-25,866,9
2020-08-26,887,9
2020-08-27,917,9
2020-08-28,924,10
2020-08-29,947,10
2020-08-30,952,10
2020-08-31,964,10
2020-09-01,975,10
2020-09-02,988,10
2020-09-03,1013,10
2020-09-04,1025,10
2020-09-05,1034,10
2020-09-06,1056,10
2020-09-07,1060,10
2020-09-08,1063,10
2020-09-09,1061,11
2020-09-10,1082,10
2020-09-11,1100,11
2020-09-12,1125,10
2020-09-13,1129,12
2020-09-14,1152,12
2020-09-15,1161,13
2020-09-16,1185,13
2020-09-17,1210,13
2020-09-18,1246,13
2020-09-19,1253,12
2020-09-20,1266,12
2020-09-21,1279,12
2020-09-22,1287,12
2020-09-23,1314,13
2020-09-24,1318,13
2020-09-25,1350,14
2020-09-26,1370,14
2020-09-27,1387,14
2020-09-28,1403,14
2020-09-29,1420,17
2020-09-30,1430,17
2020-10-01,1465,18
2020-10-02,1476,18
2020-10-03,1501,18
2020-10-04,1520,18
2020-10-05,1549,18
2020-10-06,1564,18
2020-10-07,1599,19
2020-10-08,1640,20
2020-10-09,1670,21
2020-10-10,1700,21
2020-10-11,1736,21
