date,cases,deaths
2020-03-22,1,0
2020-03-23,1,0
2020-03-24,2,0
2020-03-25,2,0
2020-03-26,2,0
2020-03-27,2,0
2020-03-28,2,0
2020-03-29,3,0
2020-03-30,5,0
2020-03-31,6,0
2020-04-01,6,0
2020-04-02,6,0
2020-04-03,7,0
2020-04-04,8,0
2020-04-05,11,0
2020-04-06,12,0
2020-04-07,13,0
2020-04-08,13,0
2020-04-09,16,0
2020-04-10,18,0
2020-04-11,19,0
2020-04-12,19,0
2020-04-13,20,0
2020-04-14,21,0
2020-04-15,24,0
2020-04-16,25,0
2020-04-17,27,0
2020-04-18,28,0
2020-04-19,31,0
2020-04-20,31,0
2020-04-21,32,0
2020-04-22,33,1
2020-04-23,32,1
2020-04-24,34,1
2020-04-25,35,1
2020-04-26,38,1
2020-04-27,41,1
2020-04-28,41,1
2020-04-29,44,1
2020-04-30,43,1
2020-05-01,45,1
2020-05-02,48,1
2020-05-03,50,1
2020-05-04,53,1
