date,cases,deaths
2020-03-20,1,0.0
2020-03-21,2,0.0
2020-03-22,2,0.0
2020-03-23,2,0.0
2020-03-24,2,0.0
2020-03-25,2,0.0
2020-03-26,2,0.0
2020-03-27,2,0.0
2020-03-28,2,0.0
2020-03-29,2,0.0
2020-03-30,2,0.0
2020-03-31,2,0.0
2020-04-01,3,0.0
2020-04-02,3,0.0
2020-04-03,3,0.0
2020-04-04,4,0.0
2020-04-05,4,0.0
2020-04-06,4,0.0
2020-04-07,4,0.0
2020-04-08,4,0.0
2020-04-09,4,0.0
2020-04-10,4,1.0
2020-04-11,4,1.0
2020-04-12,4,1.0
2020-04-13,6,1.0
2020-04-14,6,1.0
2020-04-15,7,1.0
2020-04-16,7,1.0
2020-04-17,7,1.0
2020-04-18,7,1.0
2020-04-19,8,1.0
2020-04-20,8,1.0
2020-04-21,13,1.0
2020-04-22,13,2.0
2020-04-23,14,2.0
2020-04-24,14,2.0
2020-04-25,14,2.0
2020-04-26,15,2.0
2020-04-27,16,2.0
2020-04-28,17,2.0
2020-04-29,17,2.0
2020-04-30,18,2.0
2020-05-01,18,2.0
2020-05-02,18,2.0
2020-05-03,19,2.0
2020-05-04,22,2.0
2020-05-05,23,2.0
2020-05-06,19,2.0
2020-05-07,20,2.0
2020-05-08,21,2.0
2020-05-09,21,2.0
2020-05-10,21,2.0
2020-05-11,21,2.0
2020-05-12,23,2.0
2020-05-13,25,2.0
2020-05-14,25,2.0
2020-05-15,24,2.0
2020-05-16,24,2.0
2020-05-17,25,2.0
2020-05-18,25,2.0
2020-05-19,24,2.0
2020-05-20,24,2.0
2020-05-21,24,2.0
2020-05-22,25,2.0
2020-05-23,25,2.0
2020-05-24,26,2.0
2020-05-25,26,2.0
2020-05-26,26,2.0
2020-05-27,30,2.0
2020-05-28,30,2.0
2020-05-29,34,2.0
2020-05-30,36,2.0
2020-05-31,36,2.0
2020-06-01,36,2.0
2020-06-02,43,2.0
2020-06-03,43,2.0
2020-06-04,42,2.0
2020-06-05,44,2.0
2020-06-06,45,2.0
2020-06-07,45,2.0
2020-06-08,58,2.0
2020-06-09,62,3.0
2020-06-10,63,3.0
2020-06-11,65,3.0
2020-06-12,75,3.0
2020-06-13,74,3.0
2020-06-14,75,3.0
2020-06-15,75,3.0
2020-06-16,88,3.0
2020-06-17,92,4.0
2020-06-18,91,4.0
2020-06-19,96,4.0
2020-06-20,109,4.0
2020-06-21,117,4.0
2020-06-22,121,4.0
2020-06-23,134,4.0
2020-06-24,156,4.0
2020-06-25,162,4.0
2020-06-26,170,4.0
2020-06-27,181,4.0
2020-06-28,181,4.0
2020-06-29,204,4.0
2020-06-30,220,4.0
2020-07-01,263,4.0
2020-07-02,296,4.0
2020-07-03,314,4.0
2020-07-04,317,4.0
2020-07-05,340,4.0
2020-07-06,343,4.0
2020-07-07,374,4.0
2020-07-08,397,4.0
2020-07-09,422,4.0
2020-07-10,447,4.0
2020-07-11,472,4.0
2020-07-12,474,4.0
2020-07-13,508,4.0
2020-07-14,514,4.0
2020-07-15,551,5.0
2020-07-16,571,5.0
2020-07-17,607,6.0
2020-07-18,643,6.0
2020-07-19,648,6.0
2020-07-20,660,6.0
2020-07-21,738,6.0
2020-07-22,743,6.0
2020-07-23,793,6.0
2020-07-24,827,6.0
2020-07-25,852,9.0
2020-07-26,883,10.0
2020-07-27,1008,10.0
2020-07-28,1061,10.0
2020-07-29,1101,10.0
2020-07-30,1125,13.0
2020-07-31,1183,13.0
2020-08-01,1208,13.0
2020-08-02,1217,13.0
2020-08-03,1229,13.0
2020-08-04,1297,13.0
2020-08-05,1311,13.0
2020-08-06,1346,14.0
2020-08-07,1372,14.0
2020-08-08,1383,14.0
2020-08-09,1396,14.0
2020-08-10,1405,14.0
2020-08-11,1420,16.0
2020-08-12,1425,15.0
2020-08-13,1456,15.0
2020-08-14,1476,15.0
2020-08-15,1487,15.0
2020-08-16,1494,15.0
2020-08-17,1507,15.0
2020-08-18,1512,16.0
2020-08-19,1530,16.0
2020-08-20,1539,16.0
2020-08-21,1559,17.0
2020-08-22,1564,18.0
2020-08-23,1576,18.0
2020-08-24,1580,18.0
2020-08-25,1588,20.0
2020-08-26,1609,20.0
2020-08-27,1625,20.0
2020-08-28,1634,20.0
2020-08-29,1646,21.0
2020-08-30,1649,22.0
2020-08-31,1659,22.0
2020-09-01,1665,22.0
2020-09-02,1668,22.0
2020-09-03,1668,22.0
2020-09-04,1675,22.0
2020-09-05,1685,21.0
2020-09-06,1689,21.0
2020-09-07,1691,21.0
2020-09-08,1693,21.0
2020-09-09,1698,21.0
2020-09-10,1735,22.0
2020-09-11,1750,22.0
2020-09-12,1753,22.0
2020-09-13,1760,22.0
2020-09-14,1771,22.0
2020-09-15,1775,22.0
2020-09-16,1797,23.0
2020-09-17,1798,25.0
2020-09-18,1824,25.0
2020-09-19,1831,25.0
2020-09-20,1836,25.0
2020-09-21,1838,25.0
2020-09-22,1839,25.0
2020-09-23,1873,25.0
2020-09-24,1885,25.0
2020-09-25,1899,26.0
2020-09-26,1914,26.0
2020-09-27,1939,26.0
2020-09-28,1943,26.0
2020-09-29,1948,28.0
2020-09-30,1965,28.0
2020-10-01,1971,30.0
2020-10-02,1999,31.0
2020-10-03,2010,31.0
2020-10-04,2032,31.0
2020-10-05,2061,31.0
2020-10-06,2073,31.0
2020-10-07,2094,34.0
2020-10-08,2115,35.0
2020-10-09,2134,38.0
2020-10-10,2167,40.0
2020-10-11,2199,40.0
2020-10-12,2232,40.0
2020-10-13,2229,41.0
2020-10-14,2254,41.0
2020-10-15,2271,43.0
2020-10-16,2281,43.0
2020-10-17,2292,43.0
2020-10-18,2316,43.0
2020-10-19,2327,43.0
2020-10-20,2338,43.0
2020-10-21,2365,43.0
2020-10-22,2379,43.0
2020-10-23,2422,48.0
2020-10-24,2445,48.0
2020-10-25,2464,48.0
2020-10-26,2475,48.0
2020-10-27,2495,48.0
2020-10-28,2525,50.0
2020-10-29,2547,50.0
2020-10-30,2569,50.0
2020-10-31,2582,50.0
2020-11-01,2584,50.0
2020-11-02,2600,50.0
2020-11-03,2620,50.0
2020-11-04,2635,51.0
2020-11-05,2648,51.0
2020-11-06,2681,51.0
2020-11-07,2707,51.0
2020-11-08,2742,51.0
2020-11-09,2783,51.0
2020-11-10,2788,54.0
2020-11-11,2816,55.0
2020-11-12,2848,55.0
2020-11-13,2917,56.0
2020-11-14,2961,56.0
2020-11-15,3034,56.0
2020-11-16,3085,56.0
2020-11-17,3084,56.0
2020-11-18,3109,56.0
2020-11-19,3131,57.0
2020-11-20,3163,57.0
2020-11-21,3214,57.0
2020-11-22,3282,57.0
2020-11-23,3315,57.0
2020-11-24,3322,58.0
2020-11-25,3360,59.0
2020-11-26,3383,60.0
2020-11-27,3408,60.0
2020-11-28,3455,60.0
2020-11-29,3501,61.0
2020-11-30,3607,61.0
2020-12-01,3679,61.0
2020-12-02,3697,62.0
2020-12-03,3724,62.0
2020-12-04,3752,63.0
2020-12-05,3788,63.0
2020-12-06,3810,63.0
2020-12-07,3961,63.0
2020-12-08,3985,64.0
2020-12-09,4118,64.0
2020-12-10,4168,64.0
2020-12-11,4244,65.0
2020-12-12,4292,66.0
2020-12-13,4457,67.0
2020-12-14,4566,68.0
2020-12-15,4652,68.0
2020-12-16,4736,68.0
2020-12-17,4873,70.0
2020-12-18,4977,70.0
2020-12-19,5063,71.0
2020-12-20,5155,71.0
2020-12-21,5268,72.0
2020-12-22,5264,74.0
2020-12-23,5360,75.0
2020-12-24,5397,77.0
2020-12-25,5536,77.0
2020-12-26,5586,78.0
2020-12-27,5617,78.0
2020-12-28,5662,79.0
2020-12-29,5718,80.0
2020-12-30,5799,83.0
2020-12-31,5862,86.0
2021-01-01,5862,86.0
2021-01-02,6044,89.0
2021-01-03,6114,89.0
2021-01-04,6142,90.0
2021-01-05,6200,91.0
2021-01-06,6289,91.0
2021-01-07,6391,91.0
