date,cases,deaths
2020-03-29,2,0
2020-03-30,2,0
2020-03-31,2,0
2020-04-01,2,0
2020-04-02,2,0
2020-04-03,2,0
2020-04-04,2,0
2020-04-05,3,0
2020-04-06,5,0
2020-04-07,6,0
2020-04-08,7,0
2020-04-09,9,0
2020-04-10,13,1
2020-04-11,13,1
2020-04-12,13,1
2020-04-13,12,1
2020-04-14,12,1
2020-04-15,12,1
2020-04-16,12,1
2020-04-17,12,1
2020-04-18,13,1
2020-04-19,13,1
2020-04-20,13,1
2020-04-21,13,1
2020-04-22,14,1
2020-04-23,14,1
2020-04-24,15,1
2020-04-25,17,1
2020-04-26,18,1
2020-04-27,19,1
2020-04-28,19,1
2020-04-29,19,1
2020-04-30,20,1
2020-05-01,23,1
2020-05-02,23,1
2020-05-03,25,1
2020-05-04,27,1
2020-05-05,27,1
2020-05-06,26,1
2020-05-07,26,1
2020-05-08,26,1
2020-05-09,26,1
2020-05-10,26,1
2020-05-11,26,1
2020-05-12,28,1
2020-05-13,28,1
2020-05-14,29,1
2020-05-15,29,1
2020-05-16,29,1
2020-05-17,29,1
2020-05-18,29,1
2020-05-19,29,1
2020-05-20,29,1
2020-05-21,29,1
2020-05-22,29,1
2020-05-23,29,2
2020-05-24,29,2
2020-05-25,29,2
2020-05-26,29,2
2020-05-27,30,2
2020-05-28,30,2
2020-05-29,30,2
2020-05-30,31,2
2020-05-31,31,2
2020-06-01,31,2
2020-06-02,32,2
2020-06-03,33,2
2020-06-04,33,2
2020-06-05,34,2
2020-06-06,34,2
2020-06-07,36,2
2020-06-08,34,2
2020-06-09,35,2
2020-06-10,35,2
2020-06-11,35,2
2020-06-12,36,2
2020-06-13,36,2
2020-06-14,37,2
2020-06-15,37,2
2020-06-16,37,2
