date,cases,deaths
2020-03-21,1,0.0
2020-03-22,1,0.0
2020-03-23,1,0.0
2020-03-24,1,0.0
2020-03-25,1,0.0
2020-03-26,1,0.0
2020-03-27,1,0.0
2020-03-28,1,0.0
2020-03-29,2,0.0
2020-03-30,2,0.0
2020-03-31,2,0.0
2020-04-01,2,0.0
2020-04-02,3,0.0
2020-04-03,3,0.0
2020-04-04,5,0.0
2020-04-05,5,0.0
2020-04-06,5,0.0
2020-04-07,5,0.0
2020-04-08,5,0.0
2020-04-09,5,0.0
2020-04-10,5,0.0
2020-04-11,5,0.0
2020-04-12,5,0.0
2020-04-13,5,0.0
2020-04-14,5,0.0
2020-04-15,6,0.0
2020-04-16,7,0.0
2020-04-17,8,0.0
2020-04-18,8,0.0
2020-04-19,8,0.0
2020-04-20,8,0.0
2020-04-21,8,0.0
2020-04-22,8,0.0
2020-04-23,8,0.0
2020-04-24,8,0.0
2020-04-25,8,0.0
2020-04-26,8,0.0
2020-04-27,8,0.0
2020-04-28,8,0.0
2020-04-29,8,0.0
2020-04-30,8,0.0
2020-05-01,8,0.0
2020-05-02,8,0.0
2020-05-03,8,0.0
2020-05-04,8,0.0
2020-05-05,8,0.0
2020-05-06,8,0.0
2020-05-07,8,0.0
2020-05-08,8,0.0
2020-05-09,8,0.0
2020-05-10,8,0.0
2020-05-11,8,0.0
2020-05-12,8,0.0
2020-05-13,8,0.0
2020-05-14,8,0.0
2020-05-15,8,0.0
2020-05-16,8,0.0
2020-05-17,8,0.0
2020-05-18,9,0.0
2020-05-19,9,0.0
2020-05-20,9,0.0
2020-05-21,9,0.0
2020-05-22,10,0.0
2020-05-23,13,0.0
2020-05-24,15,0.0
2020-05-25,15,0.0
2020-05-26,15,0.0
2020-05-27,16,0.0
2020-05-28,16,0.0
2020-05-29,16,0.0
2020-05-30,16,0.0
2020-05-31,16,0.0
2020-06-01,16,0.0
2020-06-02,16,0.0
2020-06-03,16,0.0
2020-06-04,16,0.0
2020-06-05,17,0.0
2020-06-06,19,0.0
2020-06-07,21,0.0
2020-06-08,21,0.0
2020-06-09,23,0.0
2020-06-10,23,0.0
2020-06-11,23,0.0
2020-06-12,33,0.0
2020-06-13,32,0.0
2020-06-14,33,0.0
2020-06-15,33,0.0
2020-06-16,32,0.0
2020-06-17,32,0.0
2020-06-18,32,0.0
2020-06-19,34,0.0
2020-06-20,34,0.0
2020-06-21,34,0.0
2020-06-22,34,0.0
2020-06-23,35,0.0
2020-06-24,41,0.0
2020-06-25,42,0.0
2020-06-26,42,0.0
2020-06-27,43,0.0
2020-06-28,43,0.0
2020-06-29,43,0.0
2020-06-30,44,0.0
2020-07-01,46,0.0
2020-07-02,50,0.0
2020-07-03,59,0.0
2020-07-04,61,0.0
2020-07-05,62,0.0
2020-07-06,62,0.0
2020-07-07,64,0.0
2020-07-08,71,0.0
2020-07-09,75,0.0
2020-07-10,80,0.0
2020-07-11,81,0.0
2020-07-12,85,0.0
2020-07-13,88,0.0
2020-07-14,94,0.0
2020-07-15,100,0.0
2020-07-16,105,0.0
2020-07-17,112,0.0
2020-07-18,118,0.0
2020-07-19,122,0.0
2020-07-20,125,0.0
2020-07-21,147,0.0
2020-07-22,156,0.0
2020-07-23,189,0.0
2020-07-24,196,0.0
2020-07-25,208,1.0
2020-07-26,230,1.0
2020-07-27,249,1.0
2020-07-28,273,1.0
2020-07-29,294,1.0
2020-07-30,302,1.0
2020-07-31,330,1.0
2020-08-01,347,1.0
2020-08-02,356,1.0
2020-08-03,364,2.0
2020-08-04,392,2.0
2020-08-05,398,2.0
2020-08-06,423,2.0
2020-08-07,433,2.0
2020-08-08,461,2.0
2020-08-09,475,2.0
2020-08-10,485,2.0
2020-08-11,488,2.0
2020-08-12,496,2.0
2020-08-13,510,2.0
2020-08-14,516,2.0
2020-08-15,524,2.0
2020-08-16,533,2.0
2020-08-17,542,2.0
2020-08-18,545,2.0
2020-08-19,559,2.0
2020-08-20,567,2.0
2020-08-21,573,2.0
2020-08-22,581,2.0
2020-08-23,586,2.0
2020-08-24,587,2.0
2020-08-25,587,2.0
2020-08-26,597,2.0
2020-08-27,605,2.0
2020-08-28,624,2.0
2020-08-29,632,2.0
2020-08-30,643,2.0
2020-08-31,651,2.0
2020-09-01,659,2.0
2020-09-02,671,2.0
2020-09-03,662,2.0
2020-09-04,669,2.0
2020-09-05,674,2.0
2020-09-06,690,2.0
2020-09-07,693,2.0
2020-09-08,696,2.0
2020-09-09,704,2.0
2020-09-10,717,3.0
2020-09-11,736,3.0
2020-09-12,744,4.0
2020-09-13,747,4.0
2020-09-14,760,4.0
2020-09-15,761,4.0
2020-09-16,781,3.0
2020-09-17,789,3.0
2020-09-18,812,3.0
2020-09-19,828,4.0
2020-09-20,835,4.0
2020-09-21,841,4.0
2020-09-22,849,3.0
2020-09-23,864,3.0
2020-09-24,872,4.0
2020-09-25,885,4.0
2020-09-26,895,4.0
2020-09-27,905,5.0
2020-09-28,909,6.0
2020-09-29,912,6.0
2020-09-30,917,6.0
2020-10-01,926,6.0
2020-10-02,936,6.0
2020-10-03,944,6.0
2020-10-04,954,6.0
2020-10-05,969,6.0
2020-10-06,980,6.0
2020-10-07,998,6.0
2020-10-08,1010,6.0
2020-10-09,1025,6.0
2020-10-10,1036,6.0
2020-10-11,1051,6.0
2020-10-12,1072,6.0
2020-10-13,1084,6.0
2020-10-14,1111,6.0
2020-10-15,1123,6.0
2020-10-16,1130,6.0
2020-10-17,1146,6.0
2020-10-18,1169,6.0
2020-10-19,1185,7.0
2020-10-20,1201,7.0
2020-10-21,1224,7.0
2020-10-22,1223,7.0
2020-10-23,1257,7.0
2020-10-24,1285,7.0
2020-10-25,1302,7.0
2020-10-26,1321,7.0
2020-10-27,1346,7.0
2020-10-28,1387,8.0
2020-10-29,1420,8.0
2020-10-30,1447,8.0
2020-10-31,1460,8.0
2020-11-01,1461,8.0
2020-11-02,1528,8.0
2020-11-03,1535,9.0
2020-11-04,1552,9.0
2020-11-05,1590,10.0
2020-11-06,1612,10.0
2020-11-07,1663,10.0
2020-11-08,1702,10.0
2020-11-09,1745,10.0
2020-11-10,1770,10.0
2020-11-11,1791,11.0
2020-11-12,1819,11.0
2020-11-13,1864,13.0
2020-11-14,1900,14.0
2020-11-15,1974,14.0
2020-11-16,2022,14.0
2020-11-17,2052,17.0
2020-11-18,2084,19.0
2020-11-19,2096,21.0
2020-11-20,2116,22.0
2020-11-21,2149,22.0
2020-11-22,2177,23.0
2020-11-23,2204,24.0
2020-11-24,2206,26.0
2020-11-25,2238,28.0
2020-11-26,2274,29.0
2020-11-27,2309,29.0
2020-11-28,2352,29.0
2020-11-29,2370,29.0
2020-11-30,2439,29.0
2020-12-01,2519,29.0
2020-12-02,2533,31.0
2020-12-03,2557,31.0
2020-12-04,2578,33.0
2020-12-05,2610,33.0
2020-12-06,2652,33.0
2020-12-07,2758,35.0
2020-12-08,2802,35.0
2020-12-09,2855,36.0
2020-12-10,2898,36.0
2020-12-11,2982,39.0
2020-12-12,3036,39.0
2020-12-13,3142,39.0
2020-12-14,3253,39.0
2020-12-15,3355,40.0
2020-12-16,3458,40.0
2020-12-17,3520,40.0
2020-12-18,3598,44.0
2020-12-19,3670,44.0
2020-12-20,3757,44.0
2020-12-21,3860,45.0
2020-12-22,3885,45.0
2020-12-23,3916,48.0
2020-12-24,3951,48.0
2020-12-25,3951,48.0
2020-12-26,4095,48.0
2020-12-27,4134,48.0
