date,cases,deaths
2020-03-20,1,0
2020-03-21,2,0
2020-03-22,5,0
2020-03-23,5,0
2020-03-24,6,0
2020-03-25,6,0
2020-03-26,8,0
2020-03-27,10,0
2020-03-28,11,0
2020-03-29,15,0
2020-03-30,16,0
2020-03-31,16,0
2020-04-01,22,0
2020-04-02,24,0
2020-04-03,28,0
2020-04-04,31,0
2020-04-05,33,0
2020-04-06,36,0
2020-04-07,38,0
2020-04-08,38,0
2020-04-09,39,0
2020-04-10,43,0
2020-04-11,44,0
2020-04-12,44,0
2020-04-13,50,0
2020-04-14,52,0
2020-04-15,53,0
2020-04-16,54,0
2020-04-17,55,0
2020-04-18,57,0
2020-04-19,56,0
2020-04-20,83,0
2020-04-21,83,0
2020-04-22,83,0
2020-04-23,87,0
2020-04-24,88,0
2020-04-25,91,0
2020-04-26,94,0
2020-04-27,95,0
2020-04-28,96,0
2020-04-29,98,0
2020-04-30,98,0
2020-05-01,98,0
2020-05-02,99,0
2020-05-03,146,0
2020-05-04,148,1
2020-05-05,149,1
2020-05-06,155,2
2020-05-07,158,2
2020-05-08,158,2
2020-05-09,158,2
2020-05-10,159,2
2020-05-11,373,2
2020-05-12,395,2
2020-05-13,400,2
2020-05-14,402,2
2020-05-15,402,2
2020-05-16,403,2
2020-05-17,403,2
2020-05-18,405,2
2020-05-19,407,2
2020-05-20,407,2
2020-05-21,409,2
2020-05-22,423,2
2020-05-23,426,2
2020-05-24,421,3
2020-05-25,427,3
2020-05-26,427,3
2020-05-27,428,3
2020-05-28,430,3
2020-05-29,437,3
2020-05-30,442,3
2020-05-31,442,3
2020-06-01,442,3
2020-06-02,455,3
2020-06-03,459,3
2020-06-04,461,3
2020-06-05,467,3
2020-06-06,475,3
2020-06-07,479,3
2020-06-08,480,3
2020-06-09,487,3
2020-06-10,488,3
2020-06-11,491,3
2020-06-12,497,3
2020-06-13,501,3
2020-06-14,510,3
2020-06-15,520,3
2020-06-16,525,3
2020-06-17,534,4
2020-06-18,541,4
2020-06-19,551,4
2020-06-20,554,4
2020-06-21,562,4
2020-06-22,563,4
2020-06-23,565,4
2020-06-24,571,4
2020-06-25,580,4
2020-06-26,584,4
2020-06-27,593,4
2020-06-28,593,4
2020-06-29,605,4
2020-06-30,607,4
2020-07-01,611,4
2020-07-02,620,5
2020-07-03,633,5
