date,cases,deaths
2020-03-19,2,0
2020-03-20,2,0
2020-03-21,8,0
2020-03-22,28,0
2020-03-23,109,0
2020-03-24,34,0
2020-03-25,78,1
2020-03-26,110,1
2020-03-27,171,4
2020-03-28,161,4
2020-03-29,190,4
2020-03-30,101,9
2020-03-31,259,8
2020-04-01,442,0
2020-04-02,101,0
2020-04-03,52,0
2020-04-04,63,0
2020-04-05,81,0
2020-04-06,69,2
2020-04-09,0,8
2020-04-10,22,0
2020-05-07,147,0
2020-05-08,71,0
2020-05-09,75,0
2020-05-10,230,0
2020-05-11,78,0
2020-05-12,80,0
2020-05-13,81,0
2020-05-14,85,0
2020-05-15,85,0
2020-05-16,86,0
2020-05-17,104,0
2020-05-18,106,0
2020-05-19,109,0
2020-05-20,109,4
2020-05-21,107,1
2020-05-22,110,0
2020-05-23,114,0
2020-05-24,119,0
2020-05-25,114,0
2020-05-26,114,0
2020-05-27,125,4
2020-05-28,133,0
2020-05-29,140,0
2020-05-30,143,0
2020-05-31,144,0
2020-06-01,144,0
2020-06-02,160,0
2020-06-03,160,0
2020-06-04,158,4
2020-06-05,159,0
2020-06-06,167,0
2020-06-07,170,0
2020-06-08,175,0
2020-06-09,174,0
2020-06-10,182,3
2020-06-11,186,4
2020-06-29,17,0
2020-07-01,0,1
2020-07-05,0,1
2020-07-06,0,1
2020-07-07,0,1
2020-07-08,185,1
2020-07-09,0,1
2020-07-10,0,1
2020-07-11,0,1
2020-07-12,0,1
2020-07-13,352,0
2020-07-15,0,1
2020-07-17,0,1
2020-07-18,0,1
