date,cases,deaths
2020-03-17,1,0
2020-03-18,3,0
2020-03-19,4,0
2020-03-20,6,0
2020-03-21,10,0
2020-03-22,12,0
2020-03-23,12,0
2020-03-24,12,0
2020-03-25,16,0
2020-03-26,28,0
2020-03-27,31,0
2020-03-28,36,0
2020-03-29,44,2
2020-03-30,44,2
2020-03-31,46,2
2020-04-01,63,3
2020-04-02,68,4
2020-04-03,72,4
2020-04-04,72,5
2020-04-05,75,5
2020-04-06,94,7
2020-04-07,94,7
2020-04-08,108,7
2020-04-09,114,9
2020-04-10,116,9
2020-04-11,134,10
2020-04-12,140,11
2020-04-13,143,12
2020-04-14,149,13
2020-04-15,151,13
2020-04-16,151,13
2020-04-17,164,15
2020-04-18,169,16
2020-04-19,170,16
2020-04-20,170,16
2020-04-21,173,16
2020-04-22,177,16
2020-04-23,177,16
2020-04-24,181,16
2020-04-25,181,16
2020-04-26,182,16
2020-04-27,182,16
2020-04-28,188,16
2020-04-29,193,16
2020-04-30,197,16
2020-05-01,202,16
2020-05-02,208,16
2020-05-03,208,16
2020-05-04,209,16
2020-05-05,219,17
2020-05-06,232,17
2020-05-07,243,17
2020-05-08,256,18
2020-05-09,265,18
2020-05-10,271,18
2020-05-11,278,18
2020-05-12,287,18
2020-05-13,301,18
2020-05-14,305,18
2020-05-15,312,18
2020-05-16,318,18
2020-05-17,325,18
2020-05-18,333,18
2020-05-19,341,18
