date,cases,deaths
2020-03-09,1,0.0
2020-03-10,3,0.0
2020-03-11,3,0.0
2020-03-12,4,0.0
2020-03-13,5,0.0
2020-03-14,7,0.0
2020-03-15,8,0.0
2020-03-16,8,0.0
2020-03-17,8,0.0
2020-03-18,13,1.0
2020-03-19,18,1.0
2020-03-20,27,1.0
2020-03-21,31,1.0
2020-03-22,38,1.0
2020-03-23,45,1.0
2020-03-24,53,1.0
2020-03-25,66,1.0
2020-03-26,88,1.0
2020-03-27,118,1.0
2020-03-28,128,1.0
2020-03-29,134,1.0
2020-03-30,160,1.0
2020-03-31,160,1.0
2020-04-01,184,1.0
2020-04-02,207,1.0
2020-04-03,227,2.0
2020-04-04,268,3.0
2020-04-05,268,3.0
2020-04-06,306,4.0
2020-04-07,343,4.0
2020-04-08,378,5.0
2020-04-09,406,6.0
2020-04-10,406,6.0
2020-04-11,441,7.0
2020-04-12,441,7.0
2020-04-13,472,10.0
2020-04-14,477,10.0
2020-04-15,477,10.0
2020-04-16,494,10.0
2020-04-17,521,12.0
2020-04-18,522,13.0
2020-04-19,527,13.0
2020-04-20,544,13.0
2020-04-21,570,14.0
2020-04-22,584,14.0
2020-04-23,609,14.0
2020-04-24,639,16.0
2020-04-25,654,16.0
2020-04-26,663,17.0
2020-04-27,676,17.0
2020-04-28,692,19.0
2020-04-29,710,19.0
2020-04-30,724,20.0
2020-05-01,767,22.0
2020-05-02,786,22.0
2020-05-03,791,22.0
2020-05-04,806,22.0
2020-05-05,830,22.0
2020-05-06,841,22.0
2020-05-07,859,24.0
2020-05-08,889,27.0
2020-05-09,903,27.0
2020-05-10,920,28.0
2020-05-11,941,29.0
2020-05-12,965,29.0
2020-05-13,980,30.0
2020-05-14,995,30.0
2020-05-15,1010,31.0
2020-05-16,1018,31.0
2020-05-17,1030,31.0
2020-05-18,1049,31.0
2020-05-19,1075,31.0
2020-05-20,1092,31.0
2020-05-21,1120,31.0
2020-05-22,1135,33.0
2020-05-23,1138,33.0
2020-05-24,1153,33.0
2020-05-25,1157,33.0
2020-05-26,1189,33.0
2020-05-27,1217,33.0
2020-05-28,1236,33.0
2020-05-29,1278,34.0
2020-05-30,1297,34.0
2020-05-31,1312,34.0
2020-06-01,1315,35.0
2020-06-02,1315,35.0
2020-06-03,1346,35.0
2020-06-04,1388,35.0
2020-06-05,1430,35.0
2020-06-06,1447,35.0
2020-06-07,1447,35.0
2020-06-08,1515,37.0
2020-06-09,1582,37.0
2020-06-10,1596,37.0
2020-06-11,1609,37.0
2020-06-12,1638,37.0
2020-06-13,1647,37.0
2020-06-14,1667,37.0
2020-06-15,1787,38.0
2020-06-16,1866,38.0
2020-06-17,1967,38.0
2020-06-18,2026,38.0
2020-06-19,2064,38.0
2020-06-20,2189,38.0
2020-06-21,2223,38.0
2020-06-22,2250,38.0
2020-06-23,2359,38.0
2020-06-24,2449,39.0
2020-06-25,2486,40.0
2020-06-26,2532,41.0
2020-06-27,2671,42.0
2020-06-28,2763,42.0
2020-06-29,2882,42.0
2020-06-30,2997,42.0
2020-07-01,3114,43.0
2020-07-02,3199,45.0
2020-07-03,3321,45.0
2020-07-04,3409,46.0
2020-07-05,3521,46.0
2020-07-06,3707,47.0
2020-07-07,3825,50.0
2020-07-08,3948,53.0
2020-07-09,4108,56.0
2020-07-10,4308,56.0
2020-07-11,4459,56.0
2020-07-12,4533,56.0
2020-07-13,4685,58.0
2020-07-14,4800,61.0
2020-07-15,4934,62.0
2020-07-16,5079,64.0
2020-07-17,5154,64.0
2020-07-18,5291,64.0
2020-07-19,5374,64.0
2020-07-20,5456,65.0
2020-07-21,5614,66.0
2020-07-22,5748,72.0
2020-07-23,5748,72.0
2020-07-24,5682,73.0
2020-07-25,5762,74.0
2020-07-26,5789,74.0
2020-07-27,5938,75.0
2020-07-28,6147,80.0
2020-07-29,6177,81.0
2020-07-30,6253,82.0
2020-07-31,6353,83.0
2020-08-01,6400,83.0
2020-08-02,6403,83.0
2020-08-03,6421,83.0
2020-08-04,6738,84.0
2020-08-05,6857,85.0
2020-08-06,7074,87.0
2020-08-07,7268,89.0
2020-08-08,7439,89.0
2020-08-09,7654,89.0
2020-08-10,7833,90.0
2020-08-11,8052,93.0
2020-08-12,8313,93.0
2020-08-13,8445,94.0
2020-08-14,9612,98.0
2020-08-15,10007,98.0
2020-08-16,10007,98.0
2020-08-17,10169,100.0
2020-08-18,10379,102.0
2020-08-19,10412,105.0
2020-08-20,10451,106.0
2020-08-21,10521,107.0
2020-08-22,10545,107.0
2020-08-23,10589,107.0
2020-08-24,10639,111.0
2020-08-25,10474,105.0
2020-08-26,10570,106.0
2020-08-27,10785,108.0
2020-08-28,10812,110.0
2020-08-29,10889,111.0
2020-08-30,10946,111.0
2020-08-31,10989,112.0
2020-09-01,11054,114.0
2020-09-02,11119,114.0
2020-09-03,11198,114.0
2020-09-04,11306,115.0
2020-09-05,11424,117.0
2020-09-06,11481,118.0
2020-09-07,11534,118.0
2020-09-08,11632,118.0
2020-09-09,11676,119.0
2020-09-10,11676,119.0
2020-09-11,11804,122.0
2020-09-12,11986,122.0
2020-09-13,12001,124.0
2020-09-14,12239,124.0
2020-09-15,12369,129.0
2020-09-16,12482,132.0
2020-09-17,12599,133.0
2020-09-18,12760,136.0
2020-09-19,12843,137.0
2020-09-20,12966,137.0
2020-09-21,13011,137.0
2020-09-22,13060,138.0
2020-09-23,13210,141.0
2020-09-24,13310,141.0
2020-09-25,13310,141.0
2020-09-26,13513,145.0
2020-09-27,13537,145.0
2020-09-28,13770,146.0
2020-09-29,13825,146.0
2020-09-30,13922,148.0
2020-10-01,14109,150.0
2020-10-02,14154,150.0
2020-10-03,15548,152.0
2020-10-04,15568,152.0
2020-10-05,15610,152.0
