date,cases,deaths
2020-03-24,3,0
2020-03-25,5,0
2020-03-26,8,1
2020-03-27,9,1
2020-03-28,9,1
2020-03-29,9,1
2020-03-30,9,2
2020-03-31,11,2
2020-04-01,12,2
2020-04-02,12,2
2020-04-03,18,2
2020-04-04,18,2
2020-04-05,21,2
2020-04-06,22,2
2020-04-07,22,2
2020-04-08,29,3
2020-04-09,29,4
2020-04-10,37,4
2020-04-11,37,4
2020-04-12,37,4
2020-04-13,38,6
2020-04-14,39,6
2020-04-15,43,6
2020-04-16,43,6
2020-04-17,43,6
2020-04-18,43,6
2020-04-19,43,6
2020-04-20,43,6
2020-04-21,45,6
2020-04-22,47,6
2020-04-23,48,6
2020-04-24,48,6
2020-04-25,48,6
2020-04-26,48,6
2020-04-27,49,6
2020-04-28,52,6
2020-04-29,54,6
2020-04-30,55,6
2020-05-01,58,6
2020-05-02,58,6
2020-05-03,58,6
2020-05-04,58,6
2020-05-05,59,6
2020-05-06,61,6
2020-05-07,65,6
2020-05-08,65,6
2020-05-09,65,6
2020-05-10,65,6
2020-05-11,65,6
2020-05-12,68,6
2020-05-13,68,6
2020-05-14,68,6
2020-05-15,70,6
2020-05-16,70,6
2020-05-17,70,6
2020-05-18,71,6
2020-05-19,72,6
2020-05-20,78,6
2020-05-21,81,6
2020-05-22,82,6
2020-05-23,82,6
2020-05-24,82,6
2020-05-25,82,6
2020-05-26,83,6
2020-05-27,83,6
2020-05-28,90,7
2020-05-29,94,7
2020-05-30,94,7
2020-05-31,94,7
2020-06-01,100,7
2020-06-02,108,7
2020-06-03,111,7
2020-06-04,113,7
2020-06-05,117,7
2020-06-06,117,7
2020-06-07,117,7
2020-06-08,121,7
2020-06-09,134,7
2020-06-10,137,7
2020-06-11,159,7
2020-06-12,176,7
2020-06-13,191,7
2020-06-14,191,7
2020-06-15,191,7
2020-06-16,240,7
2020-06-17,258,7
2020-06-18,277,7
2020-06-19,298,7
2020-06-20,346,7
2020-06-21,346,7
2020-06-22,346,7
2020-06-23,419,7
2020-06-24,471,7
