date,cases,deaths
2020-04-07,1,0
2020-04-08,1,0
2020-04-09,1,0
2020-04-10,1,0
2020-04-11,1,0
2020-04-12,1,0
2020-04-13,1,0
2020-04-14,2,0
2020-04-15,2,0
2020-04-16,2,0
2020-04-17,3,0
2020-04-18,3,0
2020-04-19,3,0
2020-04-20,2,0
2020-04-21,2,0
2020-04-22,3,0
2020-04-23,3,1
2020-04-24,4,1
2020-04-25,8,1
2020-04-26,8,1
2020-04-27,8,1
2020-04-28,8,1
2020-04-29,10,1
2020-04-30,10,1
2020-05-01,10,1
2020-05-02,12,1
2020-05-03,12,1
2020-05-04,13,1
2020-05-05,10,1
2020-05-06,10,1
2020-05-07,10,1
2020-05-08,11,1
2020-05-09,13,0
2020-05-10,13,0
2020-05-11,14,0
2020-05-12,16,0
2020-05-13,17,0
2020-05-14,19,0
2020-05-15,21,0
