date,cases,deaths
2020-03-10,2,0
2020-03-11,3,0
2020-03-12,8,0
2020-03-13,9,0
2020-03-14,11,0
2020-03-15,14,0
2020-03-16,14,0
2020-03-17,23,0
2020-03-18,34,0
2020-03-19,56,1
2020-03-20,74,1
2020-03-21,95,1
2020-03-22,132,2
2020-03-23,159,2
2020-03-24,169,5
2020-03-25,169,6
2020-03-26,303,7
2020-03-27,367,7
2020-03-28,439,9
2020-03-29,443,9
2020-03-30,549,11
2020-03-31,631,13
2020-04-01,731,15
2020-04-02,831,17
2020-04-03,921,17
2020-04-04,1015,18
2020-04-05,1112,18
2020-04-06,1155,18
2020-04-07,1261,19
2020-04-08,1324,20
2020-04-09,1432,22
2020-04-10,1537,25
2020-04-11,1648,27
2020-04-12,1723,31
2020-04-13,1788,32
2020-04-14,1877,42
2020-04-15,1986,43
2020-04-16,2066,50
2020-04-17,2190,55
2020-04-18,2324,60
2020-04-19,2428,60
2020-04-20,2512,60
2020-04-21,2602,64
2020-04-22,2683,65
2020-04-23,2763,72
2020-04-24,2834,77
2020-04-25,2909,81
2020-04-26,3014,82
2020-04-27,3105,84
2020-04-28,3240,94
2020-04-29,3352,99
2020-04-30,3531,104
2020-05-01,3718,106
2020-05-02,3899,110
2020-05-03,4133,111
2020-05-04,4370,114
2020-05-05,4623,121
2020-05-06,4869,123
2020-05-07,5120,125
2020-05-08,5369,135
2020-05-09,5619,143
2020-05-10,5870,143
2020-05-11,6123,145
2020-05-12,6359,148
2020-05-13,6602,153
2020-05-14,6837,159
2020-05-15,7036,164
2020-05-16,7250,170
2020-05-17,7455,176
2020-05-18,7679,177
2020-05-19,7904,191
2020-05-20,8090,196
2020-05-21,8273,203
2020-05-22,8477,207
2020-05-23,8649,210
2020-05-24,8827,211
2020-05-25,8998,211
2020-05-26,9188,213
2020-05-27,9385,221
2020-05-28,9587,222
2020-05-29,9787,223
2020-05-30,10006,228
2020-05-31,10234,229
2020-06-01,10462,229
2020-06-02,10719,245
2020-06-03,10958,249
2020-06-04,11243,250
2020-06-05,11541,260
2020-06-06,11830,262
2020-06-07,12093,264
2020-06-08,12347,264
