date,cases,deaths
2020-03-13,1,0
2020-03-14,1,0
2020-03-15,2,0
2020-03-16,2,0
2020-03-17,2,0
2020-03-18,3,0
2020-03-19,6,0
2020-03-20,6,0
2020-03-21,6,0
2020-03-22,6,0
2020-03-23,6,0
2020-03-24,12,0
2020-03-25,12,0
2020-03-26,25,0
2020-03-27,30,0
2020-03-28,35,0
2020-03-29,40,0
2020-03-30,47,0
2020-03-31,50,0
2020-04-01,50,0
2020-04-02,68,0
2020-04-03,78,0
2020-04-04,96,0
2020-04-05,106,0
2020-04-06,125,0
2020-04-07,153,0
2020-04-08,153,0
2020-04-09,225,1
2020-04-10,252,2
2020-04-11,269,2
2020-04-12,269,2
2020-04-13,300,2
2020-04-14,346,4
2020-04-15,346,4
2020-04-16,393,7
2020-04-17,482,7
2020-04-18,505,8
2020-04-19,531,8
2020-04-20,540,9
2020-04-21,587,9
2020-04-22,645,10
2020-04-23,674,10
2020-04-24,706,10
2020-04-25,780,12
2020-04-26,802,12
2020-04-27,802,12
2020-04-28,857,14
2020-04-29,887,18
2020-04-30,924,21
2020-05-01,961,22
2020-05-02,986,22
2020-05-03,998,22
2020-05-04,1029,22
2020-05-05,1080,22
2020-05-06,1119,23
2020-05-07,1190,30
2020-05-08,1276,32
