date,cases,deaths
2020-03-20,1,0
2020-03-21,1,0
2020-03-22,1,0
2020-03-23,1,0
2020-03-24,1,0
2020-03-25,1,0
2020-03-26,1,0
2020-03-27,1,0
2020-03-28,1,0
2020-03-29,1,0
2020-03-30,1,0
2020-03-31,1,0
2020-04-01,1,0
2020-04-02,1,0
2020-04-03,2,0
2020-04-04,2,0
2020-04-05,2,0
2020-04-06,2,0
2020-04-07,2,0
2020-04-08,2,0
2020-04-09,4,0
2020-04-10,5,0
2020-04-11,5,0
2020-04-12,5,0
2020-04-13,5,0
2020-04-14,5,0
2020-04-15,5,0
2020-04-16,5,0
2020-04-17,5,0
2020-04-18,7,0
2020-04-19,7,0
2020-04-20,8,0
2020-04-21,9,0
2020-04-22,12,0
2020-04-23,13,0
2020-04-24,13,0
2020-04-25,15,0
2020-04-26,15,0
2020-04-27,16,0
2020-04-28,17,0
2020-04-29,18,0
2020-04-30,18,0
2020-05-01,18,0
2020-05-02,19,0
2020-05-03,19,0
2020-05-04,20,0
2020-05-05,20,0
2020-05-06,22,1
2020-05-07,23,1
2020-05-08,23,1
2020-05-09,23,1
2020-05-10,23,1
2020-05-11,23,1
2020-05-12,23,1
2020-05-13,24,1
2020-05-14,24,1
2020-05-15,24,1
2020-05-16,25,2
2020-05-17,25,2
2020-05-18,25,2
2020-05-19,27,2
2020-05-20,28,2
2020-05-21,29,2
2020-05-22,29,2
2020-05-23,34,2
2020-05-24,34,2
2020-05-25,34,2
2020-05-26,37,2
2020-05-27,37,2
2020-05-28,37,2
2020-05-29,38,2
2020-05-30,41,2
2020-05-31,41,2
