date,cases,deaths
2020-03-25,1,0
2020-03-26,1,0
2020-03-27,1,0
2020-03-28,1,0
2020-03-29,1,0
2020-03-30,2,0
2020-03-31,3,0
2020-04-01,3,0
2020-04-02,3,0
2020-04-03,3,0
2020-04-04,3,0
2020-04-05,4,0
2020-04-06,4,0
2020-04-07,4,0
2020-04-08,4,0
2020-04-09,4,0
2020-04-10,4,0
2020-04-11,4,0
2020-04-12,4,0
2020-04-13,4,0
2020-04-14,4,0
2020-04-15,4,0
2020-04-16,4,0
2020-04-17,4,0
2020-04-18,4,0
2020-04-19,4,0
2020-04-20,4,0
2020-04-21,4,0
2020-04-22,4,0
2020-04-23,4,0
2020-04-24,4,0
2020-04-25,4,0
2020-04-26,4,0
2020-04-27,4,0
2020-04-28,4,0
2020-04-29,4,0
2020-04-30,4,0
2020-05-01,4,0
2020-05-02,6,0
2020-05-03,6,0
2020-05-04,6,0
2020-05-05,6,0
2020-05-06,6,0
2020-05-07,7,0
2020-05-08,7,0
2020-05-09,7,0
2020-05-10,8,0
2020-05-11,8,0
2020-05-12,8,0
2020-05-13,8,0
2020-05-14,8,0
2020-05-15,8,0
2020-05-16,8,0
2020-05-17,8,0
2020-05-18,8,0
2020-05-19,8,0
2020-05-20,11,0
2020-05-21,12,0
2020-05-22,12,0
2020-05-23,15,0
2020-05-24,15,0
2020-05-25,17,0
2020-05-26,18,0
2020-05-27,21,0
2020-05-28,24,0
2020-05-29,24,0
2020-05-30,26,0
2020-05-31,26,0
2020-06-01,26,0
2020-06-02,26,0
2020-06-03,27,0
2020-06-04,27,0
2020-06-05,28,0
2020-06-06,29,0
2020-06-07,30,0
2020-06-08,30,0
2020-06-09,39,0
2020-06-10,39,0
2020-06-11,41,0
2020-06-12,41,0
2020-06-13,41,0
2020-06-14,41,0
2020-06-15,41,0
2020-06-16,44,0
2020-06-17,44,0
2020-06-18,44,0
2020-06-19,48,1
2020-06-20,48,1
2020-06-21,50,2
2020-06-22,50,2
2020-06-23,51,1
2020-06-24,51,1
2020-06-25,52,0
2020-06-26,53,0
2020-06-27,54,0
2020-06-28,54,0
2020-06-29,54,0
2020-06-30,56,0
2020-07-01,63,0
2020-07-02,69,0
2020-07-03,70,0
2020-07-04,70,0
2020-07-05,70,1
2020-07-06,70,1
2020-07-07,75,0
2020-07-08,78,0
2020-07-09,77,0
2020-07-10,80,0
2020-07-11,79,0
2020-07-12,82,1
2020-07-13,86,0
2020-07-14,88,0
2020-07-15,99,0
2020-07-16,115,0
2020-07-17,119,0
2020-07-18,124,0
2020-07-19,124,0
2020-07-20,129,0
2020-07-21,136,0
2020-07-22,137,0
2020-07-23,142,0
2020-07-24,144,0
2020-07-25,149,0
2020-07-26,154,0
2020-07-27,154,0
2020-07-28,156,0
2020-07-29,157,1
2020-07-30,159,1
2020-07-31,163,1
2020-08-01,169,1
2020-08-02,169,1
2020-08-03,169,1
2020-08-04,180,1
2020-08-05,183,1
2020-08-06,194,1
2020-08-07,200,1
2020-08-08,198,2
2020-08-09,199,2
2020-08-10,201,2
2020-08-11,206,2
2020-08-12,205,3
2020-08-13,212,3
2020-08-14,213,3
2020-08-15,216,3
2020-08-16,217,3
2020-08-17,217,3
2020-08-18,222,3
2020-08-19,223,3
2020-08-20,227,3
2020-08-21,232,3
2020-08-22,234,4
2020-08-23,234,4
2020-08-24,234,4
2020-08-25,236,5
2020-08-26,238,5
2020-08-27,240,7
2020-08-28,241,7
2020-08-29,242,7
2020-08-30,244,7
2020-08-31,244,7
2020-09-01,246,7
2020-09-02,250,7
2020-09-03,251,8
2020-09-04,253,8
2020-09-05,256,8
2020-09-06,256,8
2020-09-07,256,8
2020-09-08,257,8
2020-09-09,260,8
2020-09-10,260,8
2020-09-11,284,8
2020-09-12,287,8
2020-09-13,287,8
2020-09-14,287,8
2020-09-15,287,8
2020-09-16,292,8
2020-09-17,298,8
2020-09-18,299,8
2020-09-19,322,8
2020-09-20,322,8
2020-09-21,325,8
2020-09-22,336,8
2020-09-23,337,8
2020-09-24,339,8
2020-09-25,339,8
2020-09-26,354,8
2020-09-27,354,8
2020-09-28,354,8
2020-09-29,360,8
2020-09-30,364,8
2020-10-01,383,11
2020-10-02,385,13
2020-10-03,385,13
2020-10-04,385,13
2020-10-05,395,13
2020-10-06,402,14
2020-10-07,408,15
2020-10-08,419,18
2020-10-09,423,18
2020-10-10,423,19
2020-10-11,423,20
2020-10-12,456,20
2020-10-13,458,20
2020-10-14,470,21
2020-10-15,473,21
2020-10-16,473,21
2020-10-17,475,23
2020-10-18,475,23
2020-10-19,475,23
2020-10-20,557,23
2020-10-21,589,23
2020-10-22,589,23
2020-10-23,592,26
2020-10-24,609,27
2020-10-25,609,27
2020-10-26,614,27
2020-10-27,635,27
2020-10-28,672,29
2020-10-29,673,34
2020-10-30,679,35
2020-10-31,693,35
2020-11-01,693,36
2020-11-02,695,36
2020-11-03,700,41
2020-11-04,703,42
2020-11-05,718,42
2020-11-06,722,43
2020-11-07,722,43
2020-11-08,735,44
2020-11-09,735,44
2020-11-10,745,45
2020-11-11,752,46
2020-11-12,755,47
2020-11-13,759,48
2020-11-14,759,48
2020-11-15,766,48
2020-11-16,767,48
2020-11-17,776,48
2020-11-18,779,49
2020-11-19,786,50
