date,cases,deaths
2020-03-24,7,0.0
2020-03-25,7,0.0
2020-03-26,7,0.0
2020-03-27,8,0.0
2020-03-28,12,0.0
2020-03-29,16,0.0
2020-03-30,18,0.0
2020-03-31,18,0.0
2020-04-01,27,0.0
2020-04-02,31,0.0
2020-04-03,40,2.0
2020-04-04,40,2.0
2020-04-05,51,2.0
2020-04-06,64,2.0
2020-04-07,78,2.0
2020-04-08,78,4.0
2020-04-09,92,5.0
2020-04-10,94,5.0
2020-04-11,100,5.0
2020-04-12,100,5.0
2020-04-13,124,6.0
2020-04-14,134,6.0
2020-04-15,140,6.0
2020-04-16,143,6.0
2020-04-17,157,7.0
2020-04-18,167,9.0
2020-04-19,167,9.0
2020-04-20,180,10.0
2020-04-21,196,10.0
2020-04-22,209,13.0
2020-04-23,244,13.0
2020-04-24,244,16.0
2020-04-25,243,18.0
2020-04-26,266,18.0
2020-04-27,268,18.0
2020-04-28,288,19.0
2020-04-29,298,19.0
2020-04-30,305,21.0
2020-05-01,307,21.0
2020-05-02,320,22.0
2020-05-03,324,22.0
2020-05-04,325,23.0
2020-05-05,337,23.0
2020-05-06,337,23.0
2020-05-07,354,24.0
2020-05-08,354,25.0
2020-05-09,360,25.0
2020-05-10,376,25.0
2020-05-11,381,25.0
2020-05-12,385,26.0
2020-05-13,399,26.0
2020-05-14,418,26.0
2020-05-15,429,26.0
2020-05-16,436,26.0
2020-05-17,436,26.0
2020-05-18,463,26.0
2020-05-19,466,26.0
2020-05-20,472,26.0
2020-05-21,472,27.0
2020-05-22,476,27.0
2020-05-23,478,27.0
2020-05-24,492,27.0
2020-05-25,498,27.0
2020-05-26,503,27.0
2020-05-27,506,27.0
2020-05-28,518,27.0
2020-05-29,524,27.0
2020-05-30,533,27.0
2020-05-31,544,27.0
2020-06-01,550,28.0
2020-06-02,562,28.0
2020-06-03,581,29.0
2020-06-04,585,29.0
2020-06-05,604,29.0
2020-06-06,619,30.0
2020-06-07,627,30.0
2020-06-08,627,30.0
2020-06-09,647,30.0
2020-06-10,1184,31.0
2020-06-11,1187,31.0
2020-06-12,1222,31.0
2020-06-13,1233,31.0
2020-06-14,1235,31.0
2020-06-15,1242,31.0
2020-06-16,1279,32.0
2020-06-17,1319,32.0
2020-06-18,1340,32.0
2020-06-19,1356,32.0
2020-06-20,1388,32.0
2020-06-21,1393,32.0
2020-06-22,1393,32.0
2020-06-23,1447,32.0
2020-06-24,1486,32.0
2020-06-25,1520,32.0
2020-06-26,1539,32.0
2020-06-27,1621,32.0
2020-06-28,1631,32.0
2020-06-29,1638,32.0
2020-06-30,1787,33.0
2020-07-01,1875,34.0
2020-07-02,1947,34.0
2020-07-03,2240,34.0
2020-07-04,2727,35.0
2020-07-05,2727,35.0
2020-07-06,2727,35.0
2020-07-07,2959,36.0
2020-07-08,3094,36.0
2020-07-09,3235,36.0
2020-07-10,3438,37.0
2020-07-11,3532,39.0
2020-07-12,3548,39.0
2020-07-13,3548,39.0
2020-07-14,3665,42.0
2020-07-15,3868,43.0
2020-07-16,4031,44.0
2020-07-17,4148,47.0
2020-07-18,4255,47.0
2020-07-19,4260,47.0
2020-07-20,4260,47.0
2020-07-21,4493,48.0
2020-07-22,4622,49.0
2020-07-23,4697,49.0
2020-07-24,4772,55.0
2020-07-25,4880,57.0
2020-07-26,4895,57.0
2020-07-27,5064,57.0
2020-07-28,5220,58.0
2020-07-29,5321,61.0
2020-07-30,5369,64.0
2020-07-31,5431,65.0
2020-08-01,5491,67.0
2020-08-02,5506,67.0
2020-08-03,5506,73.0
2020-08-04,5609,73.0
2020-08-05,5721,74.0
2020-08-06,5771,76.0
2020-08-07,5828,77.0
2020-08-08,5870,80.0
2020-08-09,5880,84.0
2020-08-10,5880,84.0
2020-08-11,5977,84.0
