date,cases,deaths
2020-04-03,1,0
2020-04-04,1,0
2020-04-05,1,0
2020-04-06,1,0
2020-04-07,2,0
2020-04-08,2,0
2020-04-09,2,0
2020-04-10,3,0
2020-04-11,3,0
2020-04-12,3,0
2020-04-13,3,0
2020-04-14,3,0
2020-04-15,3,0
2020-04-16,3,0
2020-04-17,3,0
2020-04-18,3,0
2020-04-19,3,0
2020-04-20,3,0
2020-04-21,3,0
2020-04-22,3,0
2020-04-23,3,0
2020-04-24,3,0
2020-04-25,3,0
2020-04-26,3,0
2020-04-27,3,0
2020-04-28,3,0
2020-04-29,3,0
2020-04-30,3,0
2020-05-01,3,0
2020-05-02,4,0
2020-05-03,4,0
2020-05-04,4,0
2020-05-05,5,0
2020-05-06,5,0
2020-05-07,6,0
2020-05-08,6,0
2020-05-09,8,0
2020-05-10,8,0
2020-05-11,8,0
2020-05-12,8,0
2020-05-13,8,0
2020-05-14,8,0
2020-05-15,8,0
2020-05-16,8,0
2020-05-17,8,0
2020-05-18,8,0
2020-05-19,8,0
2020-05-20,8,0
2020-05-21,8,0
2020-05-22,8,0
2020-05-23,8,0
2020-05-24,8,0
2020-05-25,8,0
2020-05-26,8,0
2020-05-27,8,0
2020-05-28,8,0
2020-05-29,8,0
2020-05-30,9,0
2020-05-31,9,0
2020-06-01,9,0
2020-06-02,9,0
2020-06-03,9,0
2020-06-04,9,0
2020-06-05,9,0
2020-06-06,9,0
2020-06-07,9,0
2020-06-08,9,0
2020-06-09,9,0
2020-06-10,9,0
2020-06-11,9,0
2020-06-12,9,0
2020-06-13,9,0
2020-06-14,9,0
2020-06-15,9,0
2020-06-16,11,0
2020-06-17,13,0
2020-06-18,13,0
2020-06-19,15,0
2020-06-20,16,0
2020-06-21,17,0
2020-06-22,18,0
2020-06-23,19,0
2020-06-24,19,0
2020-06-25,19,0
