date,cases,deaths
2020-04-04,1,0
2020-04-05,1,0
2020-04-06,1,0
2020-04-07,1,0
2020-04-08,1,0
2020-04-09,1,0
2020-04-10,1,0
2020-04-11,1,0
2020-04-12,1,0
2020-04-13,1,0
2020-04-14,1,0
2020-04-15,1,0
2020-04-16,1,0
2020-04-17,1,0
2020-04-18,1,0
2020-04-19,1,0
2020-04-20,1,0
2020-04-21,1,0
2020-04-22,1,0
2020-04-23,1,0
2020-04-24,1,0
2020-04-25,1,0
2020-04-26,1,0
2020-04-27,5,0
2020-04-28,5,0
2020-04-29,15,0
2020-04-30,15,0
2020-05-01,21,0
2020-05-02,24,0
2020-05-03,24,0
2020-05-04,24,0
2020-05-05,26,0
2020-05-06,27,0
2020-05-07,28,0
2020-05-08,28,0
2020-05-09,28,0
2020-05-10,28,0
2020-05-11,28,0
2020-05-12,28,0
2020-05-13,28,0
2020-05-14,28,0
2020-05-15,28,0
2020-05-16,31,0
2020-05-17,31,0
2020-05-18,31,0
2020-05-19,31,0
2020-05-20,31,0
2020-05-21,31,0
2020-05-22,31,0
2020-05-23,31,0
2020-05-24,31,0
2020-05-25,31,0
2020-05-26,31,0
2020-05-27,31,0
2020-05-28,31,0
2020-05-29,31,0
2020-05-30,32,0
2020-05-31,32,0
2020-06-01,32,0
2020-06-02,32,0
2020-06-03,32,0
2020-06-04,32,0
2020-06-05,32,0
2020-06-06,32,0
2020-06-07,32,0
2020-06-08,32,0
2020-06-09,32,0
2020-06-10,32,0
2020-06-11,33,0
2020-06-12,33,0
2020-06-13,33,0
2020-06-14,33,0
2020-06-15,33,0
2020-06-16,33,0
2020-06-17,33,0
2020-06-18,33,0
2020-06-19,33,0
2020-06-20,33,0
