date,cases,deaths
2020-03-25,1,0.0
2020-03-26,1,0.0
2020-03-27,1,0.0
2020-03-28,1,0.0
2020-03-29,1,0.0
2020-03-30,1,0.0
2020-03-31,1,0.0
2020-04-01,1,0.0
2020-04-02,3,0.0
2020-04-03,4,0.0
2020-04-04,4,0.0
2020-04-05,7,0.0
2020-04-06,7,0.0
2020-04-07,7,0.0
2020-04-08,7,0.0
2020-04-09,7,0.0
2020-04-10,9,0.0
2020-04-11,9,0.0
2020-04-12,9,0.0
2020-04-13,9,0.0
2020-04-14,10,0.0
2020-04-15,10,0.0
2020-04-16,10,0.0
2020-04-17,12,0.0
2020-04-18,12,0.0
2020-04-19,12,0.0
2020-04-20,12,0.0
2020-04-21,15,0.0
2020-04-22,15,0.0
2020-04-23,14,0.0
2020-04-24,14,0.0
2020-04-25,16,0.0
2020-04-26,16,0.0
2020-04-27,16,0.0
2020-04-28,16,0.0
2020-04-29,16,0.0
2020-04-30,16,0.0
2020-05-01,24,0.0
2020-05-02,24,0.0
2020-05-03,24,0.0
2020-05-04,24,0.0
2020-05-05,26,0.0
2020-05-06,26,0.0
2020-05-07,26,0.0
2020-05-08,26,0.0
2020-05-09,26,0.0
2020-05-10,26,0.0
2020-05-11,26,0.0
2020-05-12,41,0.0
2020-05-13,41,0.0
2020-05-14,52,0.0
2020-05-15,57,0.0
2020-05-16,57,0.0
2020-05-17,74,0.0
2020-05-18,74,0.0
2020-05-19,89,0.0
2020-05-20,93,1.0
2020-05-21,94,1.0
2020-05-22,94,1.0
2020-05-23,97,1.0
2020-05-24,97,1.0
2020-05-25,97,1.0
2020-05-26,97,1.0
2020-05-27,97,1.0
2020-05-28,97,1.0
2020-05-29,109,1.0
2020-05-30,116,1.0
2020-05-31,116,1.0
2020-06-01,116,1.0
2020-06-02,120,1.0
2020-06-03,120,1.0
2020-06-04,129,1.0
2020-06-05,129,1.0
2020-06-06,133,2.0
2020-06-07,133,2.0
2020-06-08,133,2.0
2020-06-09,133,2.0
2020-06-10,142,2.0
2020-06-11,149,2.0
2020-06-12,149,2.0
2020-06-13,160,2.0
2020-06-14,160,2.0
2020-06-15,160,2.0
2020-06-16,160,2.0
2020-06-17,199,2.0
2020-06-18,200,2.0
2020-06-19,206,2.0
2020-06-20,214,2.0
2020-06-21,214,2.0
2020-06-22,214,2.0
2020-06-23,214,2.0
2020-06-24,250,2.0
2020-06-25,282,2.0
2020-06-26,290,2.0
2020-06-27,311,2.0
2020-06-28,311,2.0
2020-06-29,311,2.0
2020-06-30,311,2.0
2020-07-01,434,3.0
2020-07-02,434,3.0
2020-07-03,455,5.0
2020-07-04,519,5.0
2020-07-05,519,5.0
2020-07-06,519,5.0
2020-07-07,550,5.0
2020-07-08,550,5.0
2020-07-09,677,6.0
2020-07-10,720,7.0
2020-07-11,776,7.0
2020-07-12,776,7.0
2020-07-13,776,7.0
2020-07-14,776,7.0
2020-07-15,874,12.0
2020-07-16,892,13.0
2020-07-17,939,13.0
2020-07-18,1061,13.0
2020-07-19,1169,16.0
2020-07-20,1169,16.0
2020-07-21,1169,16.0
2020-07-22,1283,19.0
2020-07-23,1283,19.0
2020-07-24,1390,23.0
2020-07-25,1390,23.0
2020-07-26,1390,23.0
2020-07-27,1390,23.0
2020-07-28,1390,23.0
2020-07-29,1390,26.0
2020-07-30,1730,29.0
2020-07-31,1802,29.0
2020-08-01,1852,29.0
2020-08-02,1852,29.0
2020-08-03,1852,29.0
2020-08-04,1852,29.0
2020-08-05,1852,29.0
2020-08-06,2210,37.0
2020-08-07,2321,38.0
2020-08-08,2321,42.0
2020-08-09,2321,43.0
2020-08-10,2321,43.0
2020-08-11,2321,44.0
2020-08-12,2321,44.0
2020-08-13,2569,45.0
2020-08-14,2596,47.0
2020-08-15,2596,53.0
2020-08-16,2596,54.0
2020-08-17,2596,54.0
2020-08-18,2596,54.0
2020-08-19,2596,57.0
2020-08-20,2596,57.0
2020-08-21,2596,67.0
2020-08-22,3117,67.0
2020-08-23,3117,67.0
2020-08-24,3117,67.0
2020-08-25,3168,67.0
2020-08-26,3228,73.0
2020-08-27,3248,78.0
2020-08-28,3258,78.0
2020-08-29,3258,79.0
2020-08-30,3258,82.0
2020-08-31,3258,82.0
2020-09-01,3293,82.0
2020-09-02,3335,82.0
2020-09-03,3335,84.0
2020-09-04,3335,84.0
2020-09-05,3335,92.0
2020-09-06,3335,92.0
2020-09-07,3335,92.0
2020-09-08,3335,100.0
2020-09-09,3458,101.0
2020-09-10,3458,101.0
2020-09-11,3499,102.0
2020-09-12,3535,102.0
2020-09-13,3535,102.0
2020-09-14,3535,102.0
2020-09-15,3535,102.0
2020-09-16,3535,102.0
2020-09-17,3535,102.0
2020-09-18,3535,110.0
2020-09-19,3535,110.0
2020-09-20,3535,112.0
2020-09-21,3535,112.0
2020-09-22,3535,112.0
2020-09-23,3652,114.0
2020-09-24,3652,119.0
2020-09-25,3652,119.0
2020-09-26,3712,122.0
2020-09-27,3712,123.0
2020-09-28,3712,124.0
2020-09-29,3712,124.0
2020-09-30,3712,124.0
2020-10-01,3712,125.0
2020-10-02,3712,127.0
2020-10-03,3712,127.0
2020-10-04,3712,127.0
2020-10-05,3712,127.0
2020-10-06,3712,129.0
2020-10-07,3829,135.0
2020-10-08,3838,135.0
2020-10-09,3838,135.0
2020-10-10,3838,137.0
2020-10-11,3838,140.0
2020-10-12,3838,140.0
2020-10-13,3838,140.0
2020-10-14,3838,140.0
2020-10-15,3838,140.0
2020-10-16,3838,142.0
2020-10-17,3838,142.0
2020-10-18,3838,142.0
2020-10-19,3838,142.0
2020-10-20,4027,142.0
2020-10-21,4084,142.0
2020-10-22,4084,142.0
2020-10-23,4110,144.0
2020-10-24,4182,145.0
2020-10-25,4182,146.0
2020-10-26,4182,146.0
2020-10-27,4224,146.0
2020-10-28,4232,147.0
2020-10-29,4273,148.0
2020-10-30,4292,148.0
2020-10-31,4292,151.0
2020-11-01,4322,151.0
2020-11-02,4322,151.0
2020-11-03,4363,151.0
