date,cases,deaths
2020-05-19,1,0.0
2020-05-20,1,0.0
2020-05-21,1,0.0
2020-05-22,1,0.0
2020-05-23,1,0.0
2020-05-24,1,0.0
2020-05-25,1,0.0
2020-05-26,1,0.0
2020-05-27,1,0.0
2020-05-28,1,0.0
2020-05-29,1,0.0
2020-05-30,1,0.0
2020-05-31,1,0.0
2020-06-01,1,0.0
2020-06-02,1,0.0
2020-06-03,1,0.0
2020-06-04,1,0.0
2020-06-05,1,0.0
2020-06-06,1,0.0
2020-06-07,1,0.0
2020-06-08,1,0.0
2020-06-09,1,0.0
2020-06-10,1,0.0
2020-06-11,1,0.0
2020-06-12,1,0.0
2020-06-13,1,0.0
2020-06-14,1,0.0
2020-06-15,1,0.0
2020-06-16,1,0.0
2020-06-17,1,0.0
2020-06-18,1,0.0
2020-06-19,1,0.0
2020-06-20,1,0.0
2020-06-21,1,0.0
2020-06-22,1,0.0
2020-06-23,1,0.0
2020-06-24,1,0.0
2020-06-25,1,0.0
2020-06-26,1,0.0
2020-06-27,1,0.0
2020-06-28,1,0.0
2020-06-29,1,0.0
2020-06-30,1,0.0
2020-07-01,1,0.0
2020-07-02,1,0.0
2020-07-03,1,0.0
2020-07-04,1,0.0
2020-07-05,1,0.0
2020-07-06,1,0.0
2020-07-07,1,0.0
2020-07-08,3,0.0
2020-07-09,6,0.0
2020-07-10,6,0.0
2020-07-11,7,0.0
2020-07-12,7,0.0
2020-07-13,7,0.0
2020-07-14,7,0.0
2020-07-15,7,0.0
2020-07-16,7,0.0
2020-07-17,7,0.0
2020-07-18,7,0.0
2020-07-19,7,0.0
2020-07-20,8,0.0
2020-07-21,8,0.0
2020-07-22,10,0.0
2020-07-23,11,0.0
2020-07-24,12,0.0
2020-07-25,13,0.0
2020-07-26,13,0.0
2020-07-27,14,0.0
2020-07-28,14,0.0
2020-07-29,14,0.0
2020-07-30,14,0.0
2020-07-31,15,0.0
2020-08-01,15,0.0
2020-08-02,15,0.0
2020-08-03,15,0.0
2020-08-04,16,0.0
2020-08-05,16,0.0
2020-08-06,16,0.0
2020-08-07,19,0.0
2020-08-08,22,0.0
2020-08-09,22,0.0
2020-08-10,22,0.0
2020-08-11,22,0.0
2020-08-12,24,0.0
2020-08-13,26,0.0
2020-08-14,26,0.0
2020-08-15,26,0.0
2020-08-16,26,0.0
2020-08-17,26,0.0
2020-08-18,27,0.0
2020-08-19,27,0.0
2020-08-20,30,0.0
2020-08-21,31,0.0
2020-08-22,31,0.0
2020-08-23,31,0.0
2020-08-24,31,0.0
2020-08-25,31,0.0
2020-08-26,31,0.0
2020-08-27,31,0.0
2020-08-28,33,0.0
2020-08-29,33,0.0
2020-08-30,34,0.0
2020-08-31,35,0.0
2020-09-01,35,0.0
2020-09-02,35,0.0
2020-09-03,35,0.0
2020-09-04,35,0.0
2020-09-05,35,0.0
2020-09-06,35,0.0
2020-09-07,35,0.0
2020-09-08,35,0.0
2020-09-09,40,0.0
2020-09-10,40,0.0
2020-09-11,42,0.0
2020-09-12,42,0.0
2020-09-13,42,0.0
2020-09-14,42,0.0
2020-09-15,45,0.0
2020-09-16,46,0.0
2020-09-17,50,0.0
2020-09-18,51,0.0
2020-09-19,52,0.0
2020-09-20,52,0.0
2020-09-21,52,0.0
2020-09-22,55,0.0
2020-09-23,59,0.0
2020-09-24,59,0.0
2020-09-25,59,0.0
2020-09-26,59,0.0
2020-09-27,59,0.0
2020-09-28,59,0.0
2020-09-29,59,0.0
2020-09-30,59,0.0
2020-10-01,59,0.0
2020-10-02,60,0.0
2020-10-03,61,0.0
2020-10-04,61,0.0
2020-10-05,61,0.0
2020-10-06,61,0.0
2020-10-07,62,0.0
2020-10-08,64,0.0
2020-10-09,65,0.0
2020-10-10,66,0.0
2020-10-11,66,0.0
2020-10-12,66,0.0
2020-10-13,67,0.0
2020-10-14,70,0.0
2020-10-15,70,0.0
2020-10-16,70,0.0
2020-10-17,71,0.0
2020-10-18,71,0.0
2020-10-19,71,0.0
2020-10-20,71,0.0
2020-10-21,71,1.0
2020-10-22,71,1.0
2020-10-23,73,1.0
2020-10-24,74,1.0
2020-10-25,76,1.0
2020-10-26,76,1.0
2020-10-27,77,1.0
2020-10-28,76,1.0
2020-10-29,78,1.0
2020-10-30,79,1.0
2020-10-31,79,1.0
2020-11-01,79,1.0
2020-11-02,79,1.0
2020-11-03,80,1.0
2020-11-04,84,2.0
2020-11-05,87,2.0
2020-11-06,94,2.0
2020-11-07,94,3.0
2020-11-08,94,3.0
2020-11-09,94,3.0
2020-11-10,101,3.0
2020-11-11,109,3.0
2020-11-12,109,3.0
2020-11-13,111,3.0
2020-11-14,113,3.0
2020-11-15,113,4.0
2020-11-16,113,4.0
2020-11-17,114,4.0
2020-11-18,115,4.0
2020-11-19,116,4.0
2020-11-20,128,4.0
2020-11-21,129,4.0
2020-11-22,129,4.0
2020-11-23,129,4.0
2020-11-24,129,4.0
2020-11-25,136,4.0
2020-11-26,139,4.0
2020-11-27,139,4.0
2020-11-28,144,4.0
2020-11-29,145,4.0
2020-11-30,145,4.0
2020-12-01,150,4.0
2020-12-02,153,4.0
2020-12-03,167,5.0
2020-12-04,168,6.0
2020-12-05,175,7.0
2020-12-06,175,7.0
2020-12-07,175,7.0
2020-12-08,176,8.0
2020-12-09,177,8.0
2020-12-10,182,8.0
2020-12-11,199,8.0
2020-12-12,200,8.0
2020-12-13,200,8.0
2020-12-14,200,8.0
2020-12-15,203,8.0
2020-12-16,205,8.0
2020-12-17,209,8.0
2020-12-18,211,8.0
2020-12-19,211,10.0
2020-12-20,211,10.0
2020-12-21,211,10.0
2020-12-22,224,10.0
2020-12-23,233,11.0
2020-12-24,240,11.0
2020-12-25,242,11.0
2020-12-26,242,11.0
2020-12-27,243,11.0
2020-12-28,243,11.0
2020-12-29,250,11.0
2020-12-30,261,11.0
2020-12-31,271,11.0
2021-01-01,278,12.0
2021-01-02,278,12.0
2021-01-03,278,12.0
2021-01-04,278,12.0
2021-01-05,280,12.0
2021-01-06,282,12.0
2021-01-07,297,12.0
2021-01-08,295,13.0
2021-01-09,298,13.0
2021-01-10,298,13.0
2021-01-11,298,13.0
2021-01-12,298,13.0
2021-01-13,298,13.0
2021-01-14,299,14.0
2021-01-15,306,14.0
2021-01-16,343,15.0
2021-01-17,344,15.0
2021-01-18,344,15.0
2021-01-19,344,16.0
2021-01-20,374,16.0
2021-01-21,373,16.0
2021-01-22,374,16.0
2021-01-23,379,16.0
2021-01-24,379,16.0
2021-01-25,379,16.0
2021-01-26,390,16.0
2021-01-27,392,16.0
2021-01-28,395,18.0
2021-01-29,396,19.0
2021-01-30,404,19.0
2021-01-31,406,19.0
2021-02-01,550,19.0
2021-02-02,560,19.0
2021-02-03,573,19.0
2021-02-04,574,19.0
2021-02-05,571,19.0
2021-02-06,587,19.0
2021-02-07,587,19.0
2021-02-08,591,19.0
