date,cases,deaths
2020-03-27,1,0
2020-03-28,1,0
2020-03-29,1,0
2020-03-30,1,0
2020-03-31,1,0
2020-04-01,1,0
2020-04-02,1,0
2020-04-03,1,0
2020-04-04,1,0
2020-04-05,1,0
2020-04-06,1,0
2020-04-07,1,0
2020-04-08,1,0
2020-04-09,1,0
2020-04-10,1,0
2020-04-11,2,0
2020-04-12,2,0
2020-04-13,2,0
2020-04-14,5,0
2020-04-15,5,0
2020-04-16,5,0
2020-04-17,5,0
2020-04-18,5,0
2020-04-19,5,0
2020-04-20,5,0
2020-04-21,6,1
2020-04-22,6,1
2020-04-23,6,1
2020-04-24,6,1
2020-04-25,6,1
2020-04-26,6,1
2020-04-27,6,1
2020-04-28,6,1
2020-04-29,6,1
2020-04-30,6,1
2020-05-01,6,1
2020-05-02,6,1
2020-05-03,6,1
2020-05-04,7,1
2020-05-05,8,1
2020-05-06,9,1
2020-05-07,9,1
2020-05-08,9,1
2020-05-09,9,1
2020-05-10,9,1
2020-05-11,9,1
2020-05-12,9,1
2020-05-13,9,1
2020-05-14,9,1
2020-05-15,9,1
2020-05-16,9,1
2020-05-17,9,1
2020-05-18,9,1
2020-05-19,9,1
2020-05-20,9,1
2020-05-21,9,1
2020-05-22,9,1
2020-05-23,9,1
2020-05-24,9,1
2020-05-25,9,1
2020-05-26,9,1
2020-05-27,9,1
2020-05-28,9,1
2020-05-29,9,1
2020-05-30,9,1
2020-05-31,9,1
2020-06-01,9,1
2020-06-02,9,1
2020-06-03,9,1
2020-06-04,9,1
2020-06-05,9,1
2020-06-06,9,1
2020-06-07,9,1
2020-06-08,9,1
2020-06-09,9,1
2020-06-10,9,1
2020-06-11,9,1
2020-06-12,9,1
2020-06-13,9,1
2020-06-14,9,1
2020-06-15,9,1
2020-06-16,9,1
2020-06-17,9,1
2020-06-18,9,1
2020-06-19,12,1
2020-06-20,12,1
2020-06-21,12,1
2020-06-22,12,1
2020-06-23,14,1
2020-06-24,17,1
2020-06-25,17,1
2020-06-26,17,1
2020-06-27,17,1
2020-06-28,17,1
2020-06-29,17,1
2020-06-30,18,1
2020-07-01,18,1
2020-07-02,18,1
2020-07-03,21,1
2020-07-04,21,1
2020-07-05,21,1
2020-07-06,21,1
2020-07-07,21,1
2020-07-08,24,1
2020-07-09,25,1
2020-07-10,26,1
2020-07-11,26,1
2020-07-12,26,1
2020-07-13,26,1
2020-07-14,27,1
2020-07-15,32,1
2020-07-16,32,1
2020-07-17,33,1
2020-07-18,35,1
2020-07-19,35,1
2020-07-20,35,1
2020-07-21,37,1
2020-07-22,37,1
2020-07-23,39,1
2020-07-24,43,1
2020-07-25,45,1
2020-07-26,45,1
2020-07-27,45,1
2020-07-28,46,1
2020-07-29,47,1
2020-07-30,49,1
2020-07-31,54,1
2020-08-01,57,1
2020-08-02,57,1
2020-08-03,57,1
2020-08-04,60,1
2020-08-05,61,1
2020-08-06,64,1
2020-08-07,67,1
2020-08-08,70,1
2020-08-09,70,1
2020-08-10,70,1
2020-08-11,77,2
2020-08-12,79,2
2020-08-13,79,2
2020-08-14,83,2
2020-08-15,86,2
2020-08-16,86,2
2020-08-17,86,2
2020-08-18,89,2
2020-08-19,89,2
2020-08-20,96,2
2020-08-21,104,3
2020-08-22,109,3
2020-08-23,109,3
2020-08-24,109,3
2020-08-25,110,3
2020-08-26,112,3
2020-08-27,116,3
2020-08-28,118,3
2020-08-29,122,3
2020-08-30,122,3
2020-08-31,122,3
2020-09-01,129,3
2020-09-02,134,3
2020-09-03,135,3
2020-09-04,144,3
2020-09-05,148,3
2020-09-06,148,3
2020-09-07,148,3
2020-09-08,148,3
2020-09-09,152,3
2020-09-10,152,3
2020-09-11,157,3
2020-09-12,157,3
2020-09-13,157,3
2020-09-14,157,3
2020-09-15,160,3
2020-09-16,161,3
2020-09-17,163,3
2020-09-18,164,3
2020-09-19,164,3
2020-09-20,164,3
2020-09-21,164,3
2020-09-22,167,3
2020-09-23,171,3
2020-09-24,173,4
2020-09-25,173,4
2020-09-26,180,4
2020-09-27,180,4
2020-09-28,180,4
2020-09-29,187,4
2020-09-30,188,4
2020-10-01,188,4
2020-10-02,189,4
2020-10-03,190,4
2020-10-04,190,4
2020-10-05,190,4
2020-10-06,192,4
2020-10-07,195,4
2020-10-08,200,4
2020-10-09,204,4
2020-10-10,204,4
2020-10-11,204,4
2020-10-12,204,4
2020-10-13,206,4
2020-10-14,208,4
2020-10-15,216,4
2020-10-16,225,4
2020-10-17,238,4
2020-10-18,238,4
2020-10-19,238,4
2020-10-20,238,5
2020-10-21,245,5
2020-10-22,245,5
2020-10-23,249,5
2020-10-24,270,5
2020-10-25,270,5
2020-10-26,270,5
2020-10-27,279,5
2020-10-28,284,6
2020-10-29,290,6
2020-10-30,293,6
2020-10-31,299,6
2020-11-01,299,6
2020-11-02,299,6
2020-11-03,309,6
2020-11-04,314,8
2020-11-05,323,9
2020-11-06,336,13
2020-11-07,336,13
2020-11-08,336,13
2020-11-09,336,13
2020-11-10,367,13
2020-11-11,382,13
