date,cases,deaths
2020-03-23,1,0.0
2020-03-24,1,0.0
2020-03-25,1,0.0
2020-03-26,1,0.0
2020-03-27,1,0.0
2020-03-28,1,0.0
2020-03-29,1,0.0
2020-03-30,1,0.0
2020-03-31,1,0.0
2020-04-01,1,0.0
2020-04-02,1,0.0
2020-04-03,1,0.0
2020-04-04,1,0.0
2020-04-05,1,0.0
2020-04-06,1,0.0
2020-04-07,1,0.0
2020-04-08,1,0.0
2020-04-09,2,0.0
2020-04-10,3,0.0
2020-04-11,3,0.0
2020-04-12,3,0.0
2020-04-13,3,0.0
2020-04-14,3,0.0
2020-04-15,3,0.0
2020-04-16,3,0.0
2020-04-17,4,0.0
2020-04-18,4,0.0
2020-04-19,5,0.0
2020-04-20,5,0.0
2020-04-21,5,0.0
2020-04-22,5,0.0
2020-04-23,5,0.0
2020-04-24,5,0.0
2020-04-25,5,0.0
2020-04-26,5,0.0
2020-04-27,5,0.0
2020-04-28,5,0.0
2020-04-29,5,0.0
2020-04-30,5,0.0
2020-05-01,5,0.0
2020-05-02,8,0.0
2020-05-03,9,0.0
2020-05-04,9,0.0
2020-05-05,9,0.0
2020-05-06,9,0.0
2020-05-07,9,0.0
2020-05-08,9,0.0
2020-05-09,9,0.0
2020-05-10,9,0.0
2020-05-11,9,0.0
2020-05-12,9,0.0
2020-05-13,9,0.0
2020-05-14,10,0.0
2020-05-15,10,0.0
2020-05-16,11,0.0
2020-05-17,11,0.0
2020-05-18,11,0.0
2020-05-19,13,0.0
2020-05-20,14,0.0
2020-05-21,15,0.0
2020-05-22,17,0.0
2020-05-23,17,0.0
2020-05-24,17,0.0
2020-05-25,17,0.0
2020-05-26,21,0.0
2020-05-27,22,0.0
2020-05-28,27,0.0
2020-05-29,28,0.0
2020-05-30,26,0.0
2020-05-31,26,0.0
2020-06-01,26,0.0
2020-06-02,26,0.0
2020-06-03,25,0.0
2020-06-04,27,0.0
2020-06-05,27,0.0
2020-06-06,27,0.0
2020-06-07,27,0.0
2020-06-08,27,0.0
2020-06-09,27,0.0
2020-06-10,27,0.0
2020-06-11,28,0.0
2020-06-12,28,0.0
2020-06-13,30,0.0
2020-06-14,31,0.0
2020-06-15,31,0.0
2020-06-16,31,0.0
2020-06-17,31,0.0
2020-06-18,31,0.0
2020-06-19,31,0.0
2020-06-20,33,0.0
2020-06-21,34,0.0
2020-06-22,34,0.0
2020-06-23,35,0.0
2020-06-24,37,0.0
2020-06-25,37,0.0
2020-06-26,37,0.0
2020-06-27,37,0.0
2020-06-28,37,0.0
2020-06-29,38,0.0
2020-06-30,38,0.0
2020-07-01,39,0.0
2020-07-02,40,0.0
2020-07-03,41,0.0
2020-07-04,42,0.0
2020-07-05,42,0.0
2020-07-06,43,0.0
2020-07-07,49,0.0
2020-07-08,49,0.0
2020-07-09,50,0.0
2020-07-10,51,0.0
2020-07-11,48,0.0
2020-07-12,50,0.0
2020-07-13,51,0.0
2020-07-14,54,0.0
2020-07-15,54,0.0
2020-07-16,55,0.0
2020-07-17,61,0.0
2020-07-18,63,0.0
2020-07-19,63,0.0
2020-07-20,64,0.0
2020-07-21,65,0.0
2020-07-22,68,0.0
2020-07-23,70,0.0
2020-07-24,70,0.0
2020-07-25,77,0.0
2020-07-26,79,0.0
2020-07-27,79,1.0
2020-07-28,81,1.0
2020-07-29,84,1.0
2020-07-30,85,1.0
2020-07-31,91,1.0
2020-08-01,96,1.0
2020-08-02,97,1.0
2020-08-03,97,1.0
2020-08-04,97,1.0
2020-08-05,98,1.0
2020-08-06,100,1.0
2020-08-07,105,3.0
2020-08-08,115,3.0
