date,cases,deaths
2020-03-27,1,0
2020-03-28,1,0
2020-03-29,1,0
2020-03-30,3,0
2020-03-31,3,0
2020-04-01,4,0
2020-04-02,4,1
2020-04-03,5,1
2020-04-04,5,1
2020-04-05,7,2
2020-04-06,8,2
2020-04-07,8,2
2020-04-08,8,2
2020-04-09,11,2
2020-04-10,11,2
2020-04-11,12,2
2020-04-12,12,2
2020-04-13,12,2
2020-04-14,16,2
2020-04-15,16,2
2020-04-16,18,2
2020-04-17,20,2
2020-04-18,20,2
2020-04-19,20,2
2020-04-20,20,2
2020-04-21,23,2
2020-04-22,24,2
2020-04-23,25,2
2020-04-24,26,2
2020-04-25,28,2
2020-04-26,28,2
2020-04-27,28,2
2020-04-28,28,2
2020-04-29,30,2
2020-04-30,30,2
2020-05-01,31,2
2020-05-02,31,2
2020-05-03,31,2
2020-05-04,31,2
2020-05-05,31,2
2020-05-06,33,2
2020-05-07,34,2
2020-05-08,36,2
2020-05-09,36,2
2020-05-10,36,2
2020-05-11,36,2
2020-05-12,36,2
2020-05-13,37,2
2020-05-14,37,2
2020-05-15,38,2
2020-05-16,38,2
2020-05-17,38,2
2020-05-18,38,2
