date,cases,deaths
2020-03-29,1,0
2020-03-30,1,0
2020-03-31,4,0
2020-04-01,4,0
2020-04-02,4,0
2020-04-03,7,0
2020-04-04,7,0
2020-04-05,7,0
2020-04-06,8,0
2020-04-07,8,0
2020-04-08,8,0
2020-04-09,8,0
2020-04-10,9,0
2020-04-11,9,0
2020-04-12,9,0
2020-04-13,9,0
2020-04-14,11,0
2020-04-15,14,0
2020-04-16,14,0
2020-04-17,14,0
2020-04-18,14,0
2020-04-19,14,0
2020-04-20,14,0
2020-04-21,15,0
2020-04-22,15,0
2020-04-23,17,0
2020-04-24,18,0
2020-04-25,18,0
2020-04-26,18,0
2020-04-27,18,0
2020-04-28,18,0
2020-04-29,19,0
2020-04-30,19,0
2020-05-01,20,0
2020-05-02,20,0
2020-05-03,20,0
2020-05-04,20,0
2020-05-05,30,0
2020-05-06,30,0
2020-05-07,30,0
2020-05-08,35,0
2020-05-09,35,0
2020-05-10,35,0
2020-05-11,35,0
2020-05-12,40,0
2020-05-13,40,0
2020-05-14,46,0
2020-05-15,47,0
2020-05-16,47,0
2020-05-17,47,0
2020-05-18,47,0
2020-05-19,50,0
2020-05-20,50,0
2020-05-21,52,0
2020-05-22,52,0
2020-05-23,52,0
2020-05-24,52,0
2020-05-25,52,0
2020-05-26,52,0
2020-05-27,53,0
2020-05-28,54,0
2020-05-29,55,0
2020-05-30,56,0
2020-05-31,56,0
2020-06-01,56,0
2020-06-02,60,0
2020-06-03,60,0
2020-06-04,60,0
2020-06-05,60,0
2020-06-06,61,0
2020-06-07,61,0
2020-06-08,61,0
2020-06-09,61,0
2020-06-10,62,0
2020-06-11,62,0
2020-06-12,65,0
2020-06-13,65,0
2020-06-14,65,0
2020-06-15,65,0
2020-06-16,71,0
2020-06-17,72,0
2020-06-18,73,0
2020-06-19,73,0
2020-06-20,75,0
2020-06-21,75,0
2020-06-22,75,0
2020-06-23,85,0
2020-06-24,88,0
2020-06-25,95,0
2020-06-26,106,0
2020-06-27,106,0
2020-06-28,106,0
2020-06-29,106,0
2020-06-30,113,0
2020-07-01,155,0
2020-07-02,170,0
2020-07-03,170,0
2020-07-04,170,0
2020-07-05,170,0
2020-07-06,170,0
2020-07-07,205,0
2020-07-08,268,0
2020-07-09,288,0
2020-07-10,321,0
2020-07-11,321,0
2020-07-12,321,0
2020-07-13,321,0
2020-07-14,380,0
2020-07-15,401,0
2020-07-16,414,1
2020-07-17,414,1
2020-07-18,414,1
2020-07-19,414,1
2020-07-20,414,1
2020-07-21,516,1
2020-07-22,533,1
2020-07-23,592,1
2020-07-24,601,1
2020-07-25,601,1
2020-07-26,601,1
2020-07-27,628,5
2020-07-28,648,6
2020-07-29,656,6
2020-07-30,656,8
2020-07-31,659,9
2020-08-01,659,9
2020-08-02,659,9
2020-08-03,659,9
2020-08-04,693,11
2020-08-05,693,11
2020-08-06,700,11
2020-08-07,748,11
2020-08-08,748,12
2020-08-09,748,12
2020-08-10,783,12
2020-08-11,805,12
2020-08-12,805,13
2020-08-13,823,14
2020-08-14,823,14
2020-08-15,823,14
2020-08-16,823,14
2020-08-17,830,14
2020-08-18,830,14
2020-08-19,835,14
2020-08-20,835,15
2020-08-21,835,15
2020-08-22,835,15
2020-08-23,835,15
2020-08-24,843,15
2020-08-25,843,16
2020-08-26,843,16
2020-08-27,843,16
2020-08-28,849,16
2020-08-29,849,17
2020-08-30,850,18
