date,cases,deaths
2020-03-27,3,0
2020-03-28,3,0
2020-03-29,3,0
2020-03-30,6,0
2020-03-31,6,0
2020-04-01,17,0
2020-04-02,17,0
2020-04-03,21,0
2020-04-04,24,0
2020-04-05,34,0
2020-04-06,36,2
2020-04-07,36,2
2020-04-08,40,2
2020-04-09,52,2
2020-04-10,60,2
2020-04-11,60,2
2020-04-12,64,2
2020-04-13,64,2
2020-04-14,73,2
2020-04-15,73,2
2020-04-16,80,2
2020-04-17,93,2
2020-04-18,97,3
2020-04-19,103,3
2020-04-20,112,3
2020-04-21,115,3
2020-04-22,125,3
2020-04-23,137,3
2020-04-24,149,3
2020-04-25,164,3
2020-04-26,172,3
2020-04-27,191,3
2020-04-28,191,3
2020-04-29,213,3
2020-04-30,234,3
2020-05-01,256,3
2020-05-02,270,3
2020-05-03,279,3
2020-05-04,296,3
2020-05-05,296,3
2020-05-06,333,3
2020-05-07,343,3
2020-05-08,355,3
2020-05-09,355,3
2020-05-10,358,3
2020-05-11,379,3
2020-05-12,413,4
2020-05-13,444,4
2020-05-14,477,4
2020-05-15,593,4
2020-05-16,602,4
2020-05-17,602,4
2020-05-18,611,5
2020-05-19,616,5
2020-05-20,625,5
2020-05-21,629,6
2020-05-22,645,6
2020-05-23,648,6
2020-05-24,648,6
2020-05-25,648,6
2020-05-26,652,6
2020-05-27,655,6
2020-05-28,658,6
2020-05-29,671,6
2020-05-30,674,6
2020-05-31,674,6
2020-06-01,688,6
2020-06-02,711,6
2020-06-03,715,6
2020-06-04,715,6
2020-06-05,727,6
2020-06-06,728,6
2020-06-07,728,6
2020-06-08,737,6
2020-06-09,740,6
2020-06-10,747,6
2020-06-11,748,7
2020-06-12,749,7
2020-06-13,751,7
2020-06-14,751,7
2020-06-15,758,7
2020-06-16,763,7
2020-06-17,769,7
2020-06-18,771,7
2020-06-19,775,6
2020-06-20,775,6
2020-06-21,775,6
2020-06-22,780,6
2020-06-23,793,6
2020-06-24,809,6
2020-06-25,821,6
2020-06-26,825,6
2020-06-27,825,6
2020-06-28,825,6
2020-06-29,844,7
2020-06-30,863,7
2020-07-01,899,7
2020-07-02,918,7
2020-07-03,918,7
2020-07-04,918,7
2020-07-05,918,7
2020-07-06,942,7
2020-07-07,971,7
2020-07-08,1001,7
2020-07-09,1026,7
2020-07-10,1045,7
2020-07-11,1045,7
2020-07-12,1045,7
2020-07-13,1105,7
2020-07-14,1133,7
2020-07-15,1166,7
2020-07-16,1208,7
2020-07-17,1260,7
2020-07-18,1260,7
2020-07-19,1260,7
2020-07-20,1307,13
2020-07-21,1355,15
2020-07-22,1394,16
2020-07-23,1424,17
2020-07-24,1442,17
2020-07-25,1442,17
2020-07-26,1442,17
2020-07-27,1477,18
2020-07-28,1505,18
2020-07-29,1528,21
2020-07-30,1558,21
2020-07-31,1586,21
2020-08-01,1586,21
2020-08-02,1586,21
2020-08-03,1623,22
2020-08-04,1646,23
2020-08-05,1683,23
2020-08-06,1714,23
2020-08-07,1725,23
2020-08-08,1725,23
2020-08-09,1725,23
2020-08-10,1725,23
2020-08-11,1765,24
2020-08-12,1804,25
2020-08-13,1847,26
2020-08-14,1899,27
2020-08-15,1899,27
2020-08-16,1899,27
2020-08-17,1927,28
2020-08-18,1978,28
2020-08-19,1992,30
2020-08-20,2010,30
2020-08-21,2042,30
2020-08-22,2042,30
2020-08-23,2042,30
2020-08-24,2077,32
2020-08-25,2102,33
2020-08-26,2125,33
2020-08-27,2152,33
2020-08-28,2168,33
2020-08-29,2168,33
2020-08-30,2168,33
2020-08-31,2187,33
2020-09-01,2236,34
2020-09-02,2252,34
2020-09-03,2303,35
2020-09-04,2323,35
2020-09-05,2323,35
2020-09-06,2323,35
2020-09-07,2323,35
2020-09-08,2341,35
2020-09-09,2366,35
2020-09-10,2395,35
2020-09-11,2426,35
2020-09-12,2426,35
2020-09-13,2426,35
2020-09-14,2455,35
2020-09-15,2515,35
2020-09-16,2553,36
2020-09-17,2568,37
2020-09-18,2612,37
2020-09-19,2612,37
2020-09-20,2612,37
2020-09-21,2649,38
2020-09-22,2722,38
2020-09-23,2767,38
2020-09-24,2794,40
2020-09-25,2833,40
2020-09-26,2833,41
2020-09-27,2833,41
2020-09-28,2918,42
2020-09-29,2982,42
2020-09-30,3045,42
2020-10-01,3135,43
2020-10-02,3193,44
2020-10-03,3193,45
2020-10-04,3193,45
2020-10-05,3250,45
2020-10-06,3335,48
2020-10-07,3404,48
2020-10-08,3575,48
2020-10-09,3659,49
2020-10-10,3659,49
2020-10-11,3659,49
2020-10-12,3802,49
2020-10-13,3955,50
2020-10-14,4100,50
2020-10-15,4188,52
2020-10-16,4291,53
2020-10-17,4291,53
2020-10-18,4291,53
2020-10-19,4406,53
2020-10-20,4532,53
2020-10-21,4662,55
