date,cases,deaths
2020-05-08,1,0.0
2020-05-09,1,0.0
2020-05-10,1,0.0
2020-05-11,1,0.0
2020-05-12,1,0.0
2020-05-13,1,0.0
2020-05-14,1,0.0
2020-05-15,3,0.0
2020-05-16,3,0.0
2020-05-17,3,0.0
2020-05-18,3,0.0
2020-05-19,3,0.0
2020-05-20,3,0.0
2020-05-21,5,0.0
2020-05-22,5,0.0
2020-05-23,5,0.0
2020-05-24,5,0.0
2020-05-25,7,0.0
2020-05-26,7,0.0
2020-05-27,7,0.0
2020-05-28,7,0.0
2020-05-29,7,0.0
2020-05-30,7,0.0
2020-05-31,7,0.0
2020-06-01,7,0.0
2020-06-02,7,0.0
2020-06-03,7,0.0
2020-06-04,7,0.0
2020-06-05,8,0.0
2020-06-06,8,0.0
2020-06-07,8,0.0
2020-06-08,8,0.0
2020-06-09,11,0.0
2020-06-10,11,0.0
2020-06-11,11,0.0
2020-06-12,12,0.0
2020-06-13,12,0.0
2020-06-14,12,0.0
2020-06-15,12,0.0
2020-06-16,14,0.0
2020-06-17,14,0.0
2020-06-18,14,0.0
2020-06-19,14,0.0
2020-06-20,14,0.0
2020-06-21,14,0.0
2020-06-22,14,0.0
2020-06-23,15,0.0
2020-06-24,17,0.0
2020-06-25,18,0.0
2020-06-26,19,0.0
2020-06-27,19,0.0
2020-06-28,19,0.0
2020-06-29,20,0.0
2020-06-30,29,0.0
2020-07-01,31,0.0
2020-07-02,39,0.0
2020-07-03,47,0.0
2020-07-04,47,0.0
2020-07-05,47,0.0
2020-07-06,48,0.0
2020-07-07,59,1.0
2020-07-08,59,1.0
2020-07-09,63,1.0
2020-07-10,77,1.0
2020-07-11,77,1.0
2020-07-12,77,1.0
2020-07-13,78,1.0
2020-07-14,83,1.0
2020-07-15,82,2.0
2020-07-16,84,2.0
2020-07-17,88,2.0
2020-07-18,89,2.0
2020-07-19,89,2.0
2020-07-20,90,2.0
2020-07-21,92,2.0
2020-07-22,99,2.0
2020-07-23,103,2.0
2020-07-24,104,2.0
2020-07-25,106,2.0
2020-07-26,106,2.0
2020-07-27,106,1.0
2020-07-28,112,2.0
2020-07-29,119,2.0
2020-07-30,128,3.0
2020-07-31,129,3.0
2020-08-01,135,3.0
2020-08-02,135,3.0
2020-08-03,136,3.0
2020-08-04,141,3.0
2020-08-05,143,4.0
2020-08-06,147,5.0
2020-08-07,144,5.0
2020-08-08,146,5.0
2020-08-09,146,5.0
2020-08-10,146,5.0
2020-08-11,148,5.0
2020-08-12,148,5.0
2020-08-13,147,5.0
2020-08-14,150,5.0
2020-08-15,152,5.0
2020-08-16,152,5.0
2020-08-17,152,5.0
2020-08-18,154,5.0
2020-08-19,157,5.0
2020-08-20,158,5.0
2020-08-21,159,5.0
2020-08-22,161,5.0
2020-08-23,161,5.0
2020-08-24,161,5.0
2020-08-25,167,5.0
2020-08-26,169,5.0
2020-08-27,169,5.0
2020-08-28,169,5.0
2020-08-29,169,5.0
2020-08-30,169,5.0
2020-08-31,169,5.0
2020-09-01,173,5.0
2020-09-02,172,5.0
2020-09-03,172,5.0
2020-09-04,177,5.0
2020-09-05,180,5.0
2020-09-06,180,5.0
2020-09-07,180,5.0
2020-09-08,180,5.0
2020-09-09,180,5.0
2020-09-10,180,5.0
2020-09-11,182,5.0
2020-09-12,183,6.0
2020-09-13,185,6.0
2020-09-14,185,6.0
2020-09-15,185,6.0
2020-09-16,186,6.0
2020-09-17,186,6.0
2020-09-18,187,6.0
2020-09-19,188,6.0
2020-09-20,188,6.0
2020-09-21,188,6.0
2020-09-22,189,6.0
2020-09-23,190,6.0
2020-09-24,192,6.0
2020-09-25,192,6.0
2020-09-26,196,6.0
2020-09-27,196,6.0
2020-09-28,196,6.0
2020-09-29,199,6.0
2020-09-30,200,6.0
2020-10-01,200,6.0
2020-10-02,212,6.0
2020-10-03,212,6.0
2020-10-04,212,6.0
2020-10-05,212,6.0
2020-10-06,213,6.0
2020-10-07,216,6.0
2020-10-08,216,6.0
2020-10-09,223,6.0
2020-10-10,227,6.0
2020-10-11,227,6.0
2020-10-12,227,6.0
2020-10-13,230,6.0
2020-10-14,230,6.0
2020-10-15,234,6.0
2020-10-16,239,6.0
2020-10-17,242,6.0
2020-10-18,242,6.0
2020-10-19,242,6.0
2020-10-20,247,6.0
2020-10-21,249,6.0
2020-10-22,249,6.0
2020-10-23,257,6.0
2020-10-24,258,6.0
2020-10-25,258,7.0
2020-10-26,258,7.0
2020-10-27,267,7.0
2020-10-28,271,7.0
2020-10-29,277,7.0
2020-10-30,279,7.0
2020-10-31,289,7.0
2020-11-01,289,7.0
2020-11-02,289,7.0
2020-11-03,292,7.0
2020-11-04,292,7.0
2020-11-05,295,7.0
2020-11-06,298,7.0
2020-11-07,306,7.0
2020-11-08,306,7.0
2020-11-09,306,7.0
2020-11-10,306,7.0
2020-11-11,325,9.0
2020-11-12,335,10.0
2020-11-13,343,11.0
2020-11-14,350,11.0
2020-11-15,350,11.0
2020-11-16,350,11.0
2020-11-17,412,11.0
2020-11-18,416,11.0
2020-11-19,435,11.0
2020-11-20,466,11.0
2020-11-21,470,11.0
2020-11-22,474,11.0
2020-11-23,477,11.0
2020-11-24,502,11.0
2020-11-25,514,11.0
2020-11-26,514,11.0
2020-11-27,662,11.0
2020-11-28,679,13.0
2020-11-29,686,13.0
2020-11-30,693,13.0
2020-12-01,693,13.0
2020-12-02,716,13.0
2020-12-03,724,14.0
2020-12-04,728,14.0
2020-12-05,740,16.0
2020-12-06,748,17.0
2020-12-07,752,17.0
2020-12-08,754,17.0
2020-12-09,762,17.0
2020-12-10,768,17.0
2020-12-11,1339,20.0
2020-12-12,1344,20.0
2020-12-13,1346,20.0
2020-12-14,1272,20.0
2020-12-15,1369,22.0
2020-12-16,1383,24.0
2020-12-17,1392,25.0
2020-12-18,1394,25.0
2020-12-19,1370,25.0
2020-12-20,1371,25.0
2020-12-21,1373,25.0
2020-12-22,1386,25.0
2020-12-23,1401,25.0
2020-12-24,1426,28.0
2020-12-25,1449,28.0
2020-12-26,1449,28.0
2020-12-27,1450,28.0
2020-12-28,1451,28.0
2020-12-29,1451,28.0
2020-12-30,1454,28.0
2020-12-31,1461,29.0
2021-01-01,1469,29.0
2021-01-02,1471,29.0
2021-01-03,1473,29.0
2021-01-04,1475,29.0
2021-01-05,1479,30.0
2021-01-06,1494,31.0
2021-01-07,1490,31.0
2021-01-08,1471,32.0
2021-01-09,1446,32.0
2021-01-10,1450,32.0
2021-01-11,1451,32.0
2021-01-12,1465,33.0
2021-01-13,1475,33.0
2021-01-14,1461,33.0
2021-01-15,1500,33.0
2021-01-16,1514,33.0
2021-01-17,1518,33.0
2021-01-18,1520,33.0
2021-01-19,1522,33.0
2021-01-20,1536,34.0
2021-01-21,1547,34.0
2021-01-22,1566,34.0
2021-01-23,1576,36.0
2021-01-24,1577,36.0
2021-01-25,1584,36.0
2021-01-26,1546,36.0
2021-01-27,1555,36.0
2021-01-28,1563,36.0
2021-01-29,1574,36.0
2021-01-30,1576,36.0
