date,cases,deaths
2020-03-26,2,0
2020-03-27,3,0
2020-03-28,3,0
2020-03-29,4,0
2020-03-30,4,0
2020-03-31,5,0
2020-04-01,9,0
2020-04-02,10,0
2020-04-03,10,0
2020-04-04,11,0
2020-04-05,11,0
2020-04-06,11,0
2020-04-07,11,0
2020-04-08,11,0
2020-04-09,14,0
2020-04-10,16,0
2020-04-11,24,0
2020-04-12,24,0
2020-04-13,24,0
2020-04-14,24,0
2020-04-15,30,0
2020-04-16,30,0
2020-04-17,32,0
2020-04-18,34,0
2020-04-19,34,0
2020-04-20,36,0
2020-04-21,40,0
2020-04-22,48,0
2020-04-23,48,0
2020-04-24,49,0
2020-04-25,51,0
2020-04-26,51,0
2020-04-27,56,1
2020-04-28,58,1
2020-04-29,75,1
2020-04-30,75,1
2020-05-01,75,1
2020-05-02,85,3
2020-05-03,85,3
2020-05-04,88,3
2020-05-05,91,3
2020-05-06,95,3
2020-05-07,96,3
2020-05-08,100,4
2020-05-09,100,4
2020-05-10,100,4
2020-05-11,104,5
2020-05-12,113,4
2020-05-13,116,4
2020-05-14,123,4
2020-05-15,125,5
2020-05-16,134,5
2020-05-17,134,5
2020-05-18,134,5
2020-05-19,136,5
2020-05-20,143,5
2020-05-21,147,9
2020-05-22,147,9
2020-05-23,151,10
2020-05-24,151,10
2020-05-25,151,10
2020-05-26,155,11
2020-05-27,156,12
2020-05-28,159,13
2020-05-29,164,13
