date,cases,deaths
2020-03-13,3,0.0
2020-03-14,3,0.0
2020-03-15,4,0.0
2020-03-16,4,0.0
2020-03-17,4,0.0
2020-03-18,5,0.0
2020-03-19,5,0.0
2020-03-20,8,0.0
2020-03-21,8,0.0
2020-03-22,10,0.0
2020-03-23,10,0.0
2020-03-24,10,0.0
2020-03-25,14,0.0
2020-03-26,21,1.0
2020-03-27,27,1.0
2020-03-28,27,1.0
2020-03-29,31,1.0
2020-03-30,32,1.0
2020-03-31,32,1.0
2020-04-01,43,1.0
2020-04-02,47,1.0
2020-04-03,53,1.0
2020-04-04,57,1.0
2020-04-05,57,1.0
2020-04-06,62,2.0
2020-04-07,63,2.0
2020-04-08,82,2.0
2020-04-09,82,2.0
2020-04-10,93,2.0
2020-04-11,93,2.0
2020-04-12,96,2.0
2020-04-13,101,2.0
2020-04-14,103,2.0
2020-04-15,108,2.0
2020-04-16,108,2.0
2020-04-17,116,2.0
2020-04-18,121,2.0
2020-04-19,121,3.0
2020-04-20,123,3.0
2020-04-21,124,3.0
2020-04-22,125,3.0
2020-04-23,131,3.0
2020-04-24,132,3.0
2020-04-25,134,3.0
2020-04-26,134,3.0
2020-04-27,139,3.0
2020-04-28,139,3.0
2020-04-29,142,4.0
2020-04-30,144,4.0
2020-05-01,146,4.0
2020-05-02,146,4.0
2020-05-03,146,4.0
2020-05-04,155,4.0
2020-05-05,156,4.0
2020-05-06,165,4.0
2020-05-07,170,4.0
2020-05-08,174,4.0
2020-05-09,174,4.0
2020-05-10,174,4.0
2020-05-11,178,4.0
2020-05-12,185,4.0
2020-05-13,186,4.0
2020-05-14,189,4.0
2020-05-15,189,4.0
2020-05-16,189,4.0
2020-05-17,189,4.0
2020-05-18,192,4.0
2020-05-19,192,4.0
2020-05-20,195,4.0
2020-05-21,195,4.0
2020-05-22,198,4.0
2020-05-23,198,4.0
2020-05-24,198,4.0
2020-05-25,198,4.0
2020-05-26,199,4.0
2020-05-27,200,4.0
2020-05-28,202,4.0
2020-05-29,204,4.0
2020-05-30,204,4.0
2020-05-31,204,4.0
2020-06-01,210,4.0
2020-06-02,212,4.0
2020-06-03,215,4.0
2020-06-04,216,4.0
2020-06-05,223,4.0
2020-06-06,223,4.0
2020-06-07,223,4.0
2020-06-08,223,4.0
2020-06-09,238,4.0
2020-06-10,244,4.0
2020-06-11,244,4.0
2020-06-12,271,4.0
2020-06-13,271,4.0
2020-06-14,271,4.0
2020-06-15,283,4.0
2020-06-16,297,4.0
2020-06-17,310,4.0
2020-06-18,310,4.0
2020-06-19,318,4.0
2020-06-20,340,4.0
2020-06-21,340,4.0
2020-06-22,340,4.0
2020-06-23,392,4.0
2020-06-24,422,4.0
2020-06-25,455,4.0
2020-06-26,500,5.0
2020-06-27,500,5.0
2020-06-28,500,5.0
2020-06-29,567,5.0
2020-06-30,619,5.0
2020-07-01,657,5.0
2020-07-02,702,5.0
2020-07-03,772,5.0
2020-07-04,772,5.0
2020-07-05,772,5.0
2020-07-06,849,5.0
2020-07-07,1099,6.0
2020-07-08,1164,8.0
2020-07-09,1221,8.0
2020-07-10,1300,8.0
2020-07-11,1300,8.0
2020-07-12,1300,8.0
2020-07-13,1442,8.0
2020-07-14,1500,8.0
2020-07-15,1569,9.0
2020-07-16,1717,10.0
2020-07-17,1763,11.0
2020-07-18,1763,11.0
2020-07-19,1763,11.0
2020-07-20,1908,12.0
2020-07-21,1961,12.0
2020-07-22,2007,13.0
2020-07-23,2058,13.0
2020-07-24,2107,14.0
2020-07-25,2107,14.0
2020-07-26,2106,13.0
2020-07-27,2190,15.0
2020-07-28,2223,15.0
2020-07-29,2252,16.0
2020-07-30,2293,17.0
2020-07-31,2310,18.0
2020-08-01,2310,18.0
2020-08-02,2310,18.0
2020-08-03,2369,18.0
2020-08-04,2416,18.0
2020-08-05,2446,20.0
2020-08-06,2470,21.0
2020-08-07,2822,22.0
2020-08-08,2822,23.0
2020-08-09,2822,23.0
2020-08-10,2893,23.0
2020-08-11,2928,27.0
2020-08-12,2996,35.0
2020-08-13,3053,35.0
2020-08-14,3053,35.0
2020-08-15,3053,35.0
2020-08-16,3088,36.0
2020-08-17,3088,36.0
2020-08-18,3241,43.0
2020-08-19,3241,43.0
2020-08-20,3322,47.0
2020-08-21,3371,47.0
2020-08-22,3371,49.0
2020-08-23,3371,51.0
2020-08-24,3451,52.0
2020-08-25,3562,53.0
2020-08-26,3588,54.0
2020-08-27,3609,57.0
2020-08-28,3645,57.0
2020-08-29,3646,58.0
2020-08-30,3646,58.0
2020-08-31,3786,58.0
2020-09-01,3829,63.0
2020-09-02,4056,66.0
2020-09-03,3908,70.0
2020-09-04,3908,73.0
2020-09-05,3908,77.0
2020-09-06,3908,78.0
2020-09-07,3908,78.0
2020-09-08,3981,78.0
2020-09-09,4023,78.0
2020-09-10,4051,78.0
2020-09-11,4074,83.0
2020-09-12,4074,85.0
2020-09-13,4074,85.0
2020-09-14,4117,85.0
2020-09-15,4179,89.0
2020-09-16,4260,89.0
2020-09-17,4303,91.0
2020-09-18,4303,94.0
2020-09-19,4303,96.0
2020-09-20,4341,96.0
2020-09-21,4436,96.0
2020-09-22,4493,97.0
2020-09-23,4542,97.0
2020-09-24,4586,99.0
2020-09-25,4625,99.0
2020-09-26,4625,103.0
2020-09-27,4625,103.0
2020-09-28,4722,104.0
2020-09-29,4763,105.0
2020-09-30,4826,106.0
2020-10-01,4901,107.0
2020-10-02,4969,108.0
2020-10-03,4969,110.0
2020-10-04,4969,110.0
2020-10-05,5067,110.0
2020-10-06,5127,110.0
2020-10-07,5234,110.0
2020-10-08,5290,112.0
2020-10-09,5350,113.0
2020-10-10,5350,115.0
2020-10-11,5350,115.0
2020-10-12,5477,115.0
2020-10-13,5559,115.0
2020-10-14,5665,117.0
2020-10-15,5714,119.0
2020-10-16,5765,120.0
2020-10-17,5765,123.0
2020-10-18,5765,124.0
2020-10-19,5910,124.0
2020-10-20,5980,125.0
2020-10-21,6058,125.0
2020-10-22,6114,125.0
2020-10-23,6258,127.0
2020-10-24,6258,132.0
2020-10-25,6258,134.0
2020-10-26,6383,134.0
2020-10-27,6458,135.0
2020-10-28,6563,137.0
2020-10-29,6622,139.0
2020-10-30,6685,141.0
2020-10-31,6685,144.0
2020-11-01,6685,145.0
2020-11-02,6786,145.0
2020-11-03,6786,145.0
2020-11-04,6981,146.0
2020-11-05,7063,147.0
2020-11-06,7225,150.0
2020-11-07,7225,156.0
2020-11-08,7225,156.0
2020-11-09,7501,156.0
2020-11-10,7608,159.0
2020-11-11,7708,161.0
2020-11-12,7901,167.0
2020-11-13,8038,187.0
2020-11-14,8038,187.0
2020-11-15,8038,187.0
2020-11-16,8389,189.0
2020-11-17,8540,189.0
2020-11-18,8777,188.0
2020-11-19,8862,189.0
2020-11-20,9000,190.0
2020-11-21,9000,190.0
2020-11-22,9000,190.0
2020-11-23,9139,192.0
2020-11-24,9273,197.0
2020-11-25,9393,196.0
2020-11-26,9393,196.0
2020-11-27,9393,196.0
2020-11-28,9393,196.0
2020-11-29,9393,196.0
2020-11-30,9685,200.0
2020-12-01,9790,203.0
2020-12-02,9900,203.0
2020-12-03,10162,204.0
2020-12-04,10366,207.0
2020-12-05,10366,211.0
2020-12-06,10366,211.0
2020-12-07,10650,211.0
2020-12-08,10822,212.0
2020-12-09,10939,213.0
2020-12-10,11059,215.0
2020-12-11,11225,218.0
2020-12-12,11225,219.0
2020-12-13,11225,219.0
2020-12-14,11399,219.0
2020-12-15,11503,219.0
2020-12-16,11595,221.0
2020-12-17,11659,226.0
2020-12-18,11733,232.0
2020-12-19,11733,235.0
2020-12-20,11733,235.0
2020-12-21,11900,235.0
2020-12-22,12024,237.0
2020-12-23,12137,243.0
2020-12-24,12137,248.0
2020-12-25,12138,251.0
2020-12-26,12138,251.0
2020-12-27,12138,252.0
2020-12-28,12482,254.0
2020-12-29,12614,256.0
2020-12-30,12749,259.0
2020-12-31,12844,261.0
2021-01-01,12844,267.0
2021-01-02,12844,269.0
2021-01-03,12844,269.0
2021-01-04,13161,269.0
2021-01-05,13340,272.0
2021-01-06,13544,273.0
2021-01-07,13545,280.0
2021-01-08,13854,284.0
2021-01-09,13854,287.0
2021-01-10,13854,289.0
2021-01-11,13854,290.0
2021-01-12,14526,292.0
2021-01-13,14806,293.0
2021-01-14,15248,295.0
2021-01-15,15407,298.0
2021-01-16,15407,303.0
2021-01-17,15407,307.0
2021-01-18,15407,307.0
2021-01-19,15874,309.0
2021-01-20,16247,312.0
2021-01-21,16247,314.0
2021-01-22,16335,318.0
2021-01-23,16335,323.0
2021-01-24,16335,324.0
2021-01-25,16335,324.0
2021-01-26,16779,329.0
2021-01-27,16779,338.0
2021-01-28,17206,338.0
2021-01-29,17206,340.0
2021-01-30,17292,346.0
2021-01-31,17292,346.0
2021-02-01,17553,347.0
2021-02-02,17553,350.0
2021-02-03,17764,355.0
2021-02-04,17764,362.0
2021-02-05,17952,367.0
2021-02-06,17952,371.0
2021-02-07,17952,375.0
2021-02-08,18100,375.0
