date,cases,deaths
2020-03-27,2,0.0
2020-03-28,2,0.0
2020-03-29,2,0.0
2020-03-30,2,0.0
2020-03-31,2,0.0
2020-04-01,4,0.0
2020-04-02,4,0.0
2020-04-03,5,0.0
2020-04-04,5,0.0
2020-04-05,6,0.0
2020-04-06,6,0.0
2020-04-07,7,0.0
2020-04-08,7,0.0
2020-04-09,7,0.0
2020-04-10,7,0.0
2020-04-11,7,0.0
2020-04-12,7,0.0
2020-04-13,7,0.0
2020-04-14,7,0.0
2020-04-15,7,0.0
2020-04-16,7,0.0
2020-04-17,7,0.0
2020-04-18,7,0.0
2020-04-19,7,0.0
2020-04-20,7,0.0
2020-04-21,7,0.0
2020-04-22,7,0.0
2020-04-23,7,0.0
2020-04-24,7,0.0
2020-04-25,7,0.0
2020-04-26,7,0.0
2020-04-27,7,0.0
2020-04-28,8,0.0
2020-04-29,9,0.0
2020-04-30,9,0.0
2020-05-01,9,0.0
2020-05-02,9,0.0
2020-05-03,9,0.0
2020-05-04,9,0.0
2020-05-05,10,0.0
2020-05-06,10,0.0
2020-05-07,10,0.0
2020-05-08,14,0.0
2020-05-09,14,0.0
2020-05-10,14,0.0
2020-05-11,14,0.0
2020-05-12,14,0.0
2020-05-13,14,0.0
2020-05-14,14,0.0
2020-05-15,16,0.0
2020-05-16,17,0.0
2020-05-17,17,0.0
2020-05-18,17,0.0
2020-05-19,19,0.0
2020-05-20,22,0.0
2020-05-21,22,0.0
2020-05-22,22,0.0
2020-05-23,24,0.0
2020-05-24,24,0.0
2020-05-25,24,0.0
2020-05-26,24,0.0
2020-05-27,26,0.0
2020-05-28,27,0.0
2020-05-29,33,0.0
2020-05-30,33,0.0
2020-05-31,33,0.0
2020-06-01,34,0.0
2020-06-02,36,0.0
2020-06-03,37,0.0
2020-06-04,42,0.0
2020-06-05,44,0.0
2020-06-06,50,0.0
2020-06-07,52,0.0
2020-06-08,52,0.0
2020-06-09,57,0.0
2020-06-10,61,0.0
2020-06-11,68,0.0
2020-06-12,88,0.0
2020-06-13,102,0.0
2020-06-14,112,0.0
2020-06-15,119,0.0
2020-06-16,135,0.0
2020-06-17,159,0.0
2020-06-18,186,0.0
2020-06-19,203,0.0
2020-06-20,224,0.0
2020-06-21,244,0.0
2020-06-22,319,0.0
2020-06-23,334,3.0
2020-06-24,355,3.0
2020-06-25,373,3.0
2020-06-26,407,3.0
2020-06-27,475,3.0
2020-06-28,496,3.0
2020-06-29,551,3.0
2020-06-30,578,3.0
2020-07-01,642,3.0
2020-07-02,670,3.0
2020-07-03,683,3.0
2020-07-04,683,3.0
2020-07-05,936,3.0
2020-07-06,936,3.0
2020-07-07,936,4.0
2020-07-08,936,4.0
2020-07-09,936,4.0
2020-07-10,936,4.0
2020-07-11,936,4.0
2020-07-12,953,4.0
2020-07-13,975,4.0
2020-07-14,1017,8.0
2020-07-15,1061,9.0
2020-07-16,1172,9.0
2020-07-17,1219,13.0
2020-07-18,1247,14.0
2020-07-19,1266,15.0
2020-07-20,1287,15.0
2020-07-21,1432,15.0
2020-07-22,1475,19.0
2020-07-23,1519,20.0
2020-07-24,1559,20.0
2020-07-25,1559,22.0
2020-07-26,1637,22.0
2020-07-27,1655,28.0
2020-07-28,1715,29.0
2020-07-29,1761,33.0
2020-07-30,1941,38.0
2020-07-31,1983,49.0
2020-08-01,2070,50.0
2020-08-02,2117,50.0
2020-08-03,2206,51.0
2020-08-04,2262,52.0
2020-08-05,2262,52.0
2020-08-06,2405,52.0
2020-08-07,2478,64.0
2020-08-08,2488,66.0
2020-08-09,2501,68.0
2020-08-10,2501,68.0
2020-08-11,2501,73.0
2020-08-12,2580,79.0
2020-08-13,2580,81.0
2020-08-14,2691,83.0
2020-08-15,2738,87.0
2020-08-16,2758,93.0
2020-08-17,2786,94.0
2020-08-18,2803,96.0
2020-08-19,2803,98.0
2020-08-20,2815,99.0
2020-08-21,2946,100.0
2020-08-22,2973,105.0
2020-08-23,2973,117.0
2020-08-24,3041,117.0
2020-08-25,3041,118.0
2020-08-26,3047,121.0
2020-08-27,3063,124.0
2020-08-28,3090,129.0
2020-08-29,3153,129.0
2020-08-30,3153,134.0
2020-08-31,3153,134.0
2020-09-01,3162,135.0
2020-09-02,3162,135.0
2020-09-03,3162,140.0
2020-09-04,3251,140.0
2020-09-05,3251,140.0
2020-09-06,3251,141.0
2020-09-07,3251,141.0
2020-09-08,3487,141.0
2020-09-09,3514,145.0
2020-09-10,3529,145.0
2020-09-11,3529,146.0
2020-09-12,3549,146.0
2020-09-13,3549,146.0
2020-09-14,3585,146.0
2020-09-15,3592,153.0
2020-09-16,3625,153.0
2020-09-17,3625,154.0
2020-09-18,3637,154.0
2020-09-19,3670,159.0
2020-09-20,3681,159.0
2020-09-21,3696,159.0
2020-09-22,3706,159.0
2020-09-23,3714,159.0
2020-09-24,3722,162.0
2020-09-25,3737,162.0
2020-09-26,3742,163.0
2020-09-27,3742,164.0
2020-09-28,3742,164.0
2020-09-29,3747,167.0
2020-09-30,3768,169.0
2020-10-01,3785,169.0
2020-10-02,3789,170.0
2020-10-03,3789,171.0
2020-10-04,3796,171.0
2020-10-05,3798,171.0
2020-10-06,3807,171.0
2020-10-07,3810,173.0
2020-10-08,3825,173.0
2020-10-09,3830,174.0
2020-10-10,3836,174.0
2020-10-11,3840,176.0
2020-10-12,3840,176.0
2020-10-13,3848,176.0
2020-10-14,3854,178.0
2020-10-15,3858,179.0
2020-10-16,3862,179.0
2020-10-17,3870,179.0
2020-10-18,3870,179.0
2020-10-19,3870,179.0
2020-10-20,3879,179.0
2020-10-21,3879,181.0
2020-10-22,3885,181.0
2020-10-23,3907,185.0
2020-10-24,3907,185.0
2020-10-25,3925,185.0
2020-10-26,3928,185.0
2020-10-27,3929,185.0
2020-10-28,3942,185.0
2020-10-29,3942,185.0
2020-10-30,3960,185.0
2020-10-31,3963,185.0
2020-11-01,3965,186.0
2020-11-02,3969,186.0
2020-11-03,3971,186.0
2020-11-04,3987,186.0
2020-11-05,3987,186.0
2020-11-06,3998,186.0
2020-11-07,4008,187.0
2020-11-08,4013,187.0
2020-11-09,4026,187.0
2020-11-10,4032,187.0
2020-11-11,4049,187.0
2020-11-12,4083,187.0
2020-11-13,4091,187.0
2020-11-14,4106,187.0
2020-11-15,4121,187.0
2020-11-16,4136,187.0
2020-11-17,4136,187.0
2020-11-18,4141,187.0
2020-11-19,4174,187.0
2020-11-20,4188,187.0
2020-11-21,4261,187.0
2020-11-22,4268,188.0
2020-11-23,4276,188.0
2020-11-24,4276,188.0
2020-11-25,4297,188.0
2020-11-26,4297,189.0
2020-11-27,4352,189.0
2020-11-28,4352,190.0
2020-11-29,4352,190.0
2020-11-30,4371,190.0
2020-12-01,4373,190.0
2020-12-02,4373,190.0
2020-12-03,4373,190.0
2020-12-04,4515,191.0
2020-12-05,4544,191.0
2020-12-06,4544,191.0
2020-12-07,4578,191.0
2020-12-08,4639,191.0
2020-12-09,4639,192.0
2020-12-10,4726,192.0
2020-12-11,4998,193.0
2020-12-12,5033,193.0
2020-12-13,5057,194.0
2020-12-14,5057,194.0
2020-12-15,5149,194.0
2020-12-16,5250,194.0
2020-12-17,5300,197.0
2020-12-18,5405,197.0
2020-12-19,5455,197.0
2020-12-20,5512,197.0
2020-12-21,5512,197.0
2020-12-22,5662,197.0
2020-12-23,5732,199.0
2020-12-24,5764,199.0
2020-12-25,5819,199.0
2020-12-26,5819,199.0
2020-12-27,5920,199.0
2020-12-28,5920,199.0
2020-12-29,6097,199.0
2020-12-30,6121,199.0
2020-12-31,6182,200.0
2021-01-01,6260,203.0
2021-01-02,6260,203.0
2021-01-03,6354,203.0
2021-01-04,6354,204.0
2021-01-05,6561,204.0
2021-01-06,6594,204.0
2021-01-07,6689,209.0
2021-01-08,6787,210.0
2021-01-09,6822,211.0
2021-01-10,6873,212.0
2021-01-11,6873,212.0
2021-01-12,7022,212.0
2021-01-13,7087,212.0
2021-01-14,7104,212.0
2021-01-15,7167,212.0
2021-01-16,7357,212.0
2021-01-17,7433,213.0
2021-01-18,7433,213.0
2021-01-19,7460,214.0
2021-01-20,7579,215.0
2021-01-21,7617,217.0
2021-01-22,7711,217.0
2021-01-23,7787,219.0
2021-01-24,7878,221.0
2021-01-25,7878,221.0
2021-01-26,7986,221.0
2021-01-27,8026,222.0
2021-01-28,8063,230.0
2021-01-29,8207,231.0
2021-01-30,8318,232.0
2021-01-31,8393,232.0
2021-02-01,8393,232.0
2021-02-02,8492,234.0
