date,cases,deaths
2020-03-27,1,0
2020-03-28,2,0
2020-03-29,7,0
2020-03-30,7,0
2020-03-31,11,0
2020-04-01,14,0
2020-04-02,14,0
2020-04-03,18,0
2020-04-04,23,1
2020-04-05,27,1
2020-04-06,27,1
2020-04-07,31,1
2020-04-08,31,1
2020-04-09,31,1
2020-04-10,51,1
2020-04-11,55,1
2020-04-12,59,1
2020-04-13,68,1
2020-04-14,74,1
2020-04-15,74,2
2020-04-16,79,2
2020-04-17,89,2
2020-04-18,142,2
2020-04-19,142,2
2020-04-20,144,2
2020-04-21,164,3
2020-04-22,164,2
2020-04-23,191,3
2020-04-24,191,3
2020-04-25,203,3
2020-04-26,216,3
2020-04-27,255,3
2020-04-28,277,3
2020-04-29,291,5
2020-04-30,319,5
2020-05-01,319,5
2020-05-02,327,5
2020-05-03,348,5
2020-05-04,349,5
2020-05-05,378,6
2020-05-06,378,6
2020-05-07,382,6
2020-05-08,384,6
2020-05-09,384,6
2020-05-10,384,6
2020-05-11,386,6
2020-05-12,389,6
2020-05-13,390,6
2020-05-14,391,6
2020-05-15,393,6
2020-05-16,393,6
2020-05-17,393,6
2020-05-18,393,6
2020-05-19,400,6
2020-05-20,400,6
2020-05-21,400,6
2020-05-22,322,5
2020-05-23,322,5
2020-05-24,322,5
2020-05-25,322,5
2020-05-26,324,5
2020-05-27,325,5
2020-05-28,326,5
2020-05-29,328,5
2020-05-30,328,5
2020-05-31,328,5
2020-06-01,328,5
2020-06-02,335,5
2020-06-03,336,5
2020-06-04,339,5
2020-06-05,340,5
2020-06-06,340,5
2020-06-07,340,5
2020-06-08,341,5
2020-06-09,342,5
2020-06-10,343,5
2020-06-11,343,5
2020-06-12,346,5
2020-06-13,346,5
2020-06-14,349,5
2020-06-15,349,5
2020-06-16,353,5
2020-06-17,355,5
2020-06-18,355,5
2020-06-19,372,5
2020-06-20,372,5
2020-06-21,376,5
2020-06-22,392,5
2020-06-23,407,5
2020-06-24,412,5
2020-06-25,421,5
2020-06-26,433,5
2020-06-27,433,5
2020-06-28,440,5
2020-06-29,460,5
2020-06-30,494,5
2020-07-01,517,5
2020-07-02,540,6
2020-07-03,540,6
2020-07-04,580,6
2020-07-05,588,6
2020-07-06,637,6
2020-07-07,667,6
2020-07-08,691,6
2020-07-09,716,7
2020-07-10,748,7
2020-07-11,748,7
2020-07-12,802,7
2020-07-13,844,7
2020-07-14,888,9
2020-07-15,909,10
2020-07-16,929,11
2020-07-17,973,11
2020-07-18,973,11
2020-07-19,985,11
2020-07-20,998,11
2020-07-21,1041,11
2020-07-22,1054,13
2020-07-23,1070,13
2020-07-24,1080,14
2020-07-25,1080,14
2020-07-26,1101,14
2020-07-27,1113,16
2020-07-28,1130,16
2020-07-29,1669,17
2020-07-30,1721,18
2020-07-31,1740,19
2020-08-01,1740,19
2020-08-02,1740,19
2020-08-03,1777,19
2020-08-04,1777,21
2020-08-05,1799,21
2020-08-06,1815,22
2020-08-07,1832,23
2020-08-08,1832,23
2020-08-09,1832,23
2020-08-10,1849,23
2020-08-11,1872,27
2020-08-12,1879,28
2020-08-13,1899,28
2020-08-14,1929,28
2020-08-15,1929,29
2020-08-16,1929,29
2020-08-17,1947,29
2020-08-18,1967,30
2020-08-19,2001,30
2020-08-20,2035,31
2020-08-21,2069,31
2020-08-22,2069,32
2020-08-23,2069,32
2020-08-24,2368,32
2020-08-25,2387,33
2020-08-26,2402,33
2020-08-27,2424,33
2020-08-28,2469,34
2020-08-29,2469,34
2020-08-30,2469,34
2020-08-31,2504,35
2020-09-01,2518,35
2020-09-02,2537,35
2020-09-03,2567,37
2020-09-04,2584,37
2020-09-05,2584,37
2020-09-06,2584,37
2020-09-07,2584,37
2020-09-08,2633,40
2020-09-09,2645,41
2020-09-10,2687,41
2020-09-11,2709,43
2020-09-12,2709,43
2020-09-13,2709,44
2020-09-14,2734,48
2020-09-15,2762,48
2020-09-16,2781,50
2020-09-17,2812,51
2020-09-18,2847,51
2020-09-19,2847,51
2020-09-20,2847,51
2020-09-21,2888,52
2020-09-22,2915,52
2020-09-23,2944,52
2020-09-24,2982,54
2020-09-25,3011,54
2020-09-26,3011,55
2020-09-27,3011,55
2020-09-28,3070,55
2020-09-29,3070,55
2020-09-30,3070,56
2020-10-01,3153,58
2020-10-02,3184,58
2020-10-03,3184,58
2020-10-04,3184,58
2020-10-05,3253,58
2020-10-06,3287,59
2020-10-07,3323,59
2020-10-08,3377,60
2020-10-09,3446,60
2020-10-10,3446,61
2020-10-11,3446,61
2020-10-12,3518,61
2020-10-13,3605,61
2020-10-14,3690,61
2020-10-15,3753,62
2020-10-16,3814,62
2020-10-17,3814,62
2020-10-18,3814,62
2020-10-19,3893,64
2020-10-20,3965,65
2020-10-21,3965,65
2020-10-22,4103,66
2020-10-23,4138,66
2020-10-24,4138,66
2020-10-25,4138,66
2020-10-26,4387,69
2020-10-27,4445,69
2020-10-28,4512,70
2020-10-29,4606,72
2020-10-30,4723,74
2020-10-31,4723,74
2020-11-01,4723,74
2020-11-02,4933,76
2020-11-03,5040,76
2020-11-04,5162,79
2020-11-05,5287,82
2020-11-06,5410,82
2020-11-07,5410,82
2020-11-08,5410,82
2020-11-09,5410,82
2020-11-10,5770,85
2020-11-11,5770,85
2020-11-12,5770,85
2020-11-13,6111,88
2020-11-14,6111,88
2020-11-15,6111,88
2020-11-16,6515,88
2020-11-17,6601,89
2020-11-18,6697,93
2020-11-19,6838,98
2020-11-20,6948,100
2020-11-21,6948,103
2020-11-22,6948,103
