date,cases,deaths
2020-03-24,3,0.0
2020-03-25,3,0.0
2020-03-26,3,0.0
2020-03-27,3,0.0
2020-03-28,3,0.0
2020-03-29,3,0.0
2020-03-30,6,0.0
2020-03-31,9,0.0
2020-04-01,16,0.0
2020-04-02,20,0.0
2020-04-03,27,0.0
2020-04-04,27,0.0
2020-04-05,32,0.0
2020-04-06,50,0.0
2020-04-07,50,0.0
2020-04-08,59,0.0
2020-04-09,62,0.0
2020-04-10,73,0.0
2020-04-11,76,0.0
2020-04-12,77,0.0
2020-04-13,81,0.0
2020-04-14,87,0.0
2020-04-15,89,1.0
2020-04-16,89,1.0
2020-04-17,89,1.0
2020-04-18,89,1.0
2020-04-19,93,1.0
2020-04-20,93,1.0
2020-04-21,95,1.0
2020-04-22,96,1.0
2020-04-23,105,2.0
2020-04-24,105,2.0
2020-04-25,114,2.0
2020-04-26,117,2.0
2020-04-27,121,2.0
2020-04-28,127,3.0
2020-04-29,127,3.0
2020-04-30,132,3.0
2020-05-01,137,3.0
2020-05-02,139,5.0
2020-05-03,139,5.0
2020-05-04,139,5.0
2020-05-05,143,5.0
2020-05-06,146,5.0
2020-05-07,146,5.0
2020-05-08,146,5.0
2020-05-09,148,5.0
2020-05-10,150,5.0
2020-05-11,150,5.0
2020-05-12,150,6.0
2020-05-13,150,6.0
2020-05-14,154,6.0
2020-05-15,154,6.0
2020-05-16,154,6.0
2020-05-17,154,7.0
2020-05-18,156,7.0
2020-05-19,157,7.0
2020-05-20,157,7.0
2020-05-21,157,7.0
2020-05-22,157,7.0
2020-05-23,157,7.0
2020-05-24,157,7.0
2020-05-25,157,7.0
2020-05-26,157,7.0
2020-05-27,157,7.0
2020-05-28,159,7.0
2020-05-29,160,7.0
2020-05-30,160,7.0
2020-05-31,160,7.0
2020-06-01,160,7.0
2020-06-02,160,7.0
2020-06-03,162,7.0
2020-06-04,167,7.0
2020-06-05,170,7.0
2020-06-06,170,7.0
2020-06-07,170,7.0
2020-06-08,170,7.0
2020-06-09,174,7.0
2020-06-10,180,8.0
2020-06-11,184,8.0
2020-06-12,184,8.0
2020-06-13,197,8.0
2020-06-14,199,8.0
2020-06-15,199,8.0
2020-06-16,202,8.0
2020-06-17,207,8.0
2020-06-18,223,8.0
2020-06-19,241,8.0
2020-06-20,241,8.0
2020-06-21,241,8.0
2020-06-22,241,8.0
2020-06-23,309,8.0
2020-06-24,346,8.0
2020-06-25,372,8.0
2020-06-26,372,8.0
2020-06-27,480,8.0
2020-06-28,480,8.0
2020-06-29,480,8.0
2020-06-30,480,8.0
2020-07-01,794,8.0
2020-07-02,862,8.0
2020-07-03,862,8.0
2020-07-04,1063,8.0
2020-07-05,1063,8.0
2020-07-06,1242,9.0
2020-07-07,1336,9.0
2020-07-08,1336,9.0
2020-07-09,1465,9.0
2020-07-10,1673,10.0
2020-07-11,1673,10.0
2020-07-12,1673,10.0
2020-07-13,1795,12.0
2020-07-14,1993,13.0
2020-07-15,2131,14.0
2020-07-16,2192,18.0
2020-07-17,2271,19.0
2020-07-18,2271,19.0
2020-07-19,2271,19.0
2020-07-20,2475,23.0
2020-07-21,2582,24.0
2020-07-22,2809,26.0
2020-07-23,2809,26.0
2020-07-24,2870,27.0
2020-07-25,2870,27.0
2020-07-26,2870,27.0
2020-07-27,2964,32.0
2020-07-28,2964,32.0
2020-07-29,3137,37.0
2020-07-30,3208,39.0
2020-07-31,3208,39.0
2020-08-01,3275,40.0
2020-08-02,3289,40.0
2020-08-03,3336,41.0
2020-08-04,3397,41.0
2020-08-05,3418,43.0
2020-08-06,3454,44.0
2020-08-07,3481,46.0
2020-08-08,3481,46.0
2020-08-09,3481,46.0
2020-08-10,3499,47.0
2020-08-11,3549,52.0
2020-08-12,3565,55.0
2020-08-13,3574,56.0
2020-08-14,3599,61.0
2020-08-15,3599,61.0
2020-08-16,3599,61.0
2020-08-17,3611,62.0
2020-08-18,3638,62.0
2020-08-19,3658,65.0
2020-08-20,3670,65.0
2020-08-21,3709,67.0
2020-08-22,3712,69.0
2020-08-23,3712,69.0
2020-08-24,3718,71.0
2020-08-25,3749,71.0
2020-08-26,3763,72.0
2020-08-27,3763,75.0
2020-08-28,3773,75.0
2020-08-29,3773,75.0
2020-08-30,3773,75.0
2020-08-31,3788,75.0
2020-09-01,3802,77.0
2020-09-02,3825,80.0
2020-09-03,3842,82.0
2020-09-04,3858,82.0
2020-09-05,3858,82.0
2020-09-06,3858,83.0
2020-09-07,3858,84.0
2020-09-08,3882,84.0
2020-09-09,3908,84.0
2020-09-10,3931,84.0
2020-09-11,3945,84.0
2020-09-12,3945,85.0
2020-09-13,3945,86.0
2020-09-14,3948,86.0
2020-09-15,3966,88.0
2020-09-16,3978,91.0
2020-09-17,3984,94.0
2020-09-18,4015,94.0
2020-09-19,4015,94.0
2020-09-20,4015,95.0
2020-09-21,4015,95.0
2020-09-22,4027,95.0
2020-09-23,4034,95.0
2020-09-24,4053,95.0
2020-09-25,4053,95.0
2020-09-26,4053,96.0
2020-09-27,4053,96.0
2020-09-28,4076,96.0
2020-09-29,4076,96.0
2020-09-30,4076,96.0
2020-10-01,4107,96.0
2020-10-02,4113,96.0
2020-10-03,4113,96.0
2020-10-04,4113,96.0
2020-10-05,4113,96.0
2020-10-06,4113,96.0
2020-10-07,4115,96.0
2020-10-08,4121,96.0
2020-10-09,4150,97.0
2020-10-10,4150,97.0
2020-10-11,4150,97.0
2020-10-12,4150,97.0
2020-10-13,4159,97.0
2020-10-14,4168,97.0
2020-10-15,4168,97.0
2020-10-16,4182,97.0
2020-10-17,4193,97.0
2020-10-18,4193,97.0
2020-10-19,4193,97.0
2020-10-20,4201,97.0
2020-10-21,4224,97.0
2020-10-22,4224,97.0
2020-10-23,4232,97.0
2020-10-24,4248,97.0
2020-10-25,4248,97.0
2020-10-26,4248,97.0
2020-10-27,4258,97.0
2020-10-28,4267,98.0
2020-10-29,4279,98.0
2020-10-30,4291,98.0
2020-10-31,4302,98.0
2020-11-01,4302,98.0
2020-11-02,4302,98.0
2020-11-03,4324,98.0
2020-11-04,4340,98.0
2020-11-05,4375,98.0
2020-11-06,4399,98.0
2020-11-07,4422,98.0
2020-11-08,4422,98.0
2020-11-09,4422,98.0
2020-11-10,4436,98.0
2020-11-11,4490,98.0
2020-11-12,4490,98.0
2020-11-13,4548,98.0
2020-11-14,4584,99.0
2020-11-15,4584,99.0
2020-11-16,4584,99.0
2020-11-17,4627,99.0
2020-11-18,4698,99.0
2020-11-19,4733,99.0
2020-11-20,4761,99.0
2020-11-21,4780,102.0
2020-11-22,4780,102.0
2020-11-23,4780,102.0
2020-11-24,4833,102.0
2020-11-25,4898,103.0
2020-11-26,4943,104.0
2020-11-27,4943,104.0
2020-11-28,4943,104.0
2020-11-29,4943,104.0
2020-11-30,4943,104.0
2020-12-01,4943,104.0
2020-12-02,4943,104.0
2020-12-03,5127,104.0
2020-12-04,5152,104.0
2020-12-05,5187,105.0
2020-12-06,5187,105.0
2020-12-07,5187,105.0
2020-12-08,5217,106.0
2020-12-09,5247,107.0
2020-12-10,5247,107.0
2020-12-11,5318,109.0
2020-12-12,5359,109.0
2020-12-13,5359,109.0
2020-12-14,5359,109.0
2020-12-15,5390,109.0
2020-12-16,5431,110.0
2020-12-17,5477,111.0
2020-12-18,5515,111.0
2020-12-19,5546,111.0
2020-12-20,5546,111.0
2020-12-21,5546,111.0
2020-12-22,5572,111.0
2020-12-23,5615,115.0
2020-12-24,5615,116.0
2020-12-25,5631,116.0
2020-12-26,5631,116.0
2020-12-27,5631,117.0
2020-12-28,5631,117.0
2020-12-29,5707,118.0
2020-12-30,5759,118.0
2020-12-31,5881,120.0
2021-01-01,5881,122.0
2021-01-02,5881,122.0
2021-01-03,5881,122.0
2021-01-04,5881,122.0
2021-01-05,5989,124.0
2021-01-06,6072,124.0
2021-01-07,6144,124.0
2021-01-08,6245,124.0
2021-01-09,6316,125.0
2021-01-10,6316,128.0
2021-01-11,6316,128.0
2021-01-12,6398,128.0
2021-01-13,6495,129.0
2021-01-14,6563,131.0
2021-01-15,6600,132.0
2021-01-16,6672,134.0
2021-01-17,6672,134.0
2021-01-18,6672,134.0
2021-01-19,6672,134.0
2021-01-20,6803,136.0
2021-01-21,6861,138.0
2021-01-22,6937,139.0
2021-01-23,6984,139.0
2021-01-24,6984,139.0
2021-01-25,6984,139.0
2021-01-26,7066,140.0
2021-01-27,7131,141.0
2021-01-28,7204,147.0
2021-01-29,7317,148.0
2021-01-30,7317,149.0
2021-01-31,7317,149.0
2021-02-01,7317,149.0
2021-02-02,7369,153.0
2021-02-03,7460,158.0
2021-02-04,7509,160.0
2021-02-05,7534,161.0
2021-02-06,7581,163.0
2021-02-07,7581,163.0
2021-02-08,7581,164.0
2021-02-09,7623,165.0
2021-02-10,7648,165.0
2021-02-11,7677,167.0
2021-02-12,7677,167.0
2021-02-13,7739,167.0
2021-02-14,7739,167.0
2021-02-15,7739,167.0
2021-02-16,7739,167.0
2021-02-17,7739,167.0
2021-02-18,7765,167.0
2021-02-19,7765,167.0
2021-02-20,7789,169.0
2021-02-21,7789,170.0
2021-02-22,7789,172.0
2021-02-23,7795,173.0
2021-02-24,7829,173.0
2021-02-25,7849,174.0
