date,cases,deaths
2020-04-18,1,0
2020-04-19,1,0
2020-04-20,1,0
2020-04-21,1,0
2020-04-22,1,0
2020-04-23,1,0
2020-04-24,1,0
2020-04-25,1,0
2020-04-26,1,0
2020-04-27,1,0
2020-04-28,1,0
2020-04-29,1,0
2020-04-30,1,0
2020-05-01,1,0
2020-05-02,1,0
2020-05-03,1,0
2020-05-04,1,0
2020-05-05,2,0
2020-05-06,2,0
2020-05-07,2,0
2020-05-08,2,0
2020-05-09,2,0
2020-05-10,2,0
2020-05-11,2,0
2020-05-12,2,0
2020-05-13,2,0
2020-05-14,2,0
2020-05-15,2,0
2020-05-16,2,0
2020-05-17,2,0
2020-05-18,2,0
2020-05-19,2,0
2020-05-20,3,0
2020-05-21,3,0
2020-05-22,3,0
2020-05-23,3,0
2020-05-24,3,0
2020-05-25,3,0
2020-05-26,3,0
2020-05-27,3,0
2020-05-28,3,0
2020-05-29,3,0
2020-05-30,3,0
2020-05-31,3,0
2020-06-01,3,0
2020-06-02,3,0
2020-06-03,3,0
2020-06-04,3,0
2020-06-05,3,0
2020-06-06,3,0
2020-06-07,3,0
2020-06-08,3,0
2020-06-09,5,0
2020-06-10,8,0
2020-06-11,8,0
2020-06-12,8,0
2020-06-13,9,0
2020-06-14,9,0
2020-06-15,9,0
2020-06-16,10,0
2020-06-17,10,0
2020-06-18,11,0
2020-06-19,11,0
2020-06-20,13,0
2020-06-21,13,0
2020-06-22,13,0
2020-06-23,15,0
2020-06-24,15,0
2020-06-25,19,0
2020-06-26,21,0
2020-06-27,21,0
2020-06-28,21,0
2020-06-29,21,0
2020-06-30,24,0
2020-07-01,24,0
2020-07-02,30,0
2020-07-03,30,0
2020-07-04,38,0
2020-07-05,38,0
2020-07-06,38,0
2020-07-07,39,0
2020-07-08,40,0
2020-07-09,40,0
2020-07-10,40,0
2020-07-11,42,0
2020-07-12,42,0
2020-07-13,42,0
2020-07-14,44,0
2020-07-15,44,0
2020-07-16,45,0
2020-07-17,50,0
2020-07-18,56,0
2020-07-19,56,0
2020-07-20,56,0
2020-07-21,55,0
2020-07-22,55,1
2020-07-23,61,1
2020-07-24,63,1
2020-07-25,63,1
2020-07-26,63,1
2020-07-27,63,1
2020-07-28,66,1
2020-07-29,68,1
2020-07-30,78,1
2020-07-31,77,1
2020-08-01,85,1
2020-08-02,85,1
2020-08-03,85,1
2020-08-04,89,2
2020-08-05,90,2
2020-08-06,96,3
2020-08-07,100,3
2020-08-08,102,3
2020-08-09,102,3
2020-08-10,102,3
2020-08-11,106,3
2020-08-12,114,3
2020-08-13,114,3
2020-08-14,119,3
2020-08-15,124,3
2020-08-16,124,3
2020-08-17,124,3
2020-08-18,124,3
2020-08-19,129,3
