date,cases,deaths
2020-03-15,1,0
2020-03-16,1,0
2020-03-17,1,0
2020-03-18,2,0
2020-03-19,3,0
2020-03-20,3,0
2020-03-21,7,0
2020-03-22,7,0
2020-03-23,12,0
2020-03-24,14,0
2020-03-25,18,0
2020-03-26,25,0
2020-03-27,27,0
2020-03-28,30,0
2020-03-29,51,0
2020-03-30,58,0
2020-03-31,70,0
2020-04-01,90,0
2020-04-02,105,0
2020-04-03,150,0
2020-04-04,186,0
2020-04-05,216,0
2020-04-06,223,0
2020-04-07,236,0
2020-04-08,267,0
2020-04-09,272,0
2020-04-10,283,0
2020-04-11,295,0
2020-04-12,313,0
2020-04-13,322,0
2020-04-14,335,0
2020-04-15,352,0
2020-04-16,387,4
2020-04-17,403,4
2020-04-18,417,5
2020-04-19,455,5
2020-04-20,498,5
2020-04-21,523,5
2020-04-22,570,6
2020-04-23,611,6
2020-04-24,669,7
2020-04-25,725,7
2020-04-26,777,7
2020-04-27,828,7
2020-04-28,862,7
2020-04-29,899,7
2020-04-30,957,7
2020-05-01,993,7
2020-05-02,1021,9
2020-05-03,1073,9
2020-05-04,1122,9
2020-05-05,1171,10
2020-05-06,1210,10
2020-05-07,1219,11
2020-05-08,1288,11
2020-05-09,1318,11
2020-05-10,1346,11
2020-05-11,1358,11
2020-05-12,1365,11
2020-05-13,1400,11
2020-05-14,1435,11
2020-05-15,1455,11
2020-05-16,1471,11
2020-05-17,1497,11
2020-05-18,1520,11
2020-05-19,1537,12
2020-05-20,1569,13
2020-05-21,1592,13
2020-05-22,1651,13
2020-05-23,1678,14
2020-05-24,1704,14
2020-05-25,1722,14
2020-05-26,1744,14
2020-05-27,1753,15
2020-05-28,1777,17
2020-05-29,1826,17
2020-05-30,1870,17
2020-05-31,1929,17
2020-06-01,1965,17
2020-06-02,1991,17
2020-06-03,2028,17
2020-06-04,2088,17
2020-06-05,2143,17
2020-06-06,2183,17
2020-06-07,2261,17
2020-06-08,2310,17
2020-06-09,2337,18
2020-06-10,2376,18
2020-06-11,2444,19
2020-06-12,2491,19
2020-06-13,2551,19
2020-06-14,2607,19
2020-06-15,2654,19
2020-06-16,2711,19
2020-06-17,2776,19
2020-06-18,2861,19
2020-06-19,2957,19
2020-06-20,3056,19
2020-06-21,3136,21
2020-06-22,3263,21
2020-06-23,3355,22
2020-06-24,3447,22
2020-06-25,3541,22
2020-06-26,3675,22
2020-06-27,3751,22
2020-06-28,3850,22
2020-06-29,3965,22
2020-06-30,4084,22
2020-07-01,4154,22
2020-07-02,4249,22
2020-07-03,4340,22
2020-07-04,4474,22
2020-07-05,4553,23
2020-07-06,4648,23
2020-07-07,4761,24
2020-07-08,4894,27
2020-07-09,4988,27
2020-07-10,5143,27
2020-07-11,5271,27
2020-07-12,5369,28
2020-07-13,5491,28
2020-07-14,5560,29
2020-07-15,5637,30
2020-07-16,5794,30
2020-07-17,5950,30
2020-07-18,6148,30
2020-07-19,6287,30
2020-07-20,6380,31
2020-07-21,6516,31
