date,cases,deaths
2020-03-11,1,0
2020-03-12,1,0
2020-03-13,1,0
2020-03-14,1,0
2020-03-15,2,0
2020-03-16,4,0
2020-03-17,6,0
2020-03-18,11,0
2020-03-19,12,1
2020-03-20,12,1
2020-03-21,22,1
2020-03-22,22,1
2020-03-23,22,1
2020-03-24,40,1
2020-03-25,55,6
2020-03-26,75,6
2020-03-27,90,6
2020-03-28,105,6
2020-03-29,117,6
2020-03-30,133,6
2020-03-31,152,6
2020-04-01,164,6
2020-04-02,177,6
2020-04-03,199,6
2020-04-04,245,6
2020-04-05,271,6
2020-04-06,285,6
2020-04-07,308,6
2020-04-08,324,15
2020-04-09,336,15
2020-04-10,336,15
2020-04-11,351,16
2020-04-12,364,17
2020-04-13,372,18
2020-04-14,372,19
2020-04-15,372,20
2020-04-16,377,22
2020-04-17,378,22
2020-04-18,384,23
2020-04-19,385,23
2020-04-20,385,24
2020-04-21,391,25
2020-04-22,393,25
2020-04-23,395,27
2020-04-24,396,28
2020-04-25,405,30
2020-04-26,410,30
2020-04-27,414,31
2020-04-28,416,31
2020-04-29,416,31
2020-04-30,418,32
2020-05-01,419,33
2020-05-02,422,34
2020-05-03,423,36
2020-05-04,425,36
2020-05-05,425,36
2020-05-06,426,36
2020-05-07,431,37
2020-05-08,431,37
2020-05-09,431,37
2020-05-10,432,37
2020-05-11,432,37
2020-05-12,432,37
2020-05-13,432,37
2020-05-14,432,37
2020-05-15,433,37
2020-05-16,434,37
2020-05-17,439,38
2020-05-18,439,38
2020-05-19,439,38
2020-05-20,439,38
2020-05-21,440,38
2020-05-22,440,38
2020-05-23,440,38
2020-05-24,440,38
2020-05-25,441,38
2020-05-26,444,38
2020-05-27,446,38
