date,cases,deaths
2020-03-14,2,0.0
2020-03-15,3,0.0
2020-03-16,3,0.0
2020-03-17,3,0.0
2020-03-18,3,0.0
2020-03-19,3,1.0
2020-03-20,6,1.0
2020-03-21,8,1.0
2020-03-22,8,1.0
2020-03-23,8,1.0
2020-03-24,15,1.0
2020-03-25,17,1.0
2020-03-26,17,1.0
2020-03-27,18,1.0
2020-03-28,18,1.0
2020-03-29,18,1.0
2020-03-30,18,1.0
2020-03-31,18,1.0
2020-04-01,18,1.0
2020-04-02,20,1.0
2020-04-03,20,1.0
2020-04-04,24,1.0
2020-04-05,22,1.0
2020-04-06,22,1.0
2020-04-07,24,1.0
2020-04-08,24,2.0
2020-04-09,24,2.0
2020-04-10,24,2.0
2020-04-11,25,2.0
2020-04-12,25,2.0
2020-04-13,27,2.0
2020-04-14,27,2.0
2020-04-15,29,2.0
2020-04-16,31,2.0
2020-04-17,33,2.0
2020-04-18,34,2.0
2020-04-19,37,2.0
2020-04-20,37,2.0
2020-04-21,38,2.0
2020-04-22,38,2.0
2020-04-23,38,2.0
2020-04-24,38,2.0
2020-04-25,39,2.0
2020-04-26,39,2.0
2020-04-27,40,2.0
2020-04-28,40,2.0
2020-04-29,40,2.0
2020-04-30,40,2.0
2020-05-01,40,2.0
2020-05-02,41,2.0
2020-05-03,42,2.0
2020-05-04,43,2.0
2020-05-05,43,2.0
2020-05-06,44,2.0
2020-05-07,46,2.0
2020-05-08,46,2.0
2020-05-09,46,2.0
2020-05-10,45,2.0
2020-05-11,45,2.0
2020-05-12,45,2.0
2020-05-13,46,2.0
2020-05-14,47,2.0
2020-05-15,47,2.0
2020-05-16,47,2.0
2020-05-17,47,2.0
2020-05-18,47,2.0
2020-05-19,48,2.0
2020-05-20,48,2.0
2020-05-21,49,2.0
2020-05-22,49,2.0
2020-05-23,49,2.0
2020-05-24,49,2.0
2020-05-25,50,2.0
2020-05-26,51,2.0
2020-05-27,51,2.0
2020-05-28,51,2.0
2020-05-29,51,2.0
2020-05-30,51,2.0
2020-05-31,51,2.0
2020-06-01,51,2.0
2020-06-02,51,2.0
2020-06-03,52,2.0
2020-06-04,52,2.0
2020-06-05,52,2.0
2020-06-06,55,2.0
2020-06-07,55,2.0
2020-06-08,55,2.0
2020-06-09,56,2.0
2020-06-10,56,2.0
2020-06-11,55,2.0
2020-06-12,55,2.0
2020-06-13,55,2.0
2020-06-14,55,2.0
2020-06-15,55,2.0
2020-06-16,55,2.0
2020-06-17,55,2.0
2020-06-18,55,2.0
2020-06-19,55,2.0
2020-06-20,55,2.0
2020-06-21,55,2.0
2020-06-22,55,2.0
2020-06-23,55,2.0
2020-06-24,55,2.0
2020-06-25,56,2.0
2020-06-26,58,2.0
2020-06-27,58,2.0
2020-06-28,58,2.0
2020-06-29,58,2.0
2020-06-30,58,2.0
2020-07-01,58,2.0
2020-07-02,59,2.0
2020-07-03,59,2.0
2020-07-04,59,2.0
2020-07-05,59,2.0
2020-07-06,59,2.0
2020-07-07,59,2.0
2020-07-08,61,2.0
2020-07-09,61,2.0
2020-07-10,62,2.0
2020-07-11,62,2.0
2020-07-12,62,2.0
2020-07-13,62,2.0
2020-07-14,62,2.0
2020-07-15,64,2.0
2020-07-16,64,2.0
2020-07-17,65,2.0
2020-07-18,65,2.0
2020-07-19,65,2.0
2020-07-20,67,2.0
2020-07-21,67,2.0
2020-07-22,68,2.0
2020-07-23,69,2.0
2020-07-24,69,2.0
2020-07-25,69,2.0
2020-07-26,69,2.0
2020-07-27,69,2.0
2020-07-28,69,2.0
2020-07-29,69,2.0
2020-07-30,70,2.0
2020-07-31,70,2.0
2020-08-01,71,2.0
2020-08-02,71,2.0
2020-08-03,71,2.0
2020-08-04,71,2.0
2020-08-05,71,2.0
2020-08-06,72,2.0
2020-08-07,72,2.0
2020-08-08,72,2.0
2020-08-09,72,2.0
2020-08-10,72,2.0
2020-08-11,72,2.0
2020-08-12,73,2.0
2020-08-13,73,2.0
2020-08-14,74,2.0
2020-08-15,75,2.0
2020-08-16,75,2.0
2020-08-17,75,2.0
2020-08-18,75,2.0
2020-08-19,75,2.0
2020-08-20,75,2.0
2020-08-21,75,2.0
2020-08-22,75,2.0
2020-08-23,75,2.0
2020-08-24,75,2.0
2020-08-25,75,2.0
2020-08-26,75,2.0
2020-08-27,77,2.0
2020-08-28,77,2.0
2020-08-29,78,2.0
2020-08-30,79,2.0
2020-08-31,79,2.0
2020-09-01,80,2.0
2020-09-02,79,2.0
2020-09-03,79,2.0
2020-09-04,80,2.0
2020-09-05,80,2.0
2020-09-06,80,2.0
2020-09-07,81,2.0
2020-09-08,81,2.0
2020-09-09,81,2.0
2020-09-10,81,2.0
2020-09-11,82,2.0
2020-09-12,82,2.0
2020-09-13,82,2.0
2020-09-14,83,2.0
2020-09-15,83,2.0
2020-09-16,83,2.0
2020-09-17,83,2.0
2020-09-18,83,2.0
2020-09-19,83,2.0
2020-09-20,83,2.0
2020-09-21,83,2.0
2020-09-22,84,2.0
2020-09-23,84,2.0
2020-09-24,84,2.0
2020-09-25,86,2.0
2020-09-26,86,2.0
2020-09-27,87,2.0
2020-09-28,87,2.0
2020-09-29,87,2.0
2020-09-30,87,2.0
2020-10-01,89,2.0
2020-10-02,90,2.0
2020-10-03,91,2.0
2020-10-04,92,2.0
2020-10-05,92,2.0
2020-10-06,94,2.0
2020-10-07,95,2.0
2020-10-08,97,2.0
2020-10-09,100,2.0
2020-10-10,101,2.0
2020-10-11,103,2.0
2020-10-12,104,2.0
2020-10-13,104,2.0
2020-10-14,104,2.0
2020-10-15,105,2.0
2020-10-16,106,2.0
2020-10-17,108,2.0
2020-10-18,108,2.0
2020-10-19,109,2.0
2020-10-20,110,2.0
2020-10-21,113,2.0
2020-10-22,114,2.0
2020-10-23,116,2.0
2020-10-24,117,2.0
2020-10-25,119,2.0
2020-10-26,119,2.0
2020-10-27,119,2.0
2020-10-28,119,2.0
2020-10-29,124,2.0
2020-10-30,125,2.0
2020-10-31,128,2.0
2020-11-01,128,2.0
2020-11-02,128,2.0
2020-11-03,128,2.0
2020-11-04,128,2.0
2020-11-05,128,2.0
2020-11-06,131,2.0
2020-11-07,134,2.0
2020-11-08,137,2.0
2020-11-09,137,2.0
2020-11-10,141,2.0
2020-11-11,144,2.0
2020-11-12,146,2.0
2020-11-13,149,2.0
2020-11-14,150,2.0
2020-11-15,151,2.0
2020-11-16,152,2.0
2020-11-17,152,2.0
2020-11-18,152,2.0
2020-11-19,158,2.0
2020-11-20,163,2.0
2020-11-21,169,2.0
2020-11-22,179,2.0
2020-11-23,183,2.0
2020-11-24,184,2.0
2020-11-25,187,2.0
2020-11-26,187,2.0
2020-11-27,199,2.0
2020-11-28,201,2.0
2020-11-29,203,2.0
2020-11-30,205,2.0
2020-12-01,209,2.0
2020-12-02,218,2.0
2020-12-03,221,2.0
2020-12-04,227,2.0
2020-12-05,241,2.0
2020-12-06,252,2.0
2020-12-07,254,2.0
2020-12-08,261,2.0
2020-12-09,271,2.0
2020-12-10,279,2.0
2020-12-11,285,2.0
2020-12-12,292,2.0
2020-12-13,295,2.0
2020-12-14,298,2.0
2020-12-15,305,2.0
2020-12-16,312,2.0
2020-12-17,325,2.0
2020-12-18,326,3.0
2020-12-19,335,3.0
2020-12-20,338,3.0
2020-12-21,342,3.0
2020-12-22,347,3.0
2020-12-23,347,3.0
2020-12-24,353,3.0
2020-12-25,353,3.0
2020-12-26,373,3.0
2020-12-27,377,3.0
2020-12-28,377,3.0
2020-12-29,385,3.0
2020-12-30,389,3.0
