date,cases,deaths
2020-03-11,2,0
2020-03-12,2,0
2020-03-13,5,0
2020-03-14,7,0
2020-03-15,8,0
2020-03-16,9,0
2020-03-17,13,0
2020-03-18,14,0
2020-03-19,17,0
2020-03-20,17,0
2020-03-21,22,0
2020-03-22,26,0
2020-03-23,34,0
2020-03-24,36,0
2020-03-25,46,0
2020-03-26,63,0
2020-03-27,63,0
2020-03-28,75,0
2020-03-29,84,2
2020-03-30,86,2
2020-03-31,104,2
2020-04-01,119,2
2020-04-02,128,2
2020-04-03,135,2
2020-04-04,150,2
2020-04-05,181,2
2020-04-06,203,2
2020-04-07,237,2
2020-04-08,254,2
2020-04-09,280,2
2020-04-10,312,2
2020-04-11,349,2
2020-04-12,366,2
2020-04-13,390,3
2020-04-14,401,12
2020-04-15,420,12
2020-04-16,453,12
2020-04-17,485,12
2020-04-18,520,12
2020-04-19,575,20
2020-04-20,593,20
2020-04-21,625,23
2020-04-22,663,24
2020-04-23,686,24
2020-04-24,722,24
2020-04-25,764,29
2020-04-26,790,32
2020-04-27,836,32
2020-04-28,865,32
2020-04-29,912,32
2020-04-30,967,41
2020-05-01,1004,42
2020-05-02,1044,46
2020-05-03,1106,46
2020-05-04,1139,47
2020-05-05,1169,49
2020-05-06,1169,49
2020-05-07,1248,52
2020-05-08,1281,57
2020-05-09,1332,60
2020-05-10,1368,61
2020-05-11,1399,60
2020-05-12,1416,66
2020-05-13,1460,69
2020-05-14,1499,70
2020-05-15,1534,71
2020-05-16,1560,74
2020-05-17,1590,75
2020-05-18,1638,77
2020-05-19,1688,79
2020-05-20,1728,81
2020-05-21,1763,89
2020-05-22,1795,91
2020-05-23,1804,95
2020-05-24,1873,98
2020-05-25,1897,101
2020-05-26,1935,104
2020-05-27,1988,109
2020-05-28,2039,109
2020-05-29,2089,111
2020-05-30,2107,113
2020-05-31,2116,115
2020-06-01,2123,116
2020-06-02,2133,117
2020-06-03,2142,120
2020-06-04,2150,120
2020-06-05,2173,121
2020-06-06,2195,120
2020-06-07,2225,121
2020-06-08,2256,122
2020-06-09,2265,122
2020-06-10,2280,121
2020-06-11,2299,124
2020-06-12,2307,125
2020-06-13,2321,125
2020-06-14,2338,125
2020-06-15,2346,125
2020-06-16,2363,125
2020-06-17,2372,124
2020-06-18,2382,126
2020-06-19,2396,126
2020-06-20,2405,126
2020-06-21,2418,126
2020-06-22,2424,126
2020-06-23,2431,126
2020-06-24,2438,126
2020-06-25,2445,127
2020-06-26,2449,132
2020-06-27,2454,132
2020-06-28,2464,132
2020-06-29,2466,132
2020-06-30,2479,132
2020-07-01,2484,132
2020-07-02,2496,132
2020-07-03,2500,132
2020-07-04,2519,131
2020-07-05,2533,131
2020-07-06,2533,131
2020-07-07,2550,131
2020-07-08,2558,132
2020-07-09,2567,132
2020-07-10,2582,133
2020-07-11,2597,134
2020-07-12,2615,134
2020-07-13,2626,134
2020-07-14,2660,134
2020-07-15,2677,134
2020-07-16,2691,134
2020-07-17,2704,135
2020-07-18,2726,135
2020-07-19,2733,135
2020-07-20,2737,135
2020-07-21,2750,135
2020-07-22,2763,135
