date,cases,deaths
2020-03-31,1,0
2020-04-01,1,0
2020-04-02,1,0
2020-04-03,1,0
2020-04-04,1,0
2020-04-05,1,0
2020-04-06,1,0
2020-04-07,1,0
2020-04-08,1,0
2020-04-09,1,0
2020-04-10,2,0
2020-04-11,3,0
2020-04-12,3,0
2020-04-13,3,0
2020-04-14,9,0
2020-04-15,9,0
2020-04-16,10,0
2020-04-17,10,0
2020-04-18,12,0
2020-04-19,12,0
2020-04-20,12,0
2020-04-21,12,0
2020-04-22,13,0
2020-04-23,13,0
2020-04-24,14,0
2020-04-25,14,0
2020-04-26,14,0
2020-04-27,14,0
2020-04-28,13,0
2020-04-29,14,0
2020-04-30,14,0
2020-05-01,14,0
2020-05-02,15,0
2020-05-03,15,0
2020-05-04,15,0
2020-05-05,15,0
2020-05-06,15,0
2020-05-07,16,0
2020-05-08,17,0
2020-05-09,17,0
2020-05-10,18,0
2020-05-11,19,0
2020-05-12,20,0
2020-05-13,20,0
2020-05-14,20,0
2020-05-15,20,1
2020-05-16,20,1
2020-05-17,20,1
2020-05-18,20,1
2020-05-19,21,1
2020-05-20,21,1
2020-05-21,21,1
2020-05-22,21,1
2020-05-23,21,1
2020-05-24,21,1
2020-05-25,21,1
2020-05-26,21,1
2020-05-27,21,1
2020-05-28,24,1
2020-05-29,25,1
2020-05-30,25,1
2020-05-31,25,1
2020-06-01,27,1
2020-06-02,28,1
2020-06-03,30,1
2020-06-04,31,1
2020-06-05,32,1
2020-06-06,32,1
2020-06-07,39,1
2020-06-08,41,1
2020-06-09,41,1
2020-06-10,43,1
2020-06-11,44,1
2020-06-12,44,1
2020-06-13,46,1
2020-06-14,46,1
2020-06-15,46,1
2020-06-16,54,1
2020-06-17,59,1
2020-06-18,72,1
2020-06-19,90,1
2020-06-20,90,1
2020-06-21,91,1
2020-06-22,92,1
2020-06-23,92,1
2020-06-24,93,1
2020-06-25,96,1
2020-06-26,96,1
2020-06-27,99,1
2020-06-28,102,1
2020-06-29,102,1
2020-06-30,103,1
2020-07-01,106,1
2020-07-02,107,1
2020-07-03,107,1
2020-07-04,109,1
2020-07-05,112,1
2020-07-06,113,1
2020-07-07,116,1
2020-07-08,117,1
2020-07-09,116,1
2020-07-10,123,1
2020-07-11,127,1
2020-07-12,130,1
2020-07-13,138,1
2020-07-14,143,1
2020-07-15,143,1
2020-07-16,143,1
2020-07-17,146,1
2020-07-18,150,1
2020-07-19,154,1
2020-07-20,157,1
2020-07-21,161,1
2020-07-22,162,1
2020-07-23,163,1
2020-07-24,170,1
2020-07-25,172,1
2020-07-26,174,1
2020-07-27,179,1
2020-07-28,184,1
2020-07-29,188,1
2020-07-30,197,1
2020-07-31,197,1
2020-08-01,204,1
2020-08-02,205,1
2020-08-03,212,1
2020-08-04,212,2
2020-08-05,215,2
2020-08-06,216,2
2020-08-07,226,2
2020-08-08,227,2
2020-08-09,228,2
2020-08-10,230,2
2020-08-11,237,2
2020-08-12,239,2
2020-08-13,240,2
2020-08-14,247,2
2020-08-15,247,2
2020-08-16,247,2
2020-08-17,248,2
2020-08-18,250,2
2020-08-19,254,2
2020-08-20,259,2
2020-08-21,261,2
2020-08-22,263,2
2020-08-23,264,2
2020-08-24,269,2
2020-08-25,273,2
2020-08-26,273,2
2020-08-27,279,2
2020-08-28,281,2
2020-08-29,283,2
2020-08-30,285,2
2020-08-31,293,2
2020-09-01,295,2
2020-09-02,301,2
2020-09-03,302,2
2020-09-04,306,2
2020-09-05,308,2
2020-09-06,310,2
2020-09-07,310,2
2020-09-08,317,2
2020-09-09,318,2
2020-09-10,320,2
2020-09-11,326,2
2020-09-12,327,2
2020-09-13,331,2
2020-09-14,332,2
2020-09-15,333,3
2020-09-16,336,3
2020-09-17,340,3
2020-09-18,341,4
2020-09-19,344,4
2020-09-20,346,4
2020-09-21,346,4
2020-09-22,346,4
2020-09-23,347,4
2020-09-24,349,5
2020-09-25,351,5
2020-09-26,355,5
2020-09-27,358,5
2020-09-28,358,5
2020-09-29,361,5
2020-09-30,361,5
2020-10-01,363,5
2020-10-02,366,5
2020-10-03,367,5
2020-10-04,369,5
2020-10-05,369,5
2020-10-06,374,5
2020-10-07,374,5
2020-10-08,384,5
2020-10-09,387,5
2020-10-10,391,5
2020-10-11,392,5
2020-10-12,394,5
2020-10-13,397,5
2020-10-14,398,5
2020-10-15,402,5
2020-10-16,402,5
2020-10-17,404,5
2020-10-18,408,5
2020-10-19,410,5
2020-10-20,412,5
2020-10-21,414,5
2020-10-22,416,5
2020-10-23,419,5
2020-10-24,420,5
