date,cases,deaths
2020-03-31,2,0
2020-04-01,2,0
2020-04-02,2,0
2020-04-03,3,0
2020-04-04,4,0
2020-04-05,4,0
2020-04-06,4,0
2020-04-07,6,0
2020-04-08,9,0
2020-04-09,9,0
2020-04-10,10,0
2020-04-11,14,0
2020-04-12,14,0
2020-04-13,16,0
2020-04-14,18,0
2020-04-15,22,0
2020-04-16,23,0
2020-04-17,24,0
2020-04-18,25,0
2020-04-19,26,0
2020-04-20,26,0
2020-04-21,27,0
2020-04-22,27,0
2020-04-23,31,0
2020-04-24,31,0
2020-04-25,34,0
2020-04-26,35,0
2020-04-27,45,0
2020-04-28,55,0
2020-04-29,55,0
2020-04-30,58,0
2020-05-01,94,0
2020-05-02,137,0
2020-05-03,137,0
2020-05-04,137,0
2020-05-05,171,0
2020-05-06,171,0
2020-05-07,225,0
2020-05-08,225,1
2020-05-09,246,1
2020-05-10,246,1
2020-05-11,246,1
2020-05-12,301,2
2020-05-13,347,2
2020-05-14,348,2
2020-05-15,366,2
2020-05-16,411,2
2020-05-17,411,2
2020-05-18,417,2
2020-05-19,419,2
