date,cases,deaths
2020-04-03,1,0
2020-04-04,1,0
2020-04-05,1,0
2020-04-06,1,0
2020-04-07,4,0
2020-04-08,4,0
2020-04-09,4,0
2020-04-10,6,0
2020-04-11,6,0
2020-04-12,6,0
2020-04-13,6,0
2020-04-14,7,0
2020-04-15,9,0
2020-04-16,11,0
2020-04-17,11,0
2020-04-18,13,0
2020-04-19,13,0
2020-04-20,14,0
2020-04-21,17,0
2020-04-22,20,0
2020-04-23,21,0
2020-04-24,21,0
2020-04-25,21,0
2020-04-26,21,0
2020-04-27,21,0
2020-04-28,22,0
2020-04-29,25,0
2020-04-30,27,1
2020-05-01,32,1
2020-05-02,29,1
2020-05-03,31,1
2020-05-04,32,1
2020-05-05,34,1
2020-05-06,34,1
2020-05-07,36,1
