date,cases,deaths
2020-04-28,1,0
2020-04-29,1,0
2020-04-30,2,0
2020-05-01,2,0
2020-05-02,2,0
2020-05-03,2,0
2020-05-04,4,0
2020-05-05,5,0
2020-05-06,5,0
2020-05-07,5,0
2020-05-08,5,0
2020-05-09,5,0
2020-05-10,12,0
2020-05-11,15,0
2020-05-12,16,0
2020-05-13,18,0
2020-05-14,18,0
2020-05-15,19,0
2020-05-16,20,0
2020-05-17,21,0
2020-05-18,21,0
2020-05-19,21,0
2020-05-20,22,0
2020-05-21,22,0
2020-05-22,24,0
2020-05-23,24,0
2020-05-24,26,0
2020-05-25,30,0
2020-05-26,31,0
2020-05-27,32,0
2020-05-28,32,0
2020-05-29,34,0
2020-05-30,37,0
2020-05-31,38,0
2020-06-01,38,0
2020-06-02,40,0
2020-06-03,42,0
2020-06-04,46,0
2020-06-05,46,0
2020-06-06,48,0
2020-06-07,53,0
2020-06-08,54,0
