date,cases,deaths
2020-03-13,1,0
2020-03-14,1,0
2020-03-15,1,0
2020-03-16,1,0
2020-03-17,1,0
2020-03-18,1,0
2020-03-19,1,0
2020-03-20,1,0
2020-03-21,1,0
2020-03-22,1,0
2020-03-23,1,0
2020-03-24,1,0
2020-03-25,2,0
2020-03-26,3,0
2020-03-27,5,0
2020-03-28,5,0
2020-03-29,5,0
2020-03-30,6,0
2020-03-31,6,0
2020-04-01,10,0
2020-04-02,15,0
2020-04-03,22,0
2020-04-04,22,0
2020-04-05,25,0
2020-04-06,27,0
2020-04-07,27,0
2020-04-08,36,0
2020-04-09,39,0
2020-04-10,57,0
2020-04-11,79,0
2020-04-12,81,0
2020-04-13,87,0
2020-04-14,95,0
2020-04-15,101,0
2020-04-16,119,0
2020-04-17,214,0
2020-04-18,233,0
2020-04-19,236,0
2020-04-20,252,0
2020-04-21,264,0
2020-04-22,318,8
2020-04-23,346,8
2020-04-24,355,9
2020-04-25,370,9
2020-04-26,371,9
2020-04-27,383,9
2020-04-28,406,9
2020-04-29,411,11
2020-04-30,426,11
2020-05-01,456,11
2020-05-02,470,15
2020-05-03,478,16
2020-05-04,497,16
2020-05-05,525,19
2020-05-06,525,19
2020-05-07,552,20
2020-05-08,574,21
2020-05-09,578,21
2020-05-10,579,21
2020-05-11,583,21
2020-05-12,584,21
2020-05-13,607,21
2020-05-14,615,21
2020-05-15,620,21
2020-05-16,631,21
2020-05-17,632,21
2020-05-18,633,21
2020-05-19,647,21
2020-05-20,675,21
2020-05-21,695,21
2020-05-22,704,21
2020-05-23,709,21
2020-05-24,716,21
2020-05-25,727,21
2020-05-26,742,21
2020-05-27,746,21
2020-05-28,757,23
2020-05-29,765,23
2020-05-30,774,23
2020-05-31,779,23
2020-06-01,797,23
2020-06-02,799,23
2020-06-03,809,23
2020-06-04,814,23
2020-06-05,817,23
2020-06-06,823,23
2020-06-07,832,23
2020-06-08,833,23
2020-06-09,837,23
2020-06-10,842,23
2020-06-11,846,23
2020-06-12,850,23
2020-06-13,847,23
2020-06-14,855,23
2020-06-15,856,23
2020-06-16,859,22
2020-06-17,864,23
2020-06-18,870,23
2020-06-19,874,23
2020-06-20,885,23
2020-06-21,889,23
2020-06-22,893,23
2020-06-23,896,23
2020-06-24,901,23
2020-06-25,907,23
2020-06-26,913,23
2020-06-27,925,23
2020-06-28,933,24
2020-06-29,936,24
2020-06-30,939,24
2020-07-01,937,24
2020-07-02,941,26
2020-07-03,957,27
2020-07-04,963,27
2020-07-05,966,27
2020-07-06,966,27
2020-07-07,967,28
2020-07-08,972,28
2020-07-09,975,28
2020-07-10,976,28
2020-07-11,978,28
2020-07-12,979,28
2020-07-13,988,28
2020-07-14,992,28
2020-07-15,996,29
2020-07-16,999,29
2020-07-17,1001,29
2020-07-18,1004,29
2020-07-19,1006,29
2020-07-20,1009,29
2020-07-21,1010,29
2020-07-22,1013,29
2020-07-23,1015,29
2020-07-24,1018,29
2020-07-25,1021,29
2020-07-26,1024,29
2020-07-27,1028,29
2020-07-28,1035,29
2020-07-29,1037,29
2020-07-30,1037,29
2020-07-31,1039,29
2020-08-01,1045,29
2020-08-02,1048,29
2020-08-03,1055,29
2020-08-04,1065,29
2020-08-05,1069,30
2020-08-06,1070,30
2020-08-07,1075,31
2020-08-08,1076,31
2020-08-09,1077,31
2020-08-10,1079,31
2020-08-11,1082,31
2020-08-12,1083,31
2020-08-13,1086,31
2020-08-14,1088,31
2020-08-15,1093,31
2020-08-16,1099,31
2020-08-17,1106,31
2020-08-18,1109,31
2020-08-19,1115,31
2020-08-20,1115,31
2020-08-21,1119,31
2020-08-22,1124,31
2020-08-23,1130,31
