date,cases,deaths
2020-03-17,2,0
2020-03-18,2,0
2020-03-19,2,0
2020-03-20,3,0
2020-03-21,7,0
2020-03-22,8,0
2020-03-23,11,0
2020-03-24,14,0
2020-03-25,20,2
2020-03-26,28,3
2020-03-27,28,3
2020-03-28,31,3
2020-03-29,40,3
2020-03-30,44,3
2020-03-31,62,3
2020-04-01,78,3
2020-04-02,87,3
2020-04-03,112,16
2020-04-04,174,16
2020-04-05,194,16
2020-04-06,207,16
2020-04-07,267,16
2020-04-08,291,33
2020-04-09,319,35
2020-04-10,342,35
2020-04-11,368,35
2020-04-12,379,35
2020-04-13,397,45
2020-04-14,432,45
2020-04-15,453,45
2020-04-16,497,45
2020-04-17,532,45
2020-04-18,559,45
2020-04-19,584,71
2020-04-20,598,71
2020-04-21,621,77
2020-04-22,684,82
2020-04-23,718,83
2020-04-24,729,86
2020-04-25,764,89
2020-04-26,792,89
2020-04-27,817,89
2020-04-28,835,95
2020-04-29,846,98
2020-04-30,876,100
2020-05-01,898,102
2020-05-02,926,104
2020-05-03,954,105
2020-05-04,964,105
2020-05-05,985,106
2020-05-06,985,106
2020-05-07,1025,109
2020-05-08,1032,110
2020-05-09,1054,109
2020-05-10,1067,109
2020-05-11,1083,110
2020-05-12,1106,112
2020-05-13,1146,112
2020-05-14,1174,112
2020-05-15,1198,113
2020-05-16,1226,113
2020-05-17,1252,113
2020-05-18,1272,113
2020-05-19,1299,114
2020-05-20,1321,114
2020-05-21,1339,114
2020-05-22,1375,117
2020-05-23,1411,118
2020-05-24,1446,118
2020-05-25,1492,118
2020-05-26,1546,118
2020-05-27,1579,119
2020-05-28,1624,131
2020-05-29,1678,133
2020-05-30,1754,133
2020-05-31,1820,133
2020-06-01,1858,134
2020-06-02,1919,135
2020-06-03,1933,134
2020-06-04,1946,134
2020-06-05,1983,134
2020-06-06,2033,134
2020-06-07,2096,134
2020-06-08,2128,134
2020-06-09,2146,134
2020-06-10,2162,135
2020-06-11,2170,135
2020-06-12,2193,136
2020-06-13,2234,136
2020-06-14,2264,136
2020-06-15,2289,136
2020-06-16,2311,137
2020-06-17,2332,140
2020-06-18,2342,139
2020-06-19,2368,138
2020-06-20,2383,138
2020-06-21,2413,138
2020-06-22,2426,138
2020-06-23,2448,138
2020-06-24,2463,138
2020-06-25,2500,140
2020-06-26,2543,141
2020-06-27,2560,141
2020-06-28,2579,141
2020-06-29,2584,141
2020-06-30,2591,141
2020-07-01,2603,146
2020-07-02,2615,152
2020-07-03,2629,157
2020-07-04,2663,158
2020-07-05,2681,158
2020-07-06,2685,159
2020-07-07,2708,163
2020-07-08,2721,165
2020-07-09,2725,169
2020-07-10,2784,172
2020-07-11,2822,173
2020-07-12,2860,173
2020-07-13,2891,173
2020-07-14,2925,173
2020-07-15,2947,175
2020-07-16,2964,175
2020-07-17,2987,175
2020-07-18,3005,175
2020-07-19,3037,175
2020-07-20,3058,175
2020-07-21,3097,177
2020-07-22,3112,177
