date,cases,deaths
2020-03-28,1,0
2020-03-29,1,0
2020-03-30,3,0
2020-03-31,4,0
2020-04-01,4,0
2020-04-02,5,0
2020-04-03,7,0
2020-04-04,9,0
2020-04-05,10,0
2020-04-06,10,0
2020-04-07,13,0
2020-04-08,13,0
2020-04-09,13,0
2020-04-10,14,0
2020-04-11,14,0
2020-04-12,14,0
2020-04-13,14,0
2020-04-14,14,0
2020-04-15,14,0
2020-04-16,14,0
2020-04-17,14,0
2020-04-18,16,0
2020-04-19,16,0
2020-04-20,16,0
2020-04-21,16,0
2020-04-22,16,0
2020-04-23,19,0
2020-04-24,19,0
2020-04-25,21,0
2020-04-26,22,0
2020-04-27,24,0
2020-04-28,24,0
2020-04-29,24,0
2020-04-30,24,0
2020-05-01,25,0
2020-05-02,27,0
2020-05-03,27,0
2020-05-04,31,0
2020-05-05,31,0
2020-05-06,31,0
2020-05-07,33,0
2020-05-08,33,0
2020-05-09,33,0
2020-05-10,37,0
2020-05-11,39,0
2020-05-12,44,0
2020-05-13,45,0
2020-05-14,48,0
2020-05-15,49,0
2020-05-16,49,0
2020-05-17,51,0
2020-05-18,53,0
2020-05-19,58,0
2020-05-20,61,0
2020-05-21,62,0
2020-05-22,66,0
2020-05-23,67,0
2020-05-24,66,0
2020-05-25,66,0
2020-05-26,73,0
2020-05-27,78,0
2020-05-28,81,0
2020-05-29,85,0
2020-05-30,87,0
2020-05-31,90,0
2020-06-01,92,1
2020-06-02,96,1
2020-06-03,98,1
2020-06-04,103,2
2020-06-05,110,2
2020-06-06,114,2
2020-06-07,116,2
2020-06-08,118,2
2020-06-09,118,2
2020-06-10,120,2
2020-06-11,120,2
2020-06-12,129,2
2020-06-13,138,2
2020-06-14,138,2
2020-06-15,141,2
2020-06-16,144,2
2020-06-17,149,2
2020-06-18,150,2
2020-06-19,151,2
2020-06-20,151,2
2020-06-21,151,2
2020-06-22,152,2
2020-06-23,155,2
2020-06-24,163,2
2020-06-25,163,2
2020-06-26,163,2
2020-06-27,169,2
2020-06-28,169,2
2020-06-29,169,2
2020-06-30,174,2
2020-07-01,176,2
2020-07-02,182,2
2020-07-03,184,2
2020-07-04,185,2
2020-07-05,186,2
2020-07-06,188,2
2020-07-07,191,3
2020-07-08,191,4
2020-07-09,192,5
2020-07-10,193,5
2020-07-11,198,5
2020-07-12,201,5
2020-07-13,209,5
2020-07-14,210,5
2020-07-15,212,5
2020-07-16,216,5
2020-07-17,224,5
2020-07-18,225,5
2020-07-19,228,5
2020-07-20,231,5
2020-07-21,234,5
2020-07-22,236,5
2020-07-23,238,5
2020-07-24,239,5
2020-07-25,239,5
2020-07-26,242,5
2020-07-27,248,5
2020-07-28,252,5
2020-07-29,253,5
