date,cases,deaths
2020-03-12,3,0
2020-03-13,8,0
2020-03-14,9,1
2020-03-15,9,1
2020-03-16,10,1
2020-03-17,12,2
2020-03-18,13,2
2020-03-19,14,2
2020-03-20,19,2
2020-03-21,20,2
2020-03-22,32,3
2020-03-23,34,3
2020-03-24,37,3
2020-03-25,41,3
2020-03-26,49,3
2020-03-27,55,3
2020-03-28,65,3
2020-03-29,70,3
2020-03-30,73,3
2020-03-31,89,3
2020-04-01,95,3
2020-04-02,97,3
2020-04-03,104,3
2020-04-04,111,3
2020-04-05,117,3
2020-04-06,118,3
2020-04-07,119,3
2020-04-08,122,3
2020-04-09,123,3
2020-04-10,125,3
2020-04-11,126,3
2020-04-12,126,3
2020-04-13,126,3
2020-04-14,128,3
2020-04-15,132,3
2020-04-16,135,3
2020-04-17,138,3
2020-04-18,139,3
2020-04-19,141,3
2020-04-20,141,3
2020-04-21,146,12
2020-04-22,147,12
2020-04-23,149,12
2020-04-24,150,12
2020-04-25,151,12
2020-04-26,153,12
2020-04-27,154,12
2020-04-28,155,12
2020-04-29,155,12
2020-04-30,158,12
2020-05-01,160,12
2020-05-02,161,13
2020-05-03,163,13
2020-05-04,167,13
2020-05-05,166,14
2020-05-06,166,14
2020-05-07,167,15
2020-05-08,170,15
