date,cases,deaths
2020-03-30,1,0
2020-03-31,1,0
2020-04-01,1,0
2020-04-02,1,0
2020-04-03,1,0
2020-04-04,1,0
2020-04-05,2,0
2020-04-06,2,0
2020-04-07,2,0
2020-04-08,2,0
2020-04-09,2,0
2020-04-10,2,0
2020-04-11,2,0
2020-04-12,2,0
2020-04-13,2,0
2020-04-14,2,0
2020-04-15,2,0
2020-04-16,2,0
2020-04-17,2,0
2020-04-18,2,0
2020-04-19,2,0
2020-04-20,2,0
2020-04-21,2,0
2020-04-22,2,0
2020-04-23,3,0
2020-04-24,3,0
2020-04-25,5,0
2020-04-26,5,0
2020-04-27,5,0
2020-04-28,5,0
2020-04-29,5,1
2020-04-30,5,1
2020-05-01,5,1
2020-05-02,9,1
2020-05-03,9,1
2020-05-04,9,1
2020-05-05,10,1
2020-05-06,10,1
2020-05-07,11,1
2020-05-08,11,1
2020-05-09,11,1
2020-05-10,11,1
2020-05-11,12,1
2020-05-12,12,0
2020-05-13,12,0
2020-05-14,12,0
2020-05-15,13,0
2020-05-16,14,0
2020-05-17,14,0
2020-05-18,15,0
2020-05-19,15,0
2020-05-20,15,0
2020-05-21,16,0
2020-05-22,19,0
2020-05-23,20,0
2020-05-24,20,0
2020-05-25,24,0
2020-05-26,24,0
2020-05-27,25,0
2020-05-28,26,0
2020-05-29,26,0
2020-05-30,30,0
2020-05-31,30,0
2020-06-01,31,0
2020-06-02,31,0
2020-06-03,31,0
2020-06-04,31,0
2020-06-05,31,0
2020-06-06,32,0
2020-06-07,32,0
2020-06-08,32,0
2020-06-09,32,0
2020-06-10,32,0
2020-06-11,32,0
2020-06-12,32,0
2020-06-13,33,0
2020-06-14,33,0
2020-06-15,33,0
2020-06-16,33,0
2020-06-17,33,0
2020-06-18,33,0
2020-06-19,33,0
2020-06-20,35,0
2020-06-21,36,0
2020-06-22,37,0
2020-06-23,36,0
2020-06-24,37,0
2020-06-25,38,0
2020-06-26,40,0
2020-06-27,40,0
2020-06-28,42,0
2020-06-29,42,0
2020-06-30,42,0
2020-07-01,42,0
2020-07-02,42,0
2020-07-03,42,0
2020-07-04,43,0
2020-07-05,44,0
2020-07-06,44,0
2020-07-07,47,1
2020-07-08,47,1
2020-07-09,54,1
2020-07-10,54,2
2020-07-11,54,2
2020-07-12,54,2
2020-07-13,56,2
2020-07-14,58,2
2020-07-15,59,2
2020-07-16,61,2
2020-07-17,60,2
2020-07-18,60,2
2020-07-19,62,2
