date,cases,deaths
2020-03-20,1,0
2020-03-21,3,0
2020-03-22,3,0
2020-03-23,4,0
2020-03-24,5,0
2020-03-25,5,0
2020-03-26,6,0
2020-03-27,8,0
2020-03-28,10,0
2020-03-29,14,0
2020-03-30,17,0
2020-03-31,27,0
2020-04-01,33,0
2020-04-02,37,0
2020-04-03,43,1
2020-04-04,55,1
2020-04-05,59,1
2020-04-06,60,1
2020-04-07,72,1
2020-04-08,77,1
2020-04-09,84,1
2020-04-10,88,1
2020-04-11,90,1
2020-04-12,90,1
2020-04-13,99,1
2020-04-14,97,1
2020-04-15,99,1
2020-04-16,105,1
2020-04-17,108,1
2020-04-18,109,1
2020-04-19,111,2
2020-04-20,113,2
2020-04-21,118,3
2020-04-22,126,3
2020-04-23,136,3
2020-04-24,141,3
2020-04-25,169,3
2020-04-26,179,3
2020-04-27,184,3
2020-04-28,188,3
2020-04-29,192,3
2020-04-30,198,3
2020-05-01,204,3
2020-05-02,211,3
2020-05-03,221,4
2020-05-04,239,4
2020-05-05,251,4
2020-05-06,251,4
2020-05-07,270,5
2020-05-08,274,5
2020-05-09,290,5
2020-05-10,304,5
2020-05-11,308,5
2020-05-12,319,5
2020-05-13,327,5
2020-05-14,338,5
2020-05-15,349,5
2020-05-16,350,5
2020-05-17,350,5
2020-05-18,361,5
2020-05-19,370,6
2020-05-20,370,6
2020-05-21,377,6
2020-05-22,388,6
2020-05-23,393,6
2020-05-24,399,6
2020-05-25,432,6
2020-05-26,450,6
2020-05-27,451,6
2020-05-28,452,6
2020-05-29,470,6
2020-05-30,490,6
2020-05-31,503,6
2020-06-01,521,6
2020-06-02,530,6
2020-06-03,539,6
2020-06-04,552,6
2020-06-05,560,6
2020-06-06,562,7
2020-06-07,583,7
2020-06-08,589,7
2020-06-09,596,7
2020-06-10,605,7
2020-06-11,619,7
2020-06-12,630,7
2020-06-13,643,7
2020-06-14,660,7
2020-06-15,668,7
2020-06-16,681,7
2020-06-17,698,7
2020-06-18,704,7
2020-06-19,707,7
2020-06-20,723,7
2020-06-21,737,7
2020-06-22,746,7
2020-06-23,747,7
2020-06-24,771,7
2020-06-25,795,8
2020-06-26,822,8
2020-06-27,842,9
2020-06-28,855,9
2020-06-29,889,9
2020-06-30,915,9
2020-07-01,934,10
2020-07-02,987,11
2020-07-03,1000,11
2020-07-04,1067,12
2020-07-05,1072,12
2020-07-06,1105,12
2020-07-07,1162,12
2020-07-08,1194,14
2020-07-09,1289,14
2020-07-10,1360,15
2020-07-11,1448,15
2020-07-12,1548,16
2020-07-13,1588,16
2020-07-14,1606,16
2020-07-15,1742,18
2020-07-16,1888,19
2020-07-17,2020,19
2020-07-18,2134,19
2020-07-19,2155,19
2020-07-20,2214,20
2020-07-21,2329,21
2020-07-22,2389,20
2020-07-23,2489,20
2020-07-24,2582,20
2020-07-25,2661,20
2020-07-26,2771,20
2020-07-27,2779,20
2020-07-28,2814,20
2020-07-29,2937,22
2020-07-30,3080,22
2020-07-31,3180,24
2020-08-01,3185,26
2020-08-02,3210,26
2020-08-03,3345,26
2020-08-04,3425,26
2020-08-05,3493,28
2020-08-06,3496,29
2020-08-07,3629,30
2020-08-08,3700,30
2020-08-09,3703,31
2020-08-10,3703,32
2020-08-11,3787,32
2020-08-12,3802,33
2020-08-13,3858,33
2020-08-14,3895,33
2020-08-15,3944,34
2020-08-16,3982,34
2020-08-17,4002,34
2020-08-18,4032,34
2020-08-19,4062,37
