date,cases,deaths
2020-04-03,1,0.0
2020-04-04,1,0.0
2020-04-05,1,0.0
2020-04-06,1,0.0
2020-04-07,2,0.0
2020-04-08,2,0.0
2020-04-09,3,0.0
2020-04-10,4,0.0
2020-04-11,4,0.0
2020-04-12,4,0.0
2020-04-13,4,0.0
2020-04-14,4,0.0
2020-04-15,4,0.0
2020-04-16,5,0.0
2020-04-17,8,0.0
2020-04-18,8,0.0
2020-04-19,8,0.0
2020-04-20,8,0.0
2020-04-21,8,0.0
2020-04-22,9,0.0
2020-04-23,9,0.0
2020-04-24,10,0.0
2020-04-25,10,0.0
2020-04-26,10,0.0
2020-04-27,9,0.0
2020-04-28,9,0.0
2020-04-29,9,0.0
2020-04-30,9,0.0
2020-05-01,9,0.0
2020-05-02,9,0.0
2020-05-03,9,0.0
2020-05-04,9,0.0
2020-05-05,9,0.0
2020-05-06,9,0.0
2020-05-07,9,0.0
2020-05-08,9,0.0
2020-05-09,9,0.0
2020-05-10,9,0.0
2020-05-11,9,0.0
2020-05-12,9,0.0
2020-05-13,9,0.0
2020-05-14,10,0.0
2020-05-15,10,0.0
2020-05-16,10,0.0
2020-05-17,10,0.0
2020-05-18,10,0.0
2020-05-19,10,0.0
2020-05-20,10,0.0
2020-05-21,10,0.0
2020-05-22,10,0.0
2020-05-23,10,0.0
2020-05-24,10,0.0
2020-05-25,11,0.0
2020-05-26,12,0.0
2020-05-27,14,0.0
2020-05-28,18,0.0
2020-05-29,19,0.0
2020-05-30,19,0.0
2020-05-31,19,0.0
2020-06-01,19,0.0
2020-06-02,20,0.0
2020-06-03,21,0.0
2020-06-04,21,0.0
2020-06-05,21,0.0
2020-06-06,24,1.0
2020-06-07,27,1.0
2020-06-08,28,1.0
2020-06-09,28,1.0
2020-06-10,30,1.0
2020-06-11,30,1.0
2020-06-12,30,1.0
2020-06-13,30,1.0
2020-06-14,30,1.0
2020-06-15,30,1.0
2020-06-16,30,1.0
2020-06-17,30,1.0
2020-06-18,31,1.0
2020-06-19,31,1.0
2020-06-20,36,1.0
2020-06-21,36,1.0
2020-06-22,36,1.0
2020-06-23,37,1.0
2020-06-24,39,1.0
2020-06-25,39,2.0
2020-06-26,39,2.0
2020-06-27,39,2.0
2020-06-28,39,2.0
2020-06-29,45,2.0
2020-06-30,45,2.0
2020-07-01,46,2.0
2020-07-02,46,2.0
2020-07-03,48,2.0
2020-07-04,48,2.0
2020-07-05,48,2.0
2020-07-06,48,2.0
2020-07-07,48,2.0
2020-07-08,48,2.0
2020-07-09,48,2.0
2020-07-10,51,2.0
2020-07-11,51,2.0
2020-07-12,51,2.0
2020-07-13,53,2.0
2020-07-14,55,2.0
2020-07-15,55,2.0
2020-07-16,56,2.0
2020-07-17,57,2.0
2020-07-18,59,2.0
2020-07-19,60,2.0
2020-07-20,61,2.0
2020-07-21,61,2.0
2020-07-22,61,2.0
2020-07-23,62,2.0
2020-07-24,63,2.0
2020-07-25,63,2.0
2020-07-26,67,2.0
2020-07-27,71,2.0
2020-07-28,73,2.0
2020-07-29,74,3.0
2020-07-30,74,3.0
2020-07-31,74,3.0
2020-08-01,74,3.0
2020-08-02,74,3.0
2020-08-03,75,3.0
2020-08-04,78,3.0
2020-08-05,79,3.0
2020-08-06,82,3.0
2020-08-07,84,3.0
2020-08-08,88,3.0
2020-08-09,89,3.0
2020-08-10,89,3.0
2020-08-11,90,3.0
2020-08-12,90,3.0
2020-08-13,90,3.0
2020-08-14,90,3.0
2020-08-15,91,3.0
2020-08-16,91,3.0
2020-08-17,91,3.0
2020-08-18,95,3.0
2020-08-19,96,3.0
2020-08-20,99,3.0
2020-08-21,102,3.0
2020-08-22,104,3.0
2020-08-23,108,3.0
2020-08-24,109,3.0
2020-08-25,116,3.0
2020-08-26,122,3.0
2020-08-27,123,3.0
2020-08-28,126,3.0
2020-08-29,130,3.0
2020-08-30,132,3.0
2020-08-31,135,3.0
2020-09-01,137,3.0
2020-09-02,138,3.0
2020-09-03,142,3.0
2020-09-04,145,3.0
2020-09-05,146,3.0
2020-09-06,147,3.0
2020-09-07,148,3.0
2020-09-08,148,3.0
2020-09-09,156,3.0
2020-09-10,158,3.0
2020-09-11,159,3.0
2020-09-12,172,3.0
2020-09-13,175,3.0
2020-09-14,182,3.0
