date,cases,deaths
2020-03-27,1,0
2020-03-28,1,0
2020-03-29,1,0
2020-03-30,6,0
2020-03-31,6,0
2020-04-01,6,0
2020-04-02,9,0
2020-04-03,9,0
2020-04-04,10,0
2020-04-05,10,0
2020-04-06,11,0
2020-04-07,12,0
2020-04-08,14,0
2020-04-09,15,0
2020-04-10,16,0
2020-04-11,17,0
2020-04-12,20,0
2020-04-13,21,0
2020-04-14,21,0
2020-04-15,22,0
2020-04-16,24,0
2020-04-17,24,0
2020-04-18,24,0
2020-04-19,24,0
2020-04-20,24,0
2020-04-21,25,0
2020-04-22,27,0
2020-04-23,28,0
2020-04-24,33,0
2020-04-25,33,0
2020-04-26,33,0
2020-04-27,33,0
2020-04-28,35,0
2020-04-29,57,0
2020-04-30,73,0
2020-05-01,80,0
2020-05-02,80,0
2020-05-03,81,0
2020-05-04,81,0
2020-05-05,82,0
2020-05-06,82,0
2020-05-07,88,1
2020-05-08,91,1
2020-05-09,93,1
2020-05-10,93,1
2020-05-11,106,1
2020-05-12,108,1
2020-05-13,116,1
2020-05-14,120,1
2020-05-15,120,1
2020-05-16,120,8
2020-05-17,120,8
2020-05-18,128,8
2020-05-19,135,8
2020-05-20,135,8
2020-05-21,135,8
2020-05-22,140,9
2020-05-23,141,9
2020-05-24,140,9
2020-05-25,140,9
2020-05-26,146,9
2020-05-27,146,9
2020-05-28,147,9
2020-05-29,152,9
2020-05-30,155,9
2020-05-31,160,9
2020-06-01,167,9
2020-06-02,171,9
2020-06-03,176,10
2020-06-04,176,10
2020-06-05,190,10
2020-06-06,197,10
2020-06-07,199,10
2020-06-08,199,10
2020-06-09,204,10
2020-06-10,207,10
2020-06-11,222,10
2020-06-12,232,10
2020-06-13,247,10
2020-06-14,250,10
2020-06-15,250,10
2020-06-16,270,10
2020-06-17,277,10
2020-06-18,277,10
2020-06-19,291,10
2020-06-20,308,10
2020-06-21,313,10
2020-06-22,324,10
2020-06-23,343,10
2020-06-24,359,10
2020-06-25,359,10
2020-06-26,360,10
2020-06-27,363,10
2020-06-28,368,10
2020-06-29,403,10
2020-06-30,439,9
2020-07-01,438,10
2020-07-02,436,10
2020-07-03,465,10
2020-07-04,476,10
2020-07-05,479,10
2020-07-06,492,10
2020-07-07,502,10
2020-07-08,525,10
2020-07-09,542,10
2020-07-10,552,10
2020-07-11,557,10
2020-07-12,582,10
2020-07-13,588,10
2020-07-14,611,10
2020-07-15,612,10
2020-07-16,617,10
2020-07-17,622,10
2020-07-18,621,10
2020-07-19,637,10
2020-07-20,659,10
2020-07-21,665,10
2020-07-22,679,10
2020-07-23,684,10
2020-07-24,690,10
2020-07-25,698,10
2020-07-26,724,10
2020-07-27,737,10
2020-07-28,739,10
2020-07-29,780,10
2020-07-30,805,10
2020-07-31,814,11
2020-08-01,861,11
2020-08-02,903,11
2020-08-03,909,11
2020-08-04,913,14
2020-08-05,932,14
2020-08-06,973,14
2020-08-07,1000,14
2020-08-08,1009,15
2020-08-09,1017,15
2020-08-10,1015,15
2020-08-11,1032,15
2020-08-12,1036,15
2020-08-13,1041,15
2020-08-14,1051,15
2020-08-15,1056,15
2020-08-16,1064,15
2020-08-17,1082,15
2020-08-18,1084,15
2020-08-19,1085,15
2020-08-20,1104,15
2020-08-21,1122,15
2020-08-22,1121,15
2020-08-23,1123,15
2020-08-24,1129,15
2020-08-25,1129,15
2020-08-26,1140,15
2020-08-27,1169,15
2020-08-28,1179,15
2020-08-29,1186,15
2020-08-30,1189,15
2020-08-31,1200,15
2020-09-01,1201,15
2020-09-02,1203,15
2020-09-03,1199,15
2020-09-04,1220,15
2020-09-05,1235,15
2020-09-06,1267,15
2020-09-07,1305,15
2020-09-08,1306,15
2020-09-09,1312,15
2020-09-10,1329,15
2020-09-11,1359,15
2020-09-12,1365,15
2020-09-13,1373,15
2020-09-14,1391,15
2020-09-15,1394,15
2020-09-16,1413,15
2020-09-17,1447,16
2020-09-18,1508,16
2020-09-19,1563,17
2020-09-20,1577,21
2020-09-21,1578,22
2020-09-22,1610,22
2020-09-23,1621,23
2020-09-24,1640,23
2020-09-25,1656,23
2020-09-26,1694,23
2020-09-27,1713,27
2020-09-28,1716,27
2020-09-29,1744,27
2020-09-30,1787,28
2020-10-01,1801,28
2020-10-02,1831,28
2020-10-03,1885,29
2020-10-04,1892,29
2020-10-05,1914,29
