date,cases,deaths
2020-03-16,1,0
2020-03-17,1,0
2020-03-18,2,0
2020-03-19,2,0
2020-03-20,2,0
2020-03-21,2,0
2020-03-22,5,0
2020-03-23,6,0
2020-03-24,6,0
2020-03-25,6,0
2020-03-26,11,0
2020-03-27,11,0
2020-03-28,11,0
2020-03-29,13,0
2020-03-30,20,0
2020-03-31,24,0
2020-04-01,28,0
2020-04-02,28,0
2020-04-03,29,0
2020-04-04,38,0
2020-04-05,41,0
2020-04-06,43,0
2020-04-07,49,0
2020-04-08,48,0
2020-04-09,54,0
2020-04-10,60,0
2020-04-11,67,0
2020-04-12,72,1
2020-04-13,87,1
2020-04-14,95,1
2020-04-15,108,1
2020-04-16,120,1
2020-04-17,128,1
2020-04-18,143,1
2020-04-19,152,1
2020-04-20,161,1
2020-04-21,164,2
2020-04-22,170,2
2020-04-23,180,2
2020-04-24,193,2
2020-04-25,198,2
2020-04-26,213,2
2020-04-27,218,2
2020-04-28,221,2
2020-04-29,225,2
2020-04-30,240,2
2020-05-01,251,2
2020-05-02,262,2
2020-05-03,271,2
2020-05-04,288,2
2020-05-05,308,2
2020-05-06,308,2
2020-05-07,334,2
2020-05-08,344,2
2020-05-09,354,2
2020-05-10,374,2
2020-05-11,384,2
2020-05-12,396,4
2020-05-13,413,4
2020-05-14,426,4
2020-05-15,442,4
2020-05-16,458,4
2020-05-17,467,4
2020-05-18,484,4
2020-05-19,501,4
2020-05-20,514,4
2020-05-21,540,4
2020-05-22,552,4
2020-05-23,569,4
2020-05-24,581,4
2020-05-25,599,4
2020-05-26,642,4
2020-05-27,657,4
2020-05-28,672,4
2020-05-29,681,4
2020-05-30,702,4
2020-05-31,713,4
2020-06-01,722,5
2020-06-02,733,5
2020-06-03,738,5
2020-06-04,742,5
2020-06-05,750,5
2020-06-06,765,5
2020-06-07,803,5
2020-06-08,815,5
