date,cases,deaths
2020-03-21,1,0
2020-03-22,1,0
2020-03-23,1,0
2020-03-24,1,0
2020-03-25,1,0
2020-03-26,1,0
2020-03-27,1,0
2020-03-28,1,0
2020-03-29,1,0
2020-03-30,3,0
2020-03-31,4,0
2020-04-01,6,0
2020-04-02,6,0
2020-04-03,10,0
2020-04-04,20,0
2020-04-05,22,0
2020-04-06,28,0
2020-04-07,30,0
2020-04-08,31,0
2020-04-09,31,0
2020-04-10,35,0
2020-04-11,40,0
2020-04-12,48,0
2020-04-13,51,0
2020-04-14,57,0
2020-04-15,59,0
2020-04-16,65,0
2020-04-17,70,0
2020-04-18,81,0
2020-04-19,91,0
2020-04-20,92,0
2020-04-21,111,2
2020-04-22,126,3
2020-04-23,136,3
2020-04-24,138,4
2020-04-25,141,5
2020-04-26,147,5
2020-04-27,147,5
2020-04-28,152,8
2020-04-29,154,12
2020-04-30,169,12
2020-05-01,175,13
2020-05-02,178,13
2020-05-03,190,14
2020-05-04,190,14
2020-05-05,205,15
2020-05-06,205,15
2020-05-07,208,19
2020-05-08,209,19
2020-05-09,215,19
2020-05-10,215,19
2020-05-11,216,19
2020-05-12,219,20
2020-05-13,221,21
2020-05-14,221,22
2020-05-15,255,22
2020-05-16,260,22
2020-05-17,264,22
2020-05-18,269,22
2020-05-19,269,25
2020-05-20,274,25
2020-05-21,278,25
2020-05-22,283,25
2020-05-23,290,25
2020-05-24,295,29
2020-05-25,300,31
2020-05-26,303,31
2020-05-27,308,31
2020-05-28,308,31
2020-05-29,311,32
2020-05-30,314,32
2020-05-31,315,32
2020-06-01,316,33
2020-06-02,317,33
2020-06-03,318,33
2020-06-04,320,33
2020-06-05,322,33
2020-06-06,323,33
2020-06-07,323,33
2020-06-08,325,33
2020-06-09,325,34
2020-06-10,330,33
2020-06-11,333,33
2020-06-12,337,33
2020-06-13,341,33
2020-06-14,344,33
2020-06-15,345,34
2020-06-16,347,34
2020-06-17,348,34
2020-06-18,349,34
2020-06-19,353,34
2020-06-20,356,34
2020-06-21,365,34
2020-06-22,377,34
2020-06-23,380,34
2020-06-24,385,34
2020-06-25,389,34
2020-06-26,393,34
2020-06-27,397,34
2020-06-28,398,34
2020-06-29,403,34
2020-06-30,414,34
2020-07-01,420,35
2020-07-02,425,36
2020-07-03,441,37
2020-07-04,443,37
2020-07-05,451,38
2020-07-06,457,38
2020-07-07,470,38
2020-07-08,487,38
2020-07-09,504,40
2020-07-10,526,42
2020-07-11,535,42
2020-07-12,554,42
2020-07-13,573,42
2020-07-14,612,42
2020-07-15,633,42
2020-07-16,647,44
2020-07-17,676,44
2020-07-18,701,44
2020-07-19,725,44
2020-07-20,757,44
2020-07-21,780,45
2020-07-22,797,45
2020-07-23,826,45
2020-07-24,862,45
2020-07-25,886,45
2020-07-26,914,45
2020-07-27,948,45
2020-07-28,974,46
2020-07-29,989,48
2020-07-30,1001,48
2020-07-31,1034,49
2020-08-01,1059,49
2020-08-02,1092,49
2020-08-03,1112,49
2020-08-04,1141,49
2020-08-05,1167,49
2020-08-06,1184,49
2020-08-07,1231,49
2020-08-08,1258,50
2020-08-09,1282,50
2020-08-10,1297,50
2020-08-11,1316,51
2020-08-12,1334,53
2020-08-13,1351,53
2020-08-14,1379,53
2020-08-15,1401,53
2020-08-16,1425,53
2020-08-17,1438,53
2020-08-18,1458,55
2020-08-19,1476,55
2020-08-20,1483,57
2020-08-21,1503,57
2020-08-22,1521,57
