date,cases,deaths
2020-03-19,1,0.0
2020-03-20,1,0.0
2020-03-21,2,0.0
2020-03-22,4,0.0
2020-03-23,4,0.0
2020-03-24,4,0.0
2020-03-25,4,0.0
2020-03-26,5,0.0
2020-03-27,5,0.0
2020-03-28,5,0.0
2020-03-29,6,0.0
2020-03-30,6,0.0
2020-03-31,6,0.0
2020-04-01,8,0.0
2020-04-02,8,0.0
2020-04-03,8,0.0
2020-04-04,8,0.0
2020-04-05,8,0.0
2020-04-06,8,0.0
2020-04-07,9,0.0
2020-04-08,10,0.0
2020-04-09,11,0.0
2020-04-10,11,0.0
2020-04-11,12,0.0
2020-04-12,12,0.0
2020-04-13,12,0.0
2020-04-14,12,0.0
2020-04-15,14,0.0
2020-04-16,15,0.0
2020-04-17,14,0.0
2020-04-18,14,0.0
2020-04-19,14,0.0
2020-04-20,14,0.0
2020-04-21,14,0.0
2020-04-22,14,0.0
2020-04-23,14,0.0
2020-04-24,14,0.0
2020-04-25,15,0.0
2020-04-26,15,0.0
2020-04-27,15,0.0
2020-04-28,17,0.0
2020-04-29,18,0.0
2020-04-30,18,0.0
2020-05-01,18,0.0
2020-05-02,18,0.0
2020-05-03,19,0.0
2020-05-04,18,0.0
2020-05-05,19,0.0
2020-05-06,19,0.0
2020-05-07,19,0.0
2020-05-08,19,0.0
2020-05-09,19,0.0
2020-05-10,19,0.0
2020-05-11,19,0.0
2020-05-12,19,0.0
2020-05-13,19,0.0
2020-05-14,19,0.0
2020-05-15,21,0.0
2020-05-16,21,0.0
2020-05-17,21,0.0
2020-05-18,21,0.0
2020-05-19,21,0.0
2020-05-20,21,0.0
2020-05-21,21,0.0
2020-05-22,25,0.0
2020-05-23,25,0.0
2020-05-24,25,0.0
2020-05-25,25,0.0
2020-05-26,25,0.0
2020-05-27,25,0.0
2020-05-28,25,0.0
2020-05-29,25,0.0
2020-05-30,25,0.0
2020-05-31,25,0.0
2020-06-01,25,0.0
2020-06-02,25,0.0
2020-06-03,27,0.0
2020-06-04,27,0.0
2020-06-05,27,0.0
2020-06-06,27,0.0
2020-06-07,27,0.0
2020-06-08,27,0.0
2020-06-09,27,0.0
2020-06-10,29,0.0
2020-06-11,29,0.0
2020-06-12,29,0.0
2020-06-13,29,0.0
2020-06-14,29,0.0
2020-06-15,29,0.0
2020-06-16,29,0.0
2020-06-17,32,0.0
2020-06-18,32,0.0
2020-06-19,33,0.0
2020-06-20,33,0.0
2020-06-21,33,0.0
2020-06-22,33,0.0
2020-06-23,33,0.0
2020-06-24,33,0.0
2020-06-25,33,0.0
2020-06-26,34,0.0
2020-06-27,35,0.0
2020-06-28,36,0.0
2020-06-29,36,0.0
2020-06-30,36,0.0
2020-07-01,36,0.0
2020-07-02,41,0.0
2020-07-03,42,0.0
2020-07-04,42,0.0
2020-07-05,43,0.0
2020-07-06,45,0.0
2020-07-07,46,0.0
2020-07-08,46,0.0
2020-07-09,47,0.0
2020-07-10,50,0.0
2020-07-11,50,0.0
2020-07-12,56,0.0
2020-07-13,60,0.0
2020-07-14,62,0.0
