date,cases,deaths
2020-03-11,1,0.0
2020-03-12,1,0.0
2020-03-13,3,0.0
2020-03-14,3,0.0
2020-03-15,4,0.0
2020-03-16,4,0.0
2020-03-17,5,0.0
2020-03-18,6,0.0
2020-03-19,6,0.0
2020-03-20,8,0.0
2020-03-21,10,0.0
2020-03-22,11,0.0
2020-03-23,11,0.0
2020-03-24,14,0.0
2020-03-25,14,0.0
2020-03-26,24,0.0
2020-03-27,27,0.0
2020-03-28,33,0.0
2020-03-29,36,0.0
2020-03-30,43,0.0
2020-03-31,48,0.0
2020-04-01,51,0.0
2020-04-02,55,0.0
2020-04-03,58,0.0
2020-04-04,64,1.0
2020-04-05,67,1.0
2020-04-06,72,1.0
2020-04-07,74,1.0
2020-04-08,77,1.0
2020-04-09,81,1.0
2020-04-10,81,1.0
2020-04-11,81,1.0
2020-04-12,81,1.0
2020-04-13,81,1.0
2020-04-14,82,1.0
2020-04-15,82,1.0
2020-04-16,86,1.0
2020-04-17,89,1.0
2020-04-18,93,1.0
2020-04-19,94,1.0
2020-04-20,94,1.0
2020-04-21,94,1.0
2020-04-22,95,1.0
2020-04-23,96,1.0
2020-04-24,98,1.0
2020-04-25,101,1.0
2020-04-26,100,1.0
2020-04-27,100,1.0
2020-04-28,100,1.0
2020-04-29,104,1.0
2020-04-30,105,1.0
2020-05-01,110,1.0
2020-05-02,111,1.0
2020-05-03,111,1.0
2020-05-04,113,1.0
2020-05-05,113,1.0
2020-05-06,116,1.0
2020-05-07,117,1.0
2020-05-08,118,1.0
2020-05-09,120,1.0
2020-05-10,123,1.0
2020-05-11,123,1.0
2020-05-12,124,1.0
2020-05-13,124,1.0
2020-05-14,125,1.0
2020-05-15,126,1.0
2020-05-16,127,1.0
2020-05-17,127,1.0
2020-05-18,127,1.0
2020-05-19,127,1.0
2020-05-20,127,1.0
2020-05-21,127,1.0
2020-05-22,127,1.0
2020-05-23,127,1.0
2020-05-24,131,1.0
2020-05-25,132,1.0
2020-05-26,132,1.0
2020-05-27,135,1.0
2020-05-28,135,1.0
2020-05-29,136,1.0
2020-05-30,148,2.0
2020-05-31,154,2.0
2020-06-01,155,2.0
2020-06-02,157,2.0
2020-06-03,157,2.0
2020-06-04,160,2.0
2020-06-05,165,2.0
2020-06-06,170,2.0
2020-06-07,170,2.0
2020-06-08,173,3.0
2020-06-09,174,4.0
2020-06-10,179,4.0
2020-06-11,179,4.0
2020-06-12,187,4.0
2020-06-13,192,4.0
2020-06-14,193,4.0
2020-06-15,197,4.0
2020-06-16,198,5.0
2020-06-17,201,5.0
2020-06-18,205,5.0
2020-06-19,210,6.0
2020-06-20,214,5.0
2020-06-21,219,5.0
2020-06-22,219,7.0
2020-06-23,221,7.0
2020-06-24,226,7.0
2020-06-25,229,7.0
2020-06-26,232,7.0
2020-06-27,238,7.0
2020-06-28,244,7.0
2020-06-29,251,7.0
2020-06-30,263,7.0
2020-07-01,273,7.0
2020-07-02,282,7.0
2020-07-03,288,7.0
2020-07-04,292,7.0
2020-07-05,298,7.0
2020-07-06,303,8.0
2020-07-07,312,8.0
2020-07-08,317,8.0
2020-07-09,321,8.0
2020-07-10,346,8.0
2020-07-11,355,8.0
2020-07-12,378,8.0
2020-07-13,397,8.0
2020-07-14,412,8.0
2020-07-15,430,8.0
2020-07-16,437,8.0
2020-07-17,455,8.0
2020-07-18,472,8.0
2020-07-19,485,8.0
2020-07-20,495,8.0
2020-07-21,504,8.0
2020-07-22,519,9.0
2020-07-23,531,9.0
2020-07-24,546,7.0
2020-07-25,567,7.0
2020-07-26,579,7.0
2020-07-27,595,7.0
2020-07-28,610,8.0
2020-07-29,629,9.0
2020-07-30,641,9.0
2020-07-31,650,9.0
2020-08-01,675,9.0
2020-08-02,678,9.0
2020-08-03,680,9.0
2020-08-04,700,11.0
2020-08-05,709,11.0
2020-08-06,744,11.0
2020-08-07,749,12.0
2020-08-08,763,12.0
2020-08-09,777,12.0
2020-08-10,790,12.0
2020-08-11,803,12.0
2020-08-12,810,12.0
2020-08-13,824,12.0
2020-08-14,837,12.0
2020-08-15,843,12.0
2020-08-16,853,12.0
2020-08-17,862,12.0
2020-08-18,869,12.0
2020-08-19,884,12.0
2020-08-20,900,12.0
2020-08-21,909,12.0
2020-08-22,918,13.0
2020-08-23,924,13.0
2020-08-24,937,13.0
2020-08-25,946,13.0
2020-08-26,953,13.0
2020-08-27,963,13.0
2020-08-28,980,14.0
2020-08-29,986,14.0
2020-08-30,993,14.0
2020-08-31,1002,15.0
2020-09-01,1007,16.0
2020-09-02,1016,16.0
2020-09-03,1030,17.0
2020-09-04,1034,17.0
2020-09-05,1036,17.0
2020-09-06,1043,17.0
2020-09-07,1056,17.0
2020-09-08,1060,17.0
2020-09-09,1069,17.0
2020-09-10,1079,16.0
2020-09-11,1087,16.0
2020-09-12,1094,16.0
2020-09-13,1094,16.0
2020-09-14,1096,16.0
2020-09-15,1098,17.0
2020-09-16,1108,17.0
2020-09-17,1113,17.0
2020-09-18,1122,18.0
2020-09-19,1129,18.0
2020-09-20,1135,18.0
2020-09-21,1141,18.0
2020-09-22,1144,18.0
2020-09-23,1153,18.0
2020-09-24,1170,18.0
2020-09-25,1179,18.0
2020-09-26,1197,18.0
2020-09-27,1209,18.0
2020-09-28,1225,18.0
2020-09-29,1230,20.0
2020-09-30,1253,19.0
2020-10-01,1275,19.0
2020-10-02,1301,20.0
2020-10-03,1317,20.0
2020-10-04,1330,20.0
2020-10-05,1345,20.0
2020-10-06,1354,21.0
2020-10-07,1375,21.0
2020-10-08,1390,21.0
2020-10-09,1408,21.0
2020-10-10,1421,21.0
2020-10-11,1446,21.0
2020-10-12,1467,21.0
2020-10-13,1480,21.0
2020-10-14,1502,22.0
2020-10-15,1520,22.0
2020-10-16,1556,22.0
2020-10-17,1582,22.0
2020-10-18,1594,22.0
2020-10-19,1611,23.0
2020-10-20,1626,23.0
2020-10-21,1646,23.0
2020-10-22,1663,23.0
2020-10-23,1701,24.0
2020-10-24,1721,24.0
2020-10-25,1745,24.0
2020-10-26,1767,31.0
2020-10-27,1779,34.0
2020-10-28,1805,34.0
2020-10-29,1830,34.0
2020-10-30,1865,34.0
2020-10-31,1886,34.0
2020-11-01,1910,34.0
2020-11-02,1934,35.0
2020-11-03,1968,37.0
2020-11-04,1994,37.0
2020-11-05,2021,38.0
2020-11-06,2047,39.0
2020-11-07,2066,39.0
2020-11-08,2099,39.0
2020-11-09,2122,40.0
2020-11-10,2184,40.0
2020-11-11,2231,40.0
2020-11-12,2282,40.0
2020-11-13,2370,40.0
2020-11-14,2450,40.0
2020-11-15,2488,40.0
2020-11-16,2533,42.0
2020-11-17,2594,43.0
2020-11-18,2644,46.0
2020-11-19,2685,45.0
2020-11-20,2685,46.0
2020-11-21,2685,46.0
2020-11-22,2685,46.0
2020-11-23,2685,47.0
2020-11-24,2721,47.0
2020-11-25,2778,47.0
2020-11-26,2778,47.0
2020-11-27,2901,47.0
2020-11-28,2945,47.0
2020-11-29,2958,47.0
2020-11-30,3019,47.0
2020-12-01,3281,48.0
2020-12-02,3349,49.0
2020-12-03,3390,54.0
2020-12-04,3344,54.0
2020-12-05,3484,54.0
2020-12-06,3504,54.0
2020-12-07,3608,51.0
2020-12-08,3675,51.0
2020-12-09,3744,51.0
2020-12-10,3776,50.0
2020-12-11,3840,50.0
2020-12-12,3917,50.0
2020-12-13,3939,50.0
2020-12-14,3989,50.0
2020-12-15,4034,50.0
2020-12-16,4068,50.0
2020-12-17,4108,50.0
2020-12-18,4224,50.0
2020-12-19,4277,50.0
2020-12-20,4318,50.0
2020-12-21,4354,50.0
2020-12-22,4376,50.0
2020-12-23,4431,52.0
2020-12-24,4495,52.0
2020-12-25,4544,52.0
2020-12-26,4595,52.0
2020-12-27,4633,52.0
2020-12-28,4654,53.0
2020-12-29,4682,54.0
2020-12-30,4714,55.0
2020-12-31,4776,56.0
2021-01-01,4861,56.0
2021-01-02,4888,56.0
2021-01-03,4944,56.0
2021-01-04,5004,56.0
2021-01-05,5055,57.0
2021-01-06,5107,56.0
2021-01-07,5136,58.0
2021-01-08,5269,58.0
2021-01-09,5350,58.0
2021-01-10,5433,58.0
2021-01-11,5456,58.0
2021-01-12,5508,60.0
2021-01-13,5561,60.0
2021-01-14,5627,60.0
2021-01-15,5677,60.0
2021-01-16,5727,60.0
2021-01-17,5785,60.0
2021-01-18,5829,61.0
2021-01-19,5850,62.0
2021-01-20,5899,62.0
2021-01-21,5973,65.0
2021-01-22,6062,65.0
2021-01-23,6093,65.0
2021-01-24,6141,65.0
2021-01-25,6185,65.0
2021-01-26,6217,65.0
2021-01-27,6261,65.0
2021-01-28,6297,67.0
2021-01-29,6384,67.0
2021-01-30,6408,67.0
2021-01-31,6449,67.0
2021-02-01,6466,67.0
2021-02-02,6486,67.0
2021-02-03,6514,68.0
2021-02-04,6538,69.0
2021-02-05,6586,69.0
2021-02-06,6601,69.0
