date,cases,deaths
2020-03-24,2,0
2020-03-25,2,0
2020-03-26,4,0
2020-03-27,9,0
2020-03-28,10,0
2020-03-29,10,0
2020-03-30,14,0
2020-03-31,16,0
2020-04-01,21,0
2020-04-02,27,0
2020-04-03,37,0
2020-04-04,49,0
2020-04-05,54,0
2020-04-06,54,0
2020-04-07,57,0
2020-04-08,73,0
2020-04-09,82,0
2020-04-10,83,0
2020-04-11,91,0
2020-04-12,92,0
2020-04-13,98,0
2020-04-14,100,0
2020-04-15,101,0
2020-04-16,105,1
2020-04-17,106,1
2020-04-18,107,1
2020-04-19,109,1
2020-04-20,113,1
2020-04-21,118,1
2020-04-22,121,1
2020-04-23,127,1
2020-04-24,129,1
2020-04-25,130,1
2020-04-26,131,1
2020-04-27,139,1
2020-04-28,141,1
2020-04-29,143,1
2020-04-30,145,2
2020-05-01,153,2
2020-05-02,156,2
2020-05-03,159,2
2020-05-04,166,2
2020-05-05,166,2
2020-05-06,171,3
2020-05-07,177,3
2020-05-08,184,4
2020-05-09,187,4
2020-05-10,189,5
2020-05-11,191,5
2020-05-12,191,6
2020-05-13,196,6
2020-05-14,200,6
2020-05-15,205,6
2020-05-16,207,6
2020-05-17,210,6
2020-05-18,215,6
2020-05-19,223,6
2020-05-20,245,6
2020-05-21,251,6
2020-05-22,264,6
2020-05-23,270,6
2020-05-24,286,6
2020-05-25,287,6
2020-05-26,290,6
2020-05-27,297,6
2020-05-28,298,6
2020-05-29,304,6
2020-05-30,307,6
2020-05-31,308,6
2020-06-01,314,6
2020-06-02,319,7
2020-06-03,326,7
2020-06-04,336,7
2020-06-05,340,8
2020-06-06,343,8
2020-06-07,344,8
2020-06-08,347,8
2020-06-09,353,8
2020-06-10,361,8
2020-06-11,369,8
2020-06-12,376,9
2020-06-13,386,9
2020-06-14,386,9
2020-06-15,395,9
2020-06-16,399,9
2020-06-17,407,9
2020-06-18,415,9
2020-06-19,427,9
2020-06-20,429,9
2020-06-21,432,10
2020-06-22,433,10
2020-06-23,438,10
2020-06-24,440,10
2020-06-25,441,10
2020-06-26,446,10
2020-06-27,449,10
2020-06-28,450,10
2020-06-29,454,10
2020-06-30,458,10
2020-07-01,460,10
2020-07-02,461,10
2020-07-03,468,10
2020-07-04,478,10
2020-07-05,482,10
2020-07-06,492,10
2020-07-07,500,10
2020-07-08,508,10
2020-07-09,517,10
2020-07-10,523,10
2020-07-11,531,10
2020-07-12,533,10
2020-07-13,537,10
2020-07-14,543,10
2020-07-15,550,10
2020-07-16,555,10
2020-07-17,558,10
2020-07-18,564,10
2020-07-19,567,10
2020-07-20,568,10
2020-07-21,569,10
2020-07-22,587,10
2020-07-23,596,10
2020-07-24,604,10
2020-07-25,608,10
2020-07-26,612,10
2020-07-27,620,10
2020-07-28,627,11
2020-07-29,631,11
2020-07-30,637,11
2020-07-31,645,11
2020-08-01,651,11
2020-08-02,655,11
2020-08-03,657,11
2020-08-04,661,11
2020-08-05,670,11
2020-08-06,675,11
2020-08-07,686,11
2020-08-08,693,11
2020-08-09,696,11
2020-08-10,698,11
2020-08-11,699,11
2020-08-12,713,11
2020-08-13,720,11
2020-08-14,727,11
2020-08-15,733,11
2020-08-16,734,11
2020-08-17,738,11
2020-08-18,745,11
2020-08-19,748,11
2020-08-20,753,11
2020-08-21,757,11
2020-08-22,764,11
2020-08-23,766,11
2020-08-24,767,11
2020-08-25,769,11
2020-08-26,777,11
2020-08-27,780,11
2020-08-28,788,11
2020-08-29,794,11
2020-08-30,798,11
2020-08-31,801,11
2020-09-01,804,11
2020-09-02,808,11
2020-09-03,812,11
2020-09-04,819,11
2020-09-05,822,11
2020-09-06,825,11
2020-09-07,831,11
2020-09-08,837,11
2020-09-09,840,11
2020-09-10,851,11
2020-09-11,856,11
2020-09-12,866,11
