date,cases,deaths
2020-03-19,1,0
2020-03-20,1,0
2020-03-21,1,0
2020-03-22,2,0
2020-03-23,2,0
2020-03-24,16,0
2020-03-25,18,0
2020-03-26,24,0
2020-03-27,23,0
2020-03-28,29,0
2020-03-29,30,0
2020-03-30,31,0
2020-03-31,31,0
2020-04-01,32,0
2020-04-02,35,0
2020-04-03,40,0
2020-04-04,40,0
2020-04-05,49,1
2020-04-06,53,1
2020-04-07,60,1
2020-04-08,73,1
2020-04-09,76,2
2020-04-10,76,2
2020-04-11,83,3
2020-04-12,83,4
2020-04-13,81,4
2020-04-14,82,4
2020-04-15,83,4
2020-04-16,83,4
2020-04-17,83,4
2020-04-18,84,4
2020-04-19,87,4
2020-04-20,89,5
2020-04-21,89,5
2020-04-22,90,5
2020-04-23,89,4
2020-04-24,97,4
2020-04-25,97,4
2020-04-26,101,4
2020-04-27,102,4
2020-04-28,103,4
2020-04-29,102,4
2020-04-30,102,4
2020-05-01,101,4
2020-05-02,105,5
2020-05-03,105,5
2020-05-04,107,5
2020-05-05,108,5
2020-05-06,111,5
2020-05-07,111,5
2020-05-08,111,5
2020-05-09,112,5
2020-05-10,114,5
2020-05-11,113,5
2020-05-12,114,5
2020-05-13,114,5
2020-05-14,114,5
2020-05-15,114,5
2020-05-16,115,5
2020-05-17,116,5
2020-05-18,116,5
2020-05-19,116,5
2020-05-20,118,5
2020-05-21,119,5
2020-05-22,120,5
2020-05-23,121,5
2020-05-24,124,5
2020-05-25,122,5
2020-05-26,128,5
2020-05-27,129,4
2020-05-28,131,4
2020-05-29,133,5
2020-05-30,133,5
2020-05-31,133,5
2020-06-01,133,4
2020-06-02,137,5
2020-06-03,135,5
2020-06-04,135,5
2020-06-05,138,5
2020-06-06,140,5
2020-06-07,141,5
2020-06-08,141,5
2020-06-09,142,5
