date,cases,deaths
2020-04-06,1,0
2020-04-07,3,0
2020-04-08,5,0
2020-04-09,3,0
2020-04-10,3,0
2020-04-11,3,0
2020-04-12,3,0
2020-04-13,4,0
2020-04-14,4,0
2020-04-15,4,0
2020-04-16,4,0
2020-04-17,5,0
2020-04-18,5,0
2020-04-19,5,0
2020-04-20,5,0
2020-04-21,5,0
2020-04-22,5,0
2020-04-23,5,0
2020-04-24,5,0
2020-04-25,5,0
2020-04-26,6,0
2020-04-27,6,0
2020-04-28,6,0
2020-04-29,6,0
2020-04-30,6,0
2020-05-01,6,0
2020-05-02,7,0
2020-05-03,7,0
2020-05-04,7,0
2020-05-05,9,0
2020-05-06,8,0
2020-05-07,8,0
2020-05-08,8,0
2020-05-09,8,0
2020-05-10,8,0
2020-05-11,8,0
2020-05-12,8,0
2020-05-13,8,0
2020-05-14,8,0
2020-05-15,8,0
2020-05-16,8,0
2020-05-17,8,0
2020-05-18,8,0
2020-05-19,8,0
2020-05-20,8,0
2020-05-21,8,0
2020-05-22,8,0
2020-05-23,8,0
2020-05-24,8,0
2020-05-25,8,0
2020-05-26,8,0
2020-05-27,9,0
2020-05-28,8,0
2020-05-29,8,0
2020-05-30,8,0
2020-05-31,8,0
2020-06-01,9,0
2020-06-02,9,0
2020-06-03,9,0
2020-06-04,9,0
2020-06-05,9,0
2020-06-06,9,0
2020-06-07,9,0
2020-06-08,9,0
2020-06-09,9,0
2020-06-10,9,0
2020-06-11,10,0
2020-06-12,10,0
2020-06-13,10,0
2020-06-14,10,0
2020-06-15,10,0
2020-06-16,10,0
2020-06-17,12,0
2020-06-18,12,0
2020-06-19,13,0
2020-06-20,13,0
2020-06-21,13,0
2020-06-22,14,0
2020-06-23,14,0
2020-06-24,14,0
2020-06-25,14,0
2020-06-26,14,0
2020-06-27,16,0
2020-06-28,16,0
2020-06-29,16,0
2020-06-30,16,0
2020-07-01,16,0
2020-07-02,16,0
2020-07-03,17,0
2020-07-04,18,0
2020-07-05,17,0
2020-07-06,17,0
2020-07-07,18,0
2020-07-08,19,0
2020-07-09,20,0
2020-07-10,23,0
2020-07-11,23,0
2020-07-12,23,0
2020-07-13,23,0
2020-07-14,23,0
2020-07-15,23,0
2020-07-16,27,0
2020-07-17,27,0
2020-07-18,30,0
2020-07-19,30,0
2020-07-20,30,0
2020-07-21,31,0
2020-07-22,35,0
2020-07-23,36,0
2020-07-24,38,0
2020-07-25,39,0
2020-07-26,40,0
2020-07-27,39,0
2020-07-28,40,0
2020-07-29,43,0
2020-07-30,46,0
2020-07-31,52,0
2020-08-01,52,0
2020-08-02,53,0
2020-08-03,53,0
2020-08-04,53,1
2020-08-05,55,1
2020-08-06,56,1
2020-08-07,56,1
2020-08-08,56,1
2020-08-09,56,1
2020-08-10,56,1
2020-08-11,59,1
2020-08-12,59,1
2020-08-13,60,1
2020-08-14,61,1
2020-08-15,61,1
2020-08-16,74,1
2020-08-17,81,1
2020-08-18,84,1
2020-08-19,86,1
2020-08-20,87,1
2020-08-21,88,1
2020-08-22,98,1
2020-08-23,100,2
2020-08-24,101,2
2020-08-25,100,3
2020-08-26,103,3
2020-08-27,103,3
2020-08-28,104,3
2020-08-29,105,4
2020-08-30,105,4
2020-08-31,105,4
2020-09-01,106,4
2020-09-02,106,6
2020-09-03,108,6
2020-09-04,108,6
2020-09-05,109,6
2020-09-06,110,6
2020-09-07,110,6
2020-09-08,110,6
2020-09-09,110,6
2020-09-10,112,6
2020-09-11,112,6
2020-09-12,113,6
2020-09-13,113,6
2020-09-14,114,6
2020-09-15,115,6
2020-09-16,115,6
2020-09-17,115,6
2020-09-18,117,6
2020-09-19,117,6
2020-09-20,117,6
2020-09-21,116,6
2020-09-22,119,6
2020-09-23,120,6
2020-09-24,120,6
