date,cases,deaths
2020-03-23,2,0
2020-03-24,2,0
2020-03-25,3,0
2020-03-26,3,0
2020-03-27,6,0
2020-03-28,6,0
2020-03-29,8,0
2020-03-30,8,0
2020-03-31,10,0
2020-04-01,13,0
2020-04-02,13,0
2020-04-03,14,0
2020-04-04,14,0
2020-04-05,14,0
2020-04-06,15,0
2020-04-07,15,0
2020-04-08,16,0
2020-04-09,16,0
2020-04-10,18,0
2020-04-11,18,0
2020-04-12,19,0
2020-04-13,19,0
2020-04-14,19,1
2020-04-15,19,1
2020-04-16,19,1
2020-04-17,20,1
2020-04-18,19,1
2020-04-19,19,1
2020-04-20,19,1
2020-04-21,19,1
2020-04-22,20,1
2020-04-23,20,1
2020-04-24,21,1
2020-04-25,23,1
2020-04-26,29,1
2020-04-27,30,1
2020-04-28,32,1
2020-04-29,33,1
2020-04-30,33,1
2020-05-01,36,1
2020-05-02,38,1
2020-05-03,38,1
2020-05-04,39,1
2020-05-05,40,1
2020-05-06,42,1
2020-05-07,46,1
2020-05-08,51,1
2020-05-09,55,1
2020-05-10,67,1
2020-05-11,74,1
2020-05-12,75,1
2020-05-13,79,1
2020-05-14,83,1
2020-05-15,87,1
2020-05-16,93,1
2020-05-17,105,1
2020-05-18,108,1
2020-05-19,109,1
2020-05-20,112,1
2020-05-21,121,1
2020-05-22,137,1
2020-05-23,149,1
2020-05-24,152,1
2020-05-25,161,1
2020-05-26,162,1
2020-05-27,166,1
2020-05-28,172,1
2020-05-29,180,1
2020-05-30,215,2
2020-05-31,221,2
2020-06-01,228,2
2020-06-02,226,2
2020-06-03,383,3
2020-06-04,386,3
2020-06-05,394,4
2020-06-06,395,4
2020-06-07,400,4
2020-06-08,400,4
2020-06-09,406,4
2020-06-10,410,4
2020-06-11,414,4
2020-06-12,415,4
2020-06-13,423,4
2020-06-14,423,4
2020-06-15,424,4
2020-06-16,424,4
2020-06-17,425,5
2020-06-18,426,5
2020-06-19,429,5
2020-06-20,434,5
2020-06-21,434,5
2020-06-22,437,5
2020-06-23,440,5
2020-06-24,444,5
2020-06-25,445,5
2020-06-26,447,5
2020-06-27,450,5
2020-06-28,453,5
2020-06-29,456,5
2020-06-30,459,5
2020-07-01,461,5
2020-07-02,467,5
2020-07-03,476,5
2020-07-04,478,5
2020-07-05,483,5
2020-07-06,484,5
2020-07-07,487,5
2020-07-08,488,5
2020-07-09,492,5
2020-07-10,501,5
2020-07-11,511,5
2020-07-12,515,5
2020-07-13,523,5
2020-07-14,528,5
2020-07-15,537,5
2020-07-16,541,5
2020-07-17,557,5
2020-07-18,557,5
2020-07-19,564,5
2020-07-20,570,6
2020-07-21,577,5
2020-07-22,584,5
2020-07-23,592,5
2020-07-24,599,5
2020-07-25,609,5
2020-07-26,617,5
2020-07-27,622,5
2020-07-28,627,5
2020-07-29,634,5
2020-07-30,642,5
2020-07-31,655,5
2020-08-01,675,5
2020-08-02,702,5
2020-08-03,705,5
2020-08-04,728,5
2020-08-05,743,5
2020-08-06,757,5
2020-08-07,782,5
2020-08-08,808,5
2020-08-09,819,5
