date,cases,deaths
2020-03-30,1,0.0
2020-03-31,1,0.0
2020-04-01,1,0.0
2020-04-02,2,0.0
2020-04-03,2,0.0
2020-04-04,2,0.0
2020-04-05,4,0.0
2020-04-06,4,0.0
2020-04-07,7,0.0
2020-04-08,7,0.0
2020-04-09,8,0.0
2020-04-10,8,0.0
2020-04-11,9,0.0
2020-04-12,9,0.0
2020-04-13,9,0.0
2020-04-14,9,1.0
2020-04-15,9,1.0
2020-04-16,9,1.0
2020-04-17,9,1.0
2020-04-18,9,1.0
2020-04-19,9,1.0
2020-04-20,9,1.0
2020-04-21,9,1.0
2020-04-22,9,1.0
2020-04-23,9,1.0
2020-04-24,9,1.0
2020-04-25,10,1.0
2020-04-26,10,1.0
2020-04-27,10,1.0
2020-04-28,12,1.0
2020-04-29,12,2.0
2020-04-30,12,2.0
2020-05-01,12,2.0
2020-05-02,14,3.0
2020-05-03,15,3.0
2020-05-04,15,3.0
2020-05-05,18,3.0
2020-05-06,18,3.0
2020-05-07,18,3.0
2020-05-08,18,3.0
2020-05-09,20,3.0
2020-05-10,21,3.0
2020-05-11,22,3.0
2020-05-12,22,3.0
2020-05-13,23,3.0
2020-05-14,23,3.0
2020-05-15,29,3.0
2020-05-16,33,3.0
2020-05-17,33,3.0
2020-05-18,33,3.0
2020-05-19,33,3.0
2020-05-20,34,3.0
2020-05-21,34,3.0
2020-05-22,35,3.0
2020-05-23,37,3.0
2020-05-24,37,3.0
2020-05-25,37,3.0
2020-05-26,38,3.0
2020-05-27,38,3.0
2020-05-28,38,3.0
2020-05-29,38,3.0
2020-05-30,38,3.0
2020-05-31,38,3.0
2020-06-01,38,3.0
2020-06-02,38,3.0
2020-06-03,38,3.0
2020-06-04,40,3.0
2020-06-05,39,3.0
2020-06-06,39,3.0
2020-06-07,39,3.0
2020-06-08,39,3.0
2020-06-09,39,3.0
2020-06-10,39,3.0
2020-06-11,39,3.0
2020-06-12,41,3.0
2020-06-13,39,3.0
2020-06-14,39,3.0
2020-06-15,39,3.0
2020-06-16,39,3.0
2020-06-17,39,3.0
2020-06-18,39,3.0
2020-06-19,40,3.0
2020-06-20,40,3.0
2020-06-21,40,3.0
2020-06-22,40,3.0
2020-06-23,40,3.0
2020-06-24,40,3.0
2020-06-25,40,3.0
2020-06-26,43,3.0
